year,pos,neu,neg
1950,0.2,0.8,0.0
1951,0.25,0.75,0.0
1952,0.3333333333333333,0.6666666666666666,0.0
1953,0.4,0.6,0.0
1954,0.5,0.25,0.25
1955,0.0,1.0,0.0
1956,0.0,1.0,0.0
1957,0.0,0.75,0.25
1958,0.0,1.0,0.0
1959,1.0,0.0,0.0
1960,0.1,0.9,0.0
1961,0.0,0.0,0.0
1962,0.38461538461538464,0.5384615384615384,0.07692307692307693
1963,0.1,0.7,0.2
1964,0.0,0.8333333333333334,0.16666666666666666
1965,0.18421052631578946,0.5789473684210527,0.23684210526315788
1966,0.0,0.8571428571428571,0.14285714285714285
1967,0.2,0.7333333333333333,0.06666666666666667
1968,0.09090909090909091,0.8181818181818182,0.09090909090909091
1969,0.2,0.65,0.15
1970,0.07692307692307693,0.9230769230769231,0.0
1971,0.1111111111111111,0.8888888888888888,0.0
1972,0.4,0.4,0.2
1973,0.2727272727272727,0.7272727272727273,0.0
1974,0.07142857142857142,0.7142857142857143,0.21428571428571427
1975,0.47058823529411764,0.5294117647058824,0.0
1976,0.2857142857142857,0.6428571428571429,0.07142857142857142
1977,0.375,0.375,0.25
1978,0.25,0.75,0.0
1979,0.26666666666666666,0.6666666666666666,0.06666666666666667
1980,0.5,0.5,0.0
1981,0.09090909090909091,0.9090909090909091,0.0
1982,0.0,1.0,0.0
1983,0.47368421052631576,0.5263157894736842,0.0
1984,0.10526315789473684,0.7368421052631579,0.15789473684210525
1985,0.4,0.5333333333333333,0.06666666666666667
1986,0.21052631578947367,0.7894736842105263,0.0
1987,0.0,0.8571428571428571,0.14285714285714285
1988,0.2,0.56,0.24
1989,0.1111111111111111,0.8888888888888888,0.0
1990,0.16666666666666666,0.8333333333333334,0.0
1991,0.5,0.3333333333333333,0.16666666666666666
1992,0.1891891891891892,0.7297297297297297,0.08108108108108109
1993,0.15789473684210525,0.631578947368421,0.21052631578947367
1994,0.21875,0.6875,0.09375
1995,0.14285714285714285,0.7142857142857143,0.14285714285714285
1996,0.24324324324324326,0.6486486486486487,0.10810810810810811
1997,0.17073170731707318,0.6585365853658537,0.17073170731707318
1998,0.22580645161290322,0.6451612903225806,0.12903225806451613
1999,0.17857142857142858,0.7142857142857143,0.10714285714285714
2000,0.15492957746478872,0.6197183098591549,0.22535211267605634
2001,0.24193548387096775,0.6774193548387096,0.08064516129032258
2002,0.23943661971830985,0.6619718309859155,0.09859154929577464
2003,0.1,0.8,0.1
2004,0.15873015873015872,0.6507936507936508,0.19047619047619047
2005,0.10666666666666667,0.7866666666666666,0.10666666666666667
2006,0.08333333333333333,0.75,0.16666666666666666
2007,0.14583333333333334,0.7395833333333334,0.11458333333333333
2008,0.1267605633802817,0.7887323943661971,0.08450704225352113
2009,0.1746987951807229,0.6927710843373494,0.13253012048192772
2010,0.1797752808988764,0.7303370786516854,0.0898876404494382
2011,0.1956521739130435,0.7028985507246377,0.10144927536231885
2012,0.14,0.7733333333333333,0.08666666666666667
2013,0.12857142857142856,0.7857142857142857,0.08571428571428572
2014,0.2052980132450331,0.7019867549668874,0.09271523178807947
2015,0.23300970873786409,0.6407766990291263,0.1262135922330097
2016,0.1534090909090909,0.75,0.09659090909090909
2017,0.20967741935483872,0.7096774193548387,0.08064516129032258
