year,pos,neu,neg
1950,1.0,0.0,0.0
1951,0.0,0.0,0.0
1952,0.5,0.5,0.0
1953,1.0,0.0,0.0
1954,0.6666666666666666,0.0,0.3333333333333333
1955,0.0,0.0,0.0
1956,1.0,0.0,0.0
1957,0.0,0.0,0.0
1958,0.0,0.0,0.0
1959,1.0,0.0,0.0
1960,0.75,0.25,0.0
1961,0.0,0.0,0.0
1962,0.0,0.0,0.0
1963,0.0,0.0,0.0
1964,0.0,0.0,0.0
1965,1.0,0.0,0.0
1966,1.0,0.0,0.0
1967,1.0,0.0,0.0
1968,1.0,0.0,0.0
1969,0.0,0.0,0.0
1970,1.0,0.0,0.0
1971,1.0,0.0,0.0
1972,1.0,0.0,0.0
1973,1.0,0.0,0.0
1974,0.0,0.0,0.0
1975,0.0,0.0,0.0
1976,1.0,0.0,0.0
1977,1.0,0.0,0.0
1978,0.75,0.25,0.0
1979,1.0,0.0,0.0
1980,0.0,1.0,0.0
1981,1.0,0.0,0.0
1982,0.0,0.0,0.0
1983,1.0,0.0,0.0
1984,1.0,0.0,0.0
1985,0.0,0.0,0.0
1986,0.6666666666666666,0.3333333333333333,0.0
1987,1.0,0.0,0.0
1988,0.8,0.0,0.2
1989,1.0,0.0,0.0
1990,1.0,0.0,0.0
1991,1.0,0.0,0.0
1992,1.0,0.0,0.0
1993,0.0,0.0,0.0
1994,1.0,0.0,0.0
1995,0.9090909090909091,0.09090909090909091,0.0
1996,1.0,0.0,0.0
1997,0.75,0.25,0.0
1998,0.8333333333333334,0.16666666666666666,0.0
1999,1.0,0.0,0.0
2000,0.7777777777777778,0.2222222222222222,0.0
2001,0.875,0.125,0.0
2002,1.0,0.0,0.0
2003,0.8064516129032258,0.1935483870967742,0.0
2004,0.7142857142857143,0.2857142857142857,0.0
2005,1.0,0.0,0.0
2006,1.0,0.0,0.0
2007,1.0,0.0,0.0
2008,0.7419354838709677,0.25806451612903225,0.0
2009,1.0,0.0,0.0
2010,1.0,0.0,0.0
2011,0.6875,0.1875,0.125
2012,0.8571428571428571,0.14285714285714285,0.0
2013,0.9285714285714286,0.07142857142857142,0.0
2014,0.9090909090909091,0.09090909090909091,0.0
2015,0.9473684210526315,0.05263157894736842,0.0
2016,1.0,0.0,0.0
2017,0.9166666666666666,0.08333333333333333,0.0
