year,pos,neu,neg
1950,0.0,0.0,0.0
1951,0.0,0.0,0.0
1952,0.0,1.0,0.0
1953,0.0,0.0,0.0
1954,0.0,0.0,0.0
1955,0.0,1.0,0.0
1956,0.0,0.0,0.0
1957,0.0,0.0,0.0
1958,0.0,0.0,0.0
1959,0.0,1.0,0.0
1960,0.0,0.0,0.0
1961,0.0,0.0,0.0
1962,0.0,0.0,0.0
1963,0.0,1.0,0.0
1964,0.0,1.0,0.0
1965,0.0,1.0,0.0
1966,0.0,0.0,0.0
1967,0.0,0.0,0.0
1968,0.0,1.0,0.0
1969,0.0,0.0,0.0
1970,0.5,0.5,0.0
1971,0.0,0.0,0.0
1972,0.0,0.0,0.0
1973,0.0,1.0,0.0
1974,0.0,0.0,0.0
1975,0.0,1.0,0.0
1976,0.0,0.0,0.0
1977,0.0,0.0,1.0
1978,0.5,0.0,0.5
1979,0.5,0.0,0.5
1980,0.0,1.0,0.0
1981,0.0,0.0,0.0
1982,0.0,0.5,0.5
1983,0.5,0.5,0.0
1984,1.0,0.0,0.0
1985,0.25,0.75,0.0
1986,0.0,0.0,0.0
1987,0.25,0.75,0.0
1988,0.0,1.0,0.0
1989,0.0,1.0,0.0
1990,0.0,1.0,0.0
1991,0.0,1.0,0.0
1992,0.2,0.8,0.0
1993,0.0,0.6666666666666666,0.3333333333333333
1994,0.08333333333333333,0.9166666666666666,0.0
1995,0.2222222222222222,0.6666666666666666,0.1111111111111111
1996,0.0,1.0,0.0
1997,0.125,0.875,0.0
1998,0.16666666666666666,0.8333333333333334,0.0
1999,0.5,0.5,0.0
2000,0.0,0.3333333333333333,0.6666666666666666
2001,0.037037037037037035,0.8148148148148148,0.14814814814814814
2002,0.17647058823529413,0.8235294117647058,0.0
2003,0.17647058823529413,0.7058823529411765,0.11764705882352941
2004,0.5294117647058824,0.4117647058823529,0.058823529411764705
2005,0.2903225806451613,0.6129032258064516,0.0967741935483871
2006,0.19047619047619047,0.7619047619047619,0.047619047619047616
2007,0.041666666666666664,0.9166666666666666,0.041666666666666664
2008,0.11538461538461539,0.8461538461538461,0.038461538461538464
2009,0.2222222222222222,0.6666666666666666,0.1111111111111111
2010,0.1935483870967742,0.7096774193548387,0.0967741935483871
2011,0.13043478260869565,0.8695652173913043,0.0
2012,0.35714285714285715,0.6428571428571429,0.0
2013,0.24242424242424243,0.7272727272727273,0.030303030303030304
2014,0.045454545454545456,0.9545454545454546,0.0
2015,0.14285714285714285,0.8571428571428571,0.0
2016,0.16666666666666666,0.8333333333333334,0.0
2017,0.23529411764705882,0.5882352941176471,0.17647058823529413
