year,pos,neu,neg
1950,0.0,0.8333333333333334,0.16666666666666666
1951,0.0,1.0,0.0
1952,0.1111111111111111,0.8888888888888888,0.0
1953,0.0,1.0,0.0
1954,0.0,1.0,0.0
1955,0.0,1.0,0.0
1956,0.2,0.8,0.0
1957,0.5,0.5,0.0
1958,0.1,0.7,0.2
1959,0.0,0.75,0.25
1960,0.5,0.5,0.0
1961,0.1111111111111111,0.8888888888888888,0.0
1962,0.1,0.8,0.1
1963,0.0,0.4,0.6
1964,0.0,1.0,0.0
1965,0.14285714285714285,0.8571428571428571,0.0
1966,0.11764705882352941,0.8235294117647058,0.058823529411764705
1967,0.2,0.8,0.0
1968,0.0,1.0,0.0
1969,0.2,0.7,0.1
1970,0.0,0.0,1.0
1971,0.125,0.75,0.125
1972,0.0625,0.875,0.0625
1973,0.16666666666666666,0.3333333333333333,0.5
1974,0.0,1.0,0.0
1975,0.2727272727272727,0.6363636363636364,0.09090909090909091
1976,0.2,0.8,0.0
1977,0.0,0.8,0.2
1978,0.2,0.8,0.0
1979,0.0,0.9,0.1
1980,0.0,0.8461538461538461,0.15384615384615385
1981,0.14285714285714285,0.42857142857142855,0.42857142857142855
1982,0.25,0.6666666666666666,0.08333333333333333
1983,0.09090909090909091,0.7272727272727273,0.18181818181818182
1984,0.0,0.6666666666666666,0.3333333333333333
1985,0.0,1.0,0.0
1986,0.0,1.0,0.0
1987,0.0,1.0,0.0
1988,0.0,1.0,0.0
1989,0.0,1.0,0.0
1990,0.0,1.0,0.0
1991,0.3333333333333333,0.6666666666666666,0.0
1992,0.25,0.75,0.0
1993,0.0,1.0,0.0
1994,0.2222222222222222,0.5555555555555556,0.2222222222222222
1995,0.5,0.5,0.0
1996,0.0,0.0,0.0
1997,0.0,1.0,0.0
1998,0.0,1.0,0.0
1999,0.0,1.0,0.0
2000,0.09090909090909091,0.7272727272727273,0.18181818181818182
2001,0.06666666666666667,0.8666666666666667,0.06666666666666667
2002,0.0,1.0,0.0
2003,0.16666666666666666,0.8333333333333334,0.0
2004,0.0,1.0,0.0
2005,0.0,1.0,0.0
2006,0.0,0.75,0.25
2007,0.0,1.0,0.0
2008,0.0,1.0,0.0
2009,0.09090909090909091,0.9090909090909091,0.0
2010,0.05,0.9,0.05
2011,0.3333333333333333,0.6,0.06666666666666667
2012,0.0,0.7058823529411765,0.29411764705882354
2013,0.0,1.0,0.0
2014,0.1,0.6,0.3
2015,0.08333333333333333,0.75,0.16666666666666666
2016,0.2222222222222222,0.7777777777777778,0.0
2017,0.0,1.0,0.0
