year,pos,neu,neg
1950,0.0,0.5,0.5
1951,0.0,1.0,0.0
1952,0.2,0.8,0.0
1953,0.0,0.8333333333333334,0.16666666666666666
1954,0.0,0.0,1.0
1955,0.0,0.0,0.0
1956,0.2222222222222222,0.7777777777777778,0.0
1957,0.21428571428571427,0.5,0.2857142857142857
1958,0.5,0.5,0.0
1959,0.1,0.9,0.0
1960,0.0,0.0,0.0
1961,0.5,0.5,0.0
1962,0.16666666666666666,0.8333333333333334,0.0
1963,0.0,1.0,0.0
1964,0.4,0.6,0.0
1965,0.0,1.0,0.0
1966,0.0,0.0,1.0
1967,0.25,0.75,0.0
1968,0.0,1.0,0.0
1969,0.0,0.0,0.0
1970,0.0,0.0,0.0
1971,0.0,1.0,0.0
1972,0.0,0.9,0.1
1973,0.0,1.0,0.0
1974,0.25,0.5,0.25
1975,0.5,0.5,0.0
1976,0.0,0.6666666666666666,0.3333333333333333
1977,0.0,0.5,0.5
1978,0.0,0.0,0.0
1979,0.0,1.0,0.0
1980,0.0,0.0,0.0
1981,0.5,0.5,0.0
1982,0.3333333333333333,0.6666666666666666,0.0
1983,0.0,0.6666666666666666,0.3333333333333333
1984,0.4444444444444444,0.5555555555555556,0.0
1985,0.16666666666666666,0.6666666666666666,0.16666666666666666
1986,0.0,0.6666666666666666,0.3333333333333333
1987,0.0,0.0,0.0
1988,0.0,1.0,0.0
1989,0.5,0.5,0.0
1990,0.16666666666666666,0.8333333333333334,0.0
1991,0.0,0.6666666666666666,0.3333333333333333
1992,0.0,0.75,0.25
1993,0.0,0.6666666666666666,0.3333333333333333
1994,0.08333333333333333,0.6666666666666666,0.25
1995,0.2,0.6,0.2
1996,0.0,1.0,0.0
1997,0.0,1.0,0.0
1998,0.3333333333333333,0.5555555555555556,0.1111111111111111
1999,0.09090909090909091,0.7272727272727273,0.18181818181818182
2000,0.16666666666666666,0.8333333333333334,0.0
2001,0.2727272727272727,0.7272727272727273,0.0
2002,0.18181818181818182,0.7272727272727273,0.09090909090909091
2003,0.25,0.7142857142857143,0.03571428571428571
2004,0.05555555555555555,0.9444444444444444,0.0
2005,0.2777777777777778,0.6111111111111112,0.1111111111111111
2006,0.125,0.8125,0.0625
2007,0.05555555555555555,0.7222222222222222,0.2222222222222222
2008,0.25806451612903225,0.6774193548387096,0.06451612903225806
2009,0.17647058823529413,0.7647058823529411,0.058823529411764705
2010,0.13636363636363635,0.7727272727272727,0.09090909090909091
2011,0.2,0.65,0.15
2012,0.16129032258064516,0.6451612903225806,0.1935483870967742
2013,0.06666666666666667,0.8,0.13333333333333333
2014,0.25,0.75,0.0
2015,0.15789473684210525,0.7368421052631579,0.10526315789473684
2016,0.15384615384615385,0.6923076923076923,0.15384615384615385
2017,0.14285714285714285,0.8571428571428571,0.0
