year,pos,neu,neg
1950,0.0,0.0,0.0
1951,0.0,1.0,0.0
1952,0.0,0.0,0.0
1953,0.0,1.0,0.0
1954,0.0,0.0,0.0
1955,0.0,0.0,0.0
1956,0.0,0.0,0.0
1957,0.25,0.75,0.0
1958,0.0,1.0,0.0
1959,0.0,0.0,0.0
1960,0.125,0.875,0.0
1961,0.0,0.6,0.4
1962,0.0,0.0,1.0
1963,0.0,1.0,0.0
1964,0.07142857142857142,0.7142857142857143,0.21428571428571427
1965,0.0,0.0,0.0
1966,0.6666666666666666,0.3333333333333333,0.0
1967,0.0,1.0,0.0
1968,0.0,0.0,0.0
1969,0.0,1.0,0.0
1970,0.8,0.2,0.0
1971,0.0,1.0,0.0
1972,0.3333333333333333,0.6666666666666666,0.0
1973,1.0,0.0,0.0
1974,0.3333333333333333,0.6666666666666666,0.0
1975,0.6666666666666666,0.3333333333333333,0.0
1976,0.25,0.75,0.0
1977,0.3333333333333333,0.6666666666666666,0.0
1978,0.0,0.0,0.0
1979,0.0,1.0,0.0
1980,0.25,0.75,0.0
1981,1.0,0.0,0.0
1982,0.0,0.0,0.0
1983,0.2,0.8,0.0
1984,0.0,0.0,0.0
1985,0.3333333333333333,0.6666666666666666,0.0
1986,1.0,0.0,0.0
1987,0.5,0.5,0.0
1988,0.0,0.7272727272727273,0.2727272727272727
1989,0.0,1.0,0.0
1990,0.4,0.6,0.0
1991,0.0,1.0,0.0
1992,0.0,0.0,0.0
1993,0.3333333333333333,0.6666666666666666,0.0
1994,0.25,0.75,0.0
1995,0.14285714285714285,0.8571428571428571,0.0
1996,0.5714285714285714,0.42857142857142855,0.0
1997,0.3333333333333333,0.5,0.16666666666666666
1998,0.25,0.75,0.0
1999,0.15789473684210525,0.7368421052631579,0.10526315789473684
2000,0.0,0.625,0.375
2001,0.3076923076923077,0.6153846153846154,0.07692307692307693
2002,0.23076923076923078,0.6923076923076923,0.07692307692307693
2003,0.36363636363636365,0.5909090909090909,0.045454545454545456
2004,0.3333333333333333,0.5555555555555556,0.1111111111111111
2005,0.07407407407407407,0.8888888888888888,0.037037037037037035
2006,0.14285714285714285,0.8571428571428571,0.0
2007,0.21052631578947367,0.7894736842105263,0.0
2008,0.2692307692307692,0.6538461538461539,0.07692307692307693
2009,0.058823529411764705,0.8823529411764706,0.058823529411764705
2010,0.23809523809523808,0.6190476190476191,0.14285714285714285
2011,0.19230769230769232,0.6538461538461539,0.15384615384615385
2012,0.16666666666666666,0.7777777777777778,0.05555555555555555
2013,0.11764705882352941,0.8235294117647058,0.058823529411764705
2014,0.3181818181818182,0.6818181818181818,0.0
2015,0.25,0.59375,0.15625
2016,0.32432432432432434,0.4594594594594595,0.21621621621621623
2017,0.12,0.8,0.08
