year,pos,neu,neg
1950,0.0,1.0,0.0
1951,0.0,1.0,0.0
1952,0.0,1.0,0.0
1953,0.0,1.0,0.0
1954,0.0,0.75,0.25
1955,0.25,0.75,0.0
1956,0.0,1.0,0.0
1957,0.14285714285714285,0.8571428571428571,0.0
1958,0.0,1.0,0.0
1959,0.0,0.8,0.2
1960,0.18181818181818182,0.8181818181818182,0.0
1961,0.3333333333333333,0.5555555555555556,0.1111111111111111
1962,0.0,0.8888888888888888,0.1111111111111111
1963,0.0,1.0,0.0
1964,0.0,0.6,0.4
1965,0.0,0.8333333333333334,0.16666666666666666
1966,0.0,1.0,0.0
1967,0.0,0.875,0.125
1968,0.11764705882352941,0.8235294117647058,0.058823529411764705
1969,0.0,0.75,0.25
1970,0.0,1.0,0.0
1971,0.2,0.8,0.0
1972,0.125,0.75,0.125
1973,0.0,1.0,0.0
1974,0.125,0.875,0.0
1975,0.2,0.7,0.1
1976,0.0,1.0,0.0
1977,0.0,0.6666666666666666,0.3333333333333333
1978,0.0,0.0,0.0
1979,0.0,0.6666666666666666,0.3333333333333333
1980,0.0,1.0,0.0
1981,0.06666666666666667,0.9333333333333333,0.0
1982,0.14285714285714285,0.8571428571428571,0.0
1983,0.0,1.0,0.0
1984,0.3,0.7,0.0
1985,0.14285714285714285,0.7142857142857143,0.14285714285714285
1986,0.25,0.5,0.25
1987,0.3333333333333333,0.4444444444444444,0.2222222222222222
1988,0.07142857142857142,0.9285714285714286,0.0
1989,0.09090909090909091,0.8181818181818182,0.09090909090909091
1990,0.4,0.6,0.0
1991,0.3333333333333333,0.6666666666666666,0.0
1992,0.09090909090909091,0.9090909090909091,0.0
1993,0.14285714285714285,0.7142857142857143,0.14285714285714285
1994,0.0,0.8333333333333334,0.16666666666666666
1995,0.0,1.0,0.0
1996,0.125,0.875,0.0
1997,0.2857142857142857,0.5714285714285714,0.14285714285714285
1998,0.21052631578947367,0.7894736842105263,0.0
1999,0.1111111111111111,0.7777777777777778,0.1111111111111111
2000,0.14285714285714285,0.8571428571428571,0.0
2001,0.2,0.8,0.0
2002,0.09523809523809523,0.8095238095238095,0.09523809523809523
2003,0.1935483870967742,0.7741935483870968,0.03225806451612903
2004,0.16129032258064516,0.7096774193548387,0.12903225806451613
2005,0.11764705882352941,0.7647058823529411,0.11764705882352941
2006,0.39215686274509803,0.5882352941176471,0.0196078431372549
2007,0.10869565217391304,0.8478260869565217,0.043478260869565216
2008,0.2,0.7538461538461538,0.046153846153846156
2009,0.12121212121212122,0.8333333333333334,0.045454545454545456
2010,0.16129032258064516,0.8225806451612904,0.016129032258064516
2011,0.16521739130434782,0.8,0.034782608695652174
2012,0.24,0.72,0.04
2013,0.10714285714285714,0.7678571428571429,0.125
2014,0.2236842105263158,0.6710526315789473,0.10526315789473684
2015,0.1232876712328767,0.7945205479452054,0.0821917808219178
2016,0.20588235294117646,0.6911764705882353,0.10294117647058823
2017,0.125,0.825,0.05
