year,pos,neu,neg
1950,0.25,0.75,0.0
1951,0.0,1.0,0.0
1952,0.0,0.0,0.0
1953,1.0,0.0,0.0
1954,0.0,1.0,0.0
1955,0.0,0.0,0.0
1956,0.0,1.0,0.0
1957,1.0,0.0,0.0
1958,0.25,0.5,0.25
1959,0.0,1.0,0.0
1960,0.1111111111111111,0.8888888888888888,0.0
1961,0.2,0.8,0.0
1962,0.3333333333333333,0.6666666666666666,0.0
1963,0.4,0.6,0.0
1964,0.2857142857142857,0.7142857142857143,0.0
1965,0.0,1.0,0.0
1966,0.1111111111111111,0.8888888888888888,0.0
1967,0.2,0.8,0.0
1968,0.0,1.0,0.0
1969,0.2857142857142857,0.7142857142857143,0.0
1970,0.125,0.875,0.0
1971,0.2222222222222222,0.7777777777777778,0.0
1972,0.14285714285714285,0.7857142857142857,0.07142857142857142
1973,0.0,0.75,0.25
1974,0.42857142857142855,0.5714285714285714,0.0
1975,0.0,0.8333333333333334,0.16666666666666666
1976,0.3076923076923077,0.6153846153846154,0.07692307692307693
1977,0.0,1.0,0.0
1978,0.5,0.5,0.0
1979,0.2,0.5,0.3
1980,0.3333333333333333,0.6666666666666666,0.0
1981,0.3125,0.6875,0.0
1982,0.2222222222222222,0.7777777777777778,0.0
1983,0.125,0.875,0.0
1984,0.0,1.0,0.0
1985,0.35294117647058826,0.6470588235294118,0.0
1986,0.35,0.6,0.05
1987,0.3333333333333333,0.5555555555555556,0.1111111111111111
1988,0.16666666666666666,0.7916666666666666,0.041666666666666664
1989,0.125,0.875,0.0
1990,0.35294117647058826,0.6470588235294118,0.0
1991,0.2916666666666667,0.6666666666666666,0.041666666666666664
1992,0.15789473684210525,0.8421052631578947,0.0
1993,0.18181818181818182,0.7727272727272727,0.045454545454545456
1994,0.14285714285714285,0.7619047619047619,0.09523809523809523
1995,0.0,1.0,0.0
1996,0.23404255319148937,0.7446808510638298,0.02127659574468085
1997,0.07017543859649122,0.8596491228070176,0.07017543859649122
1998,0.12,0.78,0.1
1999,0.25,0.6875,0.0625
2000,0.06666666666666667,0.9333333333333333,0.0
2001,0.21428571428571427,0.75,0.03571428571428571
2002,0.171875,0.75,0.078125
2003,0.1958762886597938,0.7525773195876289,0.05154639175257732
2004,0.14953271028037382,0.794392523364486,0.056074766355140186
2005,0.20149253731343283,0.746268656716418,0.05223880597014925
2006,0.14678899082568808,0.6972477064220184,0.1559633027522936
2007,0.2037037037037037,0.7345679012345679,0.06172839506172839
2008,0.11607142857142858,0.8035714285714286,0.08035714285714286
2009,0.24022346368715083,0.6927374301675978,0.0670391061452514
2010,0.2290748898678414,0.6960352422907489,0.07488986784140969
2011,0.2374429223744292,0.7031963470319634,0.0593607305936073
2012,0.17374517374517376,0.7567567567567568,0.0694980694980695
2013,0.23552123552123552,0.6756756756756757,0.0888030888030888
2014,0.17793594306049823,0.7722419928825622,0.0498220640569395
2015,0.1918819188191882,0.6863468634686347,0.12177121771217712
2016,0.2,0.73,0.07
2017,0.232,0.696,0.072
