year,pos,neu,neg
1950,0.0,1.0,0.0
1951,0.0,1.0,0.0
1952,0.16666666666666666,0.8333333333333334,0.0
1953,0.0,1.0,0.0
1954,0.0,0.0,0.0
1955,0.4,0.6,0.0
1956,0.0,1.0,0.0
1957,0.0,1.0,0.0
1958,0.0,0.8,0.2
1959,0.125,0.75,0.125
1960,0.0,0.8333333333333334,0.16666666666666666
1961,0.0,1.0,0.0
1962,0.0,1.0,0.0
1963,0.18181818181818182,0.8181818181818182,0.0
1964,0.3333333333333333,0.6666666666666666,0.0
1965,0.0,0.8333333333333334,0.16666666666666666
1966,0.0,0.5,0.5
1967,0.25,0.6875,0.0625
1968,0.0,0.875,0.125
1969,0.0,0.75,0.25
1970,0.25,0.75,0.0
1971,0.16666666666666666,0.5833333333333334,0.25
1972,0.0,1.0,0.0
1973,0.2222222222222222,0.7777777777777778,0.0
1974,0.16666666666666666,0.8333333333333334,0.0
1975,0.0,0.8461538461538461,0.15384615384615385
1976,0.0,1.0,0.0
1977,0.0,0.8333333333333334,0.16666666666666666
1978,0.2,0.7333333333333333,0.06666666666666667
1979,0.25,0.625,0.125
1980,0.4,0.4,0.2
1981,0.125,0.5,0.375
1982,1.0,0.0,0.0
1983,0.2222222222222222,0.7777777777777778,0.0
1984,0.3333333333333333,0.6666666666666666,0.0
1985,0.13333333333333333,0.7333333333333333,0.13333333333333333
1986,0.2631578947368421,0.631578947368421,0.10526315789473684
1987,0.2,0.8,0.0
1988,0.05263157894736842,0.8421052631578947,0.10526315789473684
1989,0.2631578947368421,0.6842105263157895,0.05263157894736842
1990,0.05263157894736842,0.5789473684210527,0.3684210526315789
1991,0.05555555555555555,0.8888888888888888,0.05555555555555555
1992,0.08695652173913043,0.9130434782608695,0.0
1993,0.07692307692307693,0.9230769230769231,0.0
1994,0.22580645161290322,0.6774193548387096,0.0967741935483871
1995,0.07407407407407407,0.7777777777777778,0.14814814814814814
1996,0.12121212121212122,0.7575757575757576,0.12121212121212122
1997,0.1794871794871795,0.7435897435897436,0.07692307692307693
1998,0.16666666666666666,0.7666666666666667,0.06666666666666667
1999,0.05555555555555555,0.7777777777777778,0.16666666666666666
2000,0.08823529411764706,0.7647058823529411,0.14705882352941177
2001,0.08108108108108109,0.8648648648648649,0.05405405405405406
2002,0.14285714285714285,0.7936507936507936,0.06349206349206349
2003,0.13333333333333333,0.7733333333333333,0.09333333333333334
2004,0.11029411764705882,0.8308823529411765,0.058823529411764705
2005,0.0916030534351145,0.7938931297709924,0.11450381679389313
2006,0.1452991452991453,0.7777777777777778,0.07692307692307693
2007,0.15023474178403756,0.6948356807511737,0.15492957746478872
2008,0.13725490196078433,0.7647058823529411,0.09803921568627451
2009,0.15165876777251186,0.7772511848341233,0.07109004739336493
2010,0.14444444444444443,0.7166666666666667,0.1388888888888889
2011,0.1774891774891775,0.7359307359307359,0.08658008658008658
2012,0.14772727272727273,0.7462121212121212,0.10606060606060606
2013,0.14042553191489363,0.7574468085106383,0.10212765957446808
2014,0.17880794701986755,0.7086092715231788,0.11258278145695365
2015,0.15510204081632653,0.763265306122449,0.08163265306122448
2016,0.15942028985507245,0.7717391304347826,0.06884057971014493
2017,0.136,0.744,0.12
