year,pos,neu,neg
1950,0.22935779816513763,0.6972477064220184,0.07339449541284404
1951,0.32222222222222224,0.6666666666666666,0.011111111111111112
1952,0.2875,0.6625,0.05
1953,0.36666666666666664,0.6222222222222222,0.011111111111111112
1954,0.3050847457627119,0.6101694915254238,0.0847457627118644
1955,0.1984126984126984,0.7142857142857143,0.0873015873015873
1956,0.2746478873239437,0.6338028169014085,0.09154929577464789
1957,0.2711864406779661,0.6779661016949152,0.05084745762711865
1958,0.29411764705882354,0.6386554621848739,0.06722689075630252
1959,0.2857142857142857,0.6240601503759399,0.09022556390977443
1960,0.2198581560283688,0.6879432624113475,0.09219858156028368
1961,0.18518518518518517,0.7592592592592593,0.05555555555555555
1962,0.21153846153846154,0.6987179487179487,0.08974358974358974
1963,0.1773049645390071,0.7588652482269503,0.06382978723404255
1964,0.22123893805309736,0.6991150442477876,0.07964601769911504
1965,0.26344086021505375,0.6666666666666666,0.06989247311827956
1966,0.2789473684210526,0.6421052631578947,0.07894736842105263
1967,0.24489795918367346,0.6887755102040817,0.0663265306122449
1968,0.27450980392156865,0.6601307189542484,0.06535947712418301
1969,0.2900763358778626,0.6564885496183206,0.05343511450381679
1970,0.29559748427672955,0.6352201257861635,0.06918238993710692
1971,0.2919254658385093,0.6459627329192547,0.062111801242236024
1972,0.22660098522167488,0.7142857142857143,0.059113300492610835
1973,0.28662420382165604,0.6496815286624203,0.06369426751592357
1974,0.2191780821917808,0.7123287671232876,0.0684931506849315
1975,0.20855614973262032,0.7165775401069518,0.0748663101604278
1976,0.18421052631578946,0.7,0.11578947368421053
1977,0.2193877551020408,0.6989795918367347,0.08163265306122448
1978,0.3,0.6294117647058823,0.07058823529411765
1979,0.2132701421800948,0.7203791469194313,0.06635071090047394
1980,0.24017467248908297,0.6855895196506551,0.07423580786026202
1981,0.24,0.7257142857142858,0.03428571428571429
1982,0.24561403508771928,0.6842105263157895,0.07017543859649122
1983,0.20085470085470086,0.7222222222222222,0.07692307692307693
1984,0.2422680412371134,0.6804123711340206,0.07731958762886598
1985,0.2611683848797251,0.6494845360824743,0.08934707903780069
1986,0.2687224669603524,0.6784140969162996,0.05286343612334802
1987,0.23183391003460208,0.6885813148788927,0.07958477508650519
1988,0.22895622895622897,0.6565656565656566,0.11447811447811448
1989,0.2689655172413793,0.6620689655172414,0.06896551724137931
1990,0.3344155844155844,0.5941558441558441,0.07142857142857142
1991,0.2360655737704918,0.7049180327868853,0.05901639344262295
1992,0.255663430420712,0.686084142394822,0.05825242718446602
1993,0.29846153846153844,0.6369230769230769,0.06461538461538462
1994,0.2996632996632997,0.6531986531986532,0.04713804713804714
1995,0.2732919254658385,0.6614906832298136,0.06521739130434782
1996,0.30386740331491713,0.6022099447513812,0.09392265193370165
1997,0.2391304347826087,0.6739130434782609,0.08695652173913043
1998,0.23160173160173161,0.7164502164502164,0.05194805194805195
1999,0.25343811394891946,0.6797642436149313,0.06679764243614932
2000,0.21673003802281368,0.7224334600760456,0.060836501901140684
2001,0.24210526315789474,0.6721804511278195,0.08571428571428572
2002,0.25648021828103684,0.6684856753069577,0.07503410641200546
2003,0.23905325443786982,0.6958579881656805,0.0650887573964497
2004,0.2585812356979405,0.6693363844393593,0.07208237986270023
2005,0.2562162162162162,0.6648648648648648,0.07891891891891892
2006,0.2589371980676328,0.6772946859903382,0.06376811594202898
2007,0.2553011026293469,0.6649703138252756,0.07972858354537744
2008,0.23837209302325582,0.6910299003322259,0.07059800664451828
2009,0.2449122807017544,0.6877192982456141,0.06736842105263158
2010,0.25799481417458947,0.6646499567847882,0.0773552290406223
2011,0.2683313515655965,0.6523979389615537,0.07927070947284978
2012,0.25810422650800163,0.6758309396799344,0.06606483381206402
2013,0.2636834319526627,0.6675295857988166,0.06878698224852071
2014,0.24954627949183303,0.6796733212341198,0.07078039927404718
2015,0.2548262548262548,0.6747104247104247,0.07046332046332046
2016,0.23244929797191888,0.6983879355174207,0.06916276651066043
2017,0.29023255813953486,0.6288372093023256,0.08093023255813954
