year,pos,neu,neg
1950,0.0,0.0,0.0
1951,0.3333333333333333,0.6666666666666666,0.0
1952,0.375,0.5,0.125
1953,0.0,0.0,0.0
1954,0.0,1.0,0.0
1955,0.25,0.75,0.0
1956,0.0,1.0,0.0
1957,0.0,1.0,0.0
1958,0.17647058823529413,0.6470588235294118,0.17647058823529413
1959,0.3333333333333333,0.6666666666666666,0.0
1960,0.16666666666666666,0.8333333333333334,0.0
1961,0.0,1.0,0.0
1962,0.1,0.7,0.2
1963,0.0,1.0,0.0
1964,0.0,0.0,0.0
1965,0.125,0.875,0.0
1966,0.0,0.6666666666666666,0.3333333333333333
1967,0.2222222222222222,0.7777777777777778,0.0
1968,0.0,1.0,0.0
1969,0.6,0.4,0.0
1970,0.25,0.75,0.0
1971,0.0,0.0,0.0
1972,0.0,1.0,0.0
1973,0.0,1.0,0.0
1974,0.2222222222222222,0.6666666666666666,0.1111111111111111
1975,0.0,0.0,0.0
1976,0.3333333333333333,0.3333333333333333,0.3333333333333333
1977,0.2857142857142857,0.6428571428571429,0.07142857142857142
1978,0.11320754716981132,0.7547169811320755,0.1320754716981132
1979,0.0,1.0,0.0
1980,0.3,0.5,0.2
1981,0.0,0.0,0.0
1982,0.18181818181818182,0.8181818181818182,0.0
1983,0.0,0.0,0.0
1984,0.0,0.0,0.0
1985,0.4,0.4,0.2
1986,0.09090909090909091,0.7272727272727273,0.18181818181818182
1987,0.0,1.0,0.0
1988,0.3333333333333333,0.5555555555555556,0.1111111111111111
1989,0.0,1.0,0.0
1990,0.07692307692307693,0.8461538461538461,0.07692307692307693
1991,0.5,0.5,0.0
1992,0.0,1.0,0.0
1993,0.6666666666666666,0.3333333333333333,0.0
1994,0.5,0.5,0.0
1995,0.0,0.75,0.25
1996,0.0,1.0,0.0
1997,0.07692307692307693,0.8461538461538461,0.07692307692307693
1998,0.0,0.625,0.375
1999,0.0,1.0,0.0
2000,0.25,0.75,0.0
2001,0.5,0.0,0.5
2002,0.2222222222222222,0.7222222222222222,0.05555555555555555
2003,0.25,0.5,0.25
2004,0.18518518518518517,0.7777777777777778,0.037037037037037035
2005,0.30434782608695654,0.6086956521739131,0.08695652173913043
2006,0.15789473684210525,0.7894736842105263,0.05263157894736842
2007,0.10256410256410256,0.8717948717948718,0.02564102564102564
2008,0.08695652173913043,0.8695652173913043,0.043478260869565216
2009,0.22058823529411764,0.6911764705882353,0.08823529411764706
2010,0.21333333333333335,0.68,0.10666666666666667
2011,0.15942028985507245,0.6376811594202898,0.2028985507246377
2012,0.23404255319148937,0.723404255319149,0.0425531914893617
2013,0.24242424242424243,0.7272727272727273,0.030303030303030304
2014,0.36363636363636365,0.5454545454545454,0.09090909090909091
2015,0.3333333333333333,0.5333333333333333,0.13333333333333333
2016,0.2549019607843137,0.7058823529411765,0.0392156862745098
2017,0.125,0.625,0.25
