year,pos,neu,neg
1950,0.0,1.0,0.0
1951,0.0,0.0,0.0
1952,1.0,0.0,0.0
1953,0.0,0.0,0.0
1954,1.0,0.0,0.0
1955,0.0,0.0,0.0
1956,0.0,0.0,0.0
1957,0.0,1.0,0.0
1958,0.0,1.0,0.0
1959,0.0,1.0,0.0
1960,0.0,1.0,0.0
1961,0.0,1.0,0.0
1962,0.0,0.0,0.0
1963,0.0,1.0,0.0
1964,0.5,0.5,0.0
1965,0.2,0.7,0.1
1966,0.0,0.0,1.0
1967,0.08333333333333333,0.8333333333333334,0.08333333333333333
1968,0.25,0.75,0.0
1969,0.0,0.0,0.0
1970,0.3333333333333333,0.6666666666666666,0.0
1971,0.0,1.0,0.0
1972,0.0,1.0,0.0
1973,0.2857142857142857,0.5714285714285714,0.14285714285714285
1974,0.0,0.8,0.2
1975,0.2,0.8,0.0
1976,0.3333333333333333,0.6666666666666666,0.0
1977,0.0,0.0,0.0
1978,0.2,0.4,0.4
1979,0.3333333333333333,0.6666666666666666,0.0
1980,0.08333333333333333,0.6666666666666666,0.25
1981,0.25,0.75,0.0
1982,0.0,1.0,0.0
1983,0.0,0.6666666666666666,0.3333333333333333
1984,0.2,0.8,0.0
1985,0.2857142857142857,0.5714285714285714,0.14285714285714285
1986,0.3333333333333333,0.3333333333333333,0.3333333333333333
1987,0.16666666666666666,0.8333333333333334,0.0
1988,0.05555555555555555,0.9444444444444444,0.0
1989,0.0,1.0,0.0
1990,0.0,1.0,0.0
1991,0.3333333333333333,0.6666666666666666,0.0
1992,0.3333333333333333,0.6666666666666666,0.0
1993,0.16666666666666666,0.6666666666666666,0.16666666666666666
1994,0.25,0.75,0.0
1995,0.0,0.6666666666666666,0.3333333333333333
1996,0.16666666666666666,0.8333333333333334,0.0
1997,0.14285714285714285,0.7142857142857143,0.14285714285714285
1998,0.26666666666666666,0.6,0.13333333333333333
1999,0.6,0.4,0.0
2000,0.3333333333333333,0.6666666666666666,0.0
2001,0.2,0.6,0.2
2002,0.125,0.75,0.125
2003,0.07692307692307693,0.9230769230769231,0.0
2004,0.08333333333333333,0.5833333333333334,0.3333333333333333
2005,0.25,0.7083333333333334,0.041666666666666664
2006,0.0,0.9411764705882353,0.058823529411764705
2007,0.28,0.68,0.04
2008,0.16666666666666666,0.7222222222222222,0.1111111111111111
2009,0.13043478260869565,0.8695652173913043,0.0
2010,0.25,0.675,0.075
2011,0.32,0.64,0.04
2012,0.09090909090909091,0.8484848484848485,0.06060606060606061
2013,0.32142857142857145,0.6428571428571429,0.03571428571428571
2014,0.19444444444444445,0.6944444444444444,0.1111111111111111
2015,0.23404255319148937,0.723404255319149,0.0425531914893617
2016,0.2222222222222222,0.6388888888888888,0.1388888888888889
2017,0.0,0.8333333333333334,0.16666666666666666
