year,pos,neu,neg
1950,0.0,0.0,0.0
1951,0.16666666666666666,0.8333333333333334,0.0
1952,0.0,1.0,0.0
1953,0.16666666666666666,0.8333333333333334,0.0
1954,0.0,0.0,0.0
1955,0.0,1.0,0.0
1956,0.0,0.5,0.5
1957,0.0,1.0,0.0
1958,0.25,0.75,0.0
1959,0.16666666666666666,0.5833333333333334,0.25
1960,0.16666666666666666,0.8333333333333334,0.0
1961,0.5,0.5,0.0
1962,0.2,0.8,0.0
1963,0.25,0.25,0.5
1964,0.05263157894736842,0.8421052631578947,0.10526315789473684
1965,0.0,0.6,0.4
1966,0.25,0.75,0.0
1967,0.0,0.8571428571428571,0.14285714285714285
1968,0.16666666666666666,0.8333333333333334,0.0
1969,0.75,0.0,0.25
1970,0.2916666666666667,0.5,0.20833333333333334
1971,0.0,1.0,0.0
1972,0.1111111111111111,0.8333333333333334,0.05555555555555555
1973,0.0,0.6666666666666666,0.3333333333333333
1974,0.0,0.9333333333333333,0.06666666666666667
1975,0.0,0.7142857142857143,0.2857142857142857
1976,0.07692307692307693,0.8461538461538461,0.07692307692307693
1977,0.0,0.5,0.5
1978,0.16666666666666666,0.696969696969697,0.13636363636363635
1979,0.19607843137254902,0.6274509803921569,0.17647058823529413
1980,0.14814814814814814,0.6481481481481481,0.2037037037037037
1981,0.38095238095238093,0.5238095238095238,0.09523809523809523
1982,0.16666666666666666,0.8333333333333334,0.0
1983,0.14285714285714285,0.5714285714285714,0.2857142857142857
1984,0.25,0.75,0.0
1985,0.14814814814814814,0.8518518518518519,0.0
1986,0.0,1.0,0.0
1987,0.0,1.0,0.0
1988,0.21428571428571427,0.5714285714285714,0.21428571428571427
1989,0.125,0.75,0.125
1990,0.2727272727272727,0.7272727272727273,0.0
1991,0.1388888888888889,0.6388888888888888,0.2222222222222222
1992,0.1111111111111111,0.6666666666666666,0.2222222222222222
1993,0.0,0.6875,0.3125
1994,0.13333333333333333,0.8,0.06666666666666667
1995,0.42857142857142855,0.5714285714285714,0.0
1996,0.18181818181818182,0.6590909090909091,0.1590909090909091
1997,0.0,0.6666666666666666,0.3333333333333333
1998,0.043478260869565216,0.8695652173913043,0.08695652173913043
1999,0.15789473684210525,0.7368421052631579,0.10526315789473684
2000,0.05660377358490566,0.8301886792452831,0.11320754716981132
2001,0.09302325581395349,0.7906976744186046,0.11627906976744186
2002,0.09090909090909091,0.5909090909090909,0.3181818181818182
2003,0.2571428571428571,0.6,0.14285714285714285
2004,0.18181818181818182,0.8181818181818182,0.0
2005,0.0784313725490196,0.7254901960784313,0.19607843137254902
2006,0.08433734939759036,0.4457831325301205,0.46987951807228917
2007,0.15254237288135594,0.5932203389830508,0.2542372881355932
2008,0.19117647058823528,0.7058823529411765,0.10294117647058823
2009,0.2345679012345679,0.6172839506172839,0.14814814814814814
2010,0.14953271028037382,0.7289719626168224,0.12149532710280374
2011,0.16666666666666666,0.7028985507246377,0.13043478260869565
2012,0.18072289156626506,0.6626506024096386,0.1566265060240964
2013,0.1388888888888889,0.7314814814814815,0.12962962962962962
2014,0.16129032258064516,0.6451612903225806,0.1935483870967742
2015,0.13131313131313133,0.7171717171717171,0.15151515151515152
2016,0.2111111111111111,0.6666666666666666,0.12222222222222222
2017,0.1388888888888889,0.6666666666666666,0.19444444444444445
