year,pos,neu,neg
1950,0.0,1.0,0.0
1951,0.0,0.0,0.0
1952,0.0,1.0,0.0
1953,0.0,1.0,0.0
1954,0.0,1.0,0.0
1955,0.0,1.0,0.0
1956,0.0,0.0,0.0
1957,0.0,1.0,0.0
1958,0.0,1.0,0.0
1959,0.0,0.0,0.0
1960,0.0,0.0,0.0
1961,0.0,1.0,0.0
1962,0.0,1.0,0.0
1963,0.0,1.0,0.0
1964,0.0,1.0,0.0
1965,0.16666666666666666,0.8333333333333334,0.0
1966,0.0,0.0,0.0
1967,0.16666666666666666,0.8333333333333334,0.0
1968,0.0,1.0,0.0
1969,0.6666666666666666,0.3333333333333333,0.0
1970,0.0,1.0,0.0
1971,0.16666666666666666,0.8333333333333334,0.0
1972,0.0,1.0,0.0
1973,0.0,0.0,0.0
1974,0.0,1.0,0.0
1975,0.0,1.0,0.0
1976,0.0,1.0,0.0
1977,0.0,1.0,0.0
1978,0.0,0.0,0.0
1979,0.125,0.875,0.0
1980,0.0,1.0,0.0
1981,0.0,1.0,0.0
1982,0.0,0.5,0.5
1983,0.0,1.0,0.0
1984,0.0,1.0,0.0
1985,0.0,1.0,0.0
1986,0.2,0.8,0.0
1987,0.0,1.0,0.0
1988,0.0,0.8333333333333334,0.16666666666666666
1989,0.0,0.9,0.1
1990,0.18181818181818182,0.45454545454545453,0.36363636363636365
1991,0.14285714285714285,0.8571428571428571,0.0
1992,0.18181818181818182,0.7272727272727273,0.09090909090909091
1993,0.07692307692307693,0.8461538461538461,0.07692307692307693
1994,0.2,0.6,0.2
1995,0.2,0.8,0.0
1996,0.0,0.9090909090909091,0.09090909090909091
1997,0.18181818181818182,0.6818181818181818,0.13636363636363635
1998,0.0,0.9230769230769231,0.07692307692307693
1999,0.0,0.8181818181818182,0.18181818181818182
2000,0.3076923076923077,0.6923076923076923,0.0
2001,0.11538461538461539,0.6923076923076923,0.19230769230769232
2002,0.045454545454545456,0.9090909090909091,0.045454545454545456
2003,0.08695652173913043,0.8695652173913043,0.043478260869565216
2004,0.16216216216216217,0.7297297297297297,0.10810810810810811
2005,0.1282051282051282,0.8333333333333334,0.038461538461538464
2006,0.14814814814814814,0.8148148148148148,0.037037037037037035
2007,0.19230769230769232,0.8076923076923077,0.0
2008,0.06060606060606061,0.8939393939393939,0.045454545454545456
2009,0.11235955056179775,0.7528089887640449,0.1348314606741573
2010,0.15217391304347827,0.7717391304347826,0.07608695652173914
2011,0.13131313131313133,0.7878787878787878,0.08080808080808081
2012,0.09803921568627451,0.8431372549019608,0.058823529411764705
2013,0.27941176470588236,0.7205882352941176,0.0
2014,0.1926605504587156,0.7155963302752294,0.09174311926605505
2015,0.14285714285714285,0.8095238095238095,0.047619047619047616
2016,0.16363636363636364,0.7636363636363637,0.07272727272727272
2017,0.1568627450980392,0.7254901960784313,0.11764705882352941
