year,pos,neu,neg
1950,0.1111111111111111,0.8333333333333334,0.05555555555555555
1951,0.3333333333333333,0.6190476190476191,0.047619047619047616
1952,0.0,0.75,0.25
1953,0.2222222222222222,0.7777777777777778,0.0
1954,0.0,0.6666666666666666,0.3333333333333333
1955,0.2631578947368421,0.5789473684210527,0.15789473684210525
1956,0.4,0.6,0.0
1957,0.5,0.0,0.5
1958,0.4,0.4666666666666667,0.13333333333333333
1959,0.21052631578947367,0.6842105263157895,0.10526315789473684
1960,0.23333333333333334,0.6666666666666666,0.1
1961,0.34285714285714286,0.5428571428571428,0.11428571428571428
1962,0.0,1.0,0.0
1963,0.10526315789473684,0.7894736842105263,0.10526315789473684
1964,0.25,0.75,0.0
1965,0.0,0.625,0.375
1966,0.15789473684210525,0.631578947368421,0.21052631578947367
1967,0.3333333333333333,0.5555555555555556,0.1111111111111111
1968,0.375,0.625,0.0
1969,0.1111111111111111,0.6666666666666666,0.2222222222222222
1970,0.16666666666666666,0.6666666666666666,0.16666666666666666
1971,0.17647058823529413,0.7647058823529411,0.058823529411764705
1972,0.25,0.75,0.0
1973,0.3333333333333333,0.6666666666666666,0.0
1974,0.14285714285714285,0.5714285714285714,0.2857142857142857
1975,0.0,1.0,0.0
1976,0.0,0.8571428571428571,0.14285714285714285
1977,0.0,0.8,0.2
1978,0.0,0.75,0.25
1979,0.0,1.0,0.0
1980,0.08333333333333333,0.8333333333333334,0.08333333333333333
1981,0.3,0.6,0.1
1982,0.1875,0.75,0.0625
1983,0.3333333333333333,0.6666666666666666,0.0
1984,0.0,1.0,0.0
1985,0.0,0.75,0.25
1986,0.25,0.75,0.0
1987,0.2857142857142857,0.7142857142857143,0.0
1988,0.16666666666666666,0.6666666666666666,0.16666666666666666
1989,0.2857142857142857,0.6428571428571429,0.07142857142857142
1990,0.6666666666666666,0.3333333333333333,0.0
1991,0.3076923076923077,0.38461538461538464,0.3076923076923077
1992,0.13333333333333333,0.6666666666666666,0.2
1993,0.18181818181818182,0.8181818181818182,0.0
1994,0.42857142857142855,0.5714285714285714,0.0
1995,0.18181818181818182,0.5454545454545454,0.2727272727272727
1996,0.25,0.75,0.0
1997,0.08333333333333333,0.75,0.16666666666666666
1998,0.2857142857142857,0.5714285714285714,0.14285714285714285
1999,0.14285714285714285,0.7857142857142857,0.07142857142857142
2000,0.06666666666666667,0.9333333333333333,0.0
2001,0.25,0.75,0.0
2002,0.16666666666666666,0.75,0.08333333333333333
2003,0.28,0.64,0.08
2004,0.16,0.76,0.08
2005,0.1111111111111111,0.8888888888888888,0.0
2006,0.11538461538461539,0.7307692307692307,0.15384615384615385
2007,0.08333333333333333,0.9166666666666666,0.0
2008,0.19230769230769232,0.8076923076923077,0.0
2009,0.2608695652173913,0.6521739130434783,0.08695652173913043
2010,0.16666666666666666,0.8333333333333334,0.0
2011,0.2647058823529412,0.7058823529411765,0.029411764705882353
2012,0.3333333333333333,0.5454545454545454,0.12121212121212122
2013,0.17857142857142858,0.75,0.07142857142857142
2014,0.3076923076923077,0.6923076923076923,0.0
2015,0.16,0.64,0.2
2016,0.12121212121212122,0.7272727272727273,0.15151515151515152
2017,0.0,1.0,0.0
