year,pos,neu,neg
1950,0.0,0.0,0.0
1951,1.0,0.0,0.0
1952,0.0,0.0,0.0
1953,0.0,0.0,0.0
1954,0.5,0.5,0.0
1955,0.0,0.0,0.0
1956,0.0,0.0,0.0
1957,0.0,1.0,0.0
1958,0.0,1.0,0.0
1959,0.0,1.0,0.0
1960,0.0,0.6666666666666666,0.3333333333333333
1961,0.0,1.0,0.0
1962,0.0,0.0,0.0
1963,0.3333333333333333,0.6666666666666666,0.0
1964,0.25,0.5,0.25
1965,0.0,0.8333333333333334,0.16666666666666666
1966,0.2,0.4,0.4
1967,0.0,0.8333333333333334,0.16666666666666666
1968,0.0,1.0,0.0
1969,0.0,1.0,0.0
1970,0.0,1.0,0.0
1971,0.0,1.0,0.0
1972,0.0,1.0,0.0
1973,0.4,0.6,0.0
1974,0.0,0.0,0.0
1975,0.2,0.6,0.2
1976,0.6666666666666666,0.3333333333333333,0.0
1977,0.5,0.5,0.0
1978,0.25,0.75,0.0
1979,0.0,1.0,0.0
1980,0.3333333333333333,0.3333333333333333,0.3333333333333333
1981,0.0,0.75,0.25
1982,0.0,1.0,0.0
1983,0.0,1.0,0.0
1984,0.25,0.75,0.0
1985,0.0,0.5,0.5
1986,0.0,1.0,0.0
1987,0.2,0.8,0.0
1988,0.0,0.6,0.4
1989,0.0,1.0,0.0
1990,0.0,0.0,0.0
1991,0.16666666666666666,0.8333333333333334,0.0
1992,0.0,0.0,0.0
1993,0.0,1.0,0.0
1994,0.125,0.875,0.0
1995,0.23076923076923078,0.6923076923076923,0.07692307692307693
1996,0.5,0.5,0.0
1997,0.0,0.875,0.125
1998,0.5,0.5,0.0
1999,0.375,0.625,0.0
2000,0.3076923076923077,0.6923076923076923,0.0
2001,0.25,0.6666666666666666,0.08333333333333333
2002,0.4166666666666667,0.5833333333333334,0.0
2003,0.3333333333333333,0.6666666666666666,0.0
2004,0.09090909090909091,0.9090909090909091,0.0
2005,0.21739130434782608,0.6521739130434783,0.13043478260869565
2006,0.375,0.5625,0.0625
2007,0.125,0.8125,0.0625
2008,0.25,0.65,0.1
2009,0.20833333333333334,0.6666666666666666,0.125
2010,0.21739130434782608,0.6956521739130435,0.08695652173913043
2011,0.391304347826087,0.5217391304347826,0.08695652173913043
2012,0.21052631578947367,0.7368421052631579,0.05263157894736842
2013,0.2692307692307692,0.5384615384615384,0.19230769230769232
2014,0.2727272727272727,0.7272727272727273,0.0
2015,0.14705882352941177,0.7647058823529411,0.08823529411764706
2016,0.15789473684210525,0.8421052631578947,0.0
2017,0.5,0.5,0.0
