year,pos,neu,neg
1950,0.0,1.0,0.0
1951,0.0,0.0,0.0
1952,0.0,1.0,0.0
1953,0.4,0.6,0.0
1954,0.0,0.0,0.0
1955,1.0,0.0,0.0
1956,0.0,0.0,0.0
1957,0.0,1.0,0.0
1958,0.0,0.0,0.0
1959,0.0,1.0,0.0
1960,0.0,1.0,0.0
1961,0.0,1.0,0.0
1962,0.0,0.0,0.0
1963,0.4,0.3333333333333333,0.26666666666666666
1964,0.3333333333333333,0.5555555555555556,0.1111111111111111
1965,0.4,0.5,0.1
1966,0.6666666666666666,0.3333333333333333,0.0
1967,0.8,0.0,0.2
1968,0.0,0.0,1.0
1969,0.0,0.8,0.2
1970,0.21428571428571427,0.6428571428571429,0.14285714285714285
1971,0.42857142857142855,0.42857142857142855,0.14285714285714285
1972,0.0,0.6,0.4
1973,0.25,0.75,0.0
1974,0.25,0.75,0.0
1975,0.3333333333333333,0.6666666666666666,0.0
1976,0.5,0.25,0.25
1977,0.07142857142857142,0.6428571428571429,0.2857142857142857
1978,0.3333333333333333,0.6666666666666666,0.0
1979,0.34782608695652173,0.5217391304347826,0.13043478260869565
1980,0.0,1.0,0.0
1981,0.0,1.0,0.0
1982,0.125,0.625,0.25
1983,0.1111111111111111,0.8888888888888888,0.0
1984,0.2222222222222222,0.6111111111111112,0.16666666666666666
1985,0.44,0.52,0.04
1986,0.0,0.6666666666666666,0.3333333333333333
1987,0.2857142857142857,0.6666666666666666,0.047619047619047616
1988,0.35,0.65,0.0
1989,0.3333333333333333,0.6190476190476191,0.047619047619047616
1990,0.4444444444444444,0.5555555555555556,0.0
1991,0.2222222222222222,0.6111111111111112,0.16666666666666666
1992,0.55,0.38333333333333336,0.06666666666666667
1993,0.4,0.6,0.0
1994,0.3,0.7,0.0
1995,0.5,0.46875,0.03125
1996,0.26666666666666666,0.7333333333333333,0.0
1997,0.18518518518518517,0.7777777777777778,0.037037037037037035
1998,0.42857142857142855,0.35714285714285715,0.21428571428571427
1999,0.3111111111111111,0.6444444444444445,0.044444444444444446
2000,0.2972972972972973,0.5675675675675675,0.13513513513513514
2001,0.3448275862068966,0.5,0.15517241379310345
2002,0.27631578947368424,0.5789473684210527,0.14473684210526316
2003,0.3673469387755102,0.5714285714285714,0.061224489795918366
2004,0.21568627450980393,0.6274509803921569,0.1568627450980392
2005,0.2125,0.6125,0.175
2006,0.273972602739726,0.6301369863013698,0.0958904109589041
2007,0.34615384615384615,0.5897435897435898,0.0641025641025641
2008,0.1917808219178082,0.7397260273972602,0.0684931506849315
2009,0.3709677419354839,0.5564516129032258,0.07258064516129033
2010,0.2907801418439716,0.624113475177305,0.0851063829787234
2011,0.3487394957983193,0.5756302521008403,0.07563025210084033
2012,0.26373626373626374,0.6483516483516484,0.08791208791208792
2013,0.29523809523809524,0.6190476190476191,0.08571428571428572
2014,0.3025210084033613,0.5882352941176471,0.1092436974789916
2015,0.28421052631578947,0.631578947368421,0.08421052631578947
2016,0.2624113475177305,0.6950354609929078,0.0425531914893617
2017,0.328125,0.625,0.046875
