year,pos,neu,neg
1950,0.0,0.0,0.0
1951,0.0,0.0,0.0
1952,0.0,0.5,0.5
1953,0.0,0.0,0.0
1954,0.0,0.0,0.0
1955,0.0,0.0,1.0
1956,0.0,0.0,0.0
1957,0.0,0.0,0.0
1958,0.0,0.0,1.0
1959,0.0,0.0,0.0
1960,0.0,0.0,1.0
1961,0.0,0.0,1.0
1962,0.0,0.0,0.0
1963,0.0,0.0,0.0
1964,1.0,0.0,0.0
1965,0.0,0.5,0.5
1966,0.14285714285714285,0.0,0.8571428571428571
1967,0.0,0.6666666666666666,0.3333333333333333
1968,0.0,0.0,0.0
1969,0.42857142857142855,0.0,0.5714285714285714
1970,0.0,0.0,1.0
1971,0.0,0.3333333333333333,0.6666666666666666
1972,0.0,0.0,1.0
1973,0.0,0.0,0.0
1974,0.0,0.0,1.0
1975,0.0,0.0,1.0
1976,0.0,0.0,1.0
1977,0.0,0.0,1.0
1978,0.0,0.0,0.0
1979,0.0,0.0,1.0
1980,0.0,0.0,0.0
1981,0.0,0.6,0.4
1982,0.0,0.0,1.0
1983,0.0,0.0,1.0
1984,0.0,0.5,0.5
1985,0.0,0.0,1.0
1986,0.0,0.0,0.0
1987,0.0,0.0,1.0
1988,0.0,0.0,1.0
1989,0.09090909090909091,0.18181818181818182,0.7272727272727273
1990,0.0,0.0,1.0
1991,0.0,0.0,1.0
1992,0.0,0.0,0.0
1993,0.0,0.0,0.0
1994,0.0,0.0,1.0
1995,0.0,0.0,0.0
1996,0.0,0.0,0.0
1997,0.0,0.0,1.0
1998,0.0,0.0,1.0
1999,0.0,0.0,1.0
2000,0.0,0.0,1.0
2001,0.0,0.5,0.5
2002,0.0,0.0,1.0
2003,0.0,0.0,1.0
2004,0.25,0.25,0.5
2005,0.0,0.0,1.0
2006,0.2,0.2,0.6
2007,0.16666666666666666,0.3333333333333333,0.5
2008,0.0,0.0,1.0
2009,0.0,0.2,0.8
2010,0.0,0.125,0.875
2011,0.0,0.125,0.875
2012,0.0,0.3076923076923077,0.6923076923076923
2013,0.0,0.3333333333333333,0.6666666666666666
2014,0.06666666666666667,0.2,0.7333333333333333
2015,0.05555555555555555,0.1111111111111111,0.8333333333333334
2016,0.0,0.09090909090909091,0.9090909090909091
2017,0.0,0.3333333333333333,0.6666666666666666
