year,pos,neu,neg
1950,0.0,0.0,0.0
1951,0.0,0.0,0.0
1952,0.0,0.0,0.0
1953,0.0,0.0,0.0
1954,0.0,0.0,0.0
1955,0.0,0.0,1.0
1956,0.0,0.0,0.0
1957,0.0,0.0,0.0
1958,0.0,0.0,0.0
1959,0.0,0.0,0.0
1960,0.0,0.0,0.0
1961,0.0,0.0,0.0
1962,0.0,0.0,0.0
1963,0.0,0.0,0.0
1964,0.0,0.0,0.0
1965,0.0,1.0,0.0
1966,0.0,0.0,0.0
1967,0.0,0.0,0.0
1968,0.0,0.0,0.0
1969,0.0,0.0,0.0
1970,0.0,0.0,0.0
1971,0.0,0.0,0.0
1972,0.0,0.0,0.0
1973,0.0,0.0,0.0
1974,0.0,0.0,0.0
1975,0.0,0.0,0.0
1976,0.0,0.0,0.0
1977,0.0,0.0,0.0
1978,0.0,0.0,0.0
1979,0.0,0.0,0.0
1980,0.0,0.0,0.0
1981,0.0,0.0,0.0
1982,0.0,0.0,0.0
1983,0.0,1.0,0.0
1984,0.0,0.0,0.0
1985,0.0,0.0,1.0
1986,0.0,0.0,0.0
1987,0.0,0.0,0.0
1988,0.0,0.25,0.75
1989,0.0,0.0,1.0
1990,0.0,0.2,0.8
1991,0.0,0.25,0.75
1992,0.0,0.0,0.0
1993,0.0,0.0,1.0
1994,0.0,0.2,0.8
1995,0.0,0.0,1.0
1996,0.0,0.0,1.0
1997,0.3333333333333333,0.0,0.6666666666666666
1998,0.0,1.0,0.0
1999,0.0,0.0,0.0
2000,0.0,0.16666666666666666,0.8333333333333334
2001,0.14285714285714285,0.2857142857142857,0.5714285714285714
2002,0.0,0.18181818181818182,0.8181818181818182
2003,0.0,0.14285714285714285,0.8571428571428571
2004,0.0,0.16666666666666666,0.8333333333333334
2005,0.0,0.0,1.0
2006,0.0,0.125,0.875
2007,0.05263157894736842,0.10526315789473684,0.8421052631578947
2008,0.14285714285714285,0.14285714285714285,0.7142857142857143
2009,0.058823529411764705,0.058823529411764705,0.8823529411764706
2010,0.0,0.15,0.85
2011,0.0,0.125,0.875
2012,0.0,0.3333333333333333,0.6666666666666666
2013,0.09523809523809523,0.2857142857142857,0.6190476190476191
2014,0.0,0.08333333333333333,0.9166666666666666
2015,0.0,0.1111111111111111,0.8888888888888888
2016,0.0,0.25,0.75
2017,0.0,0.4166666666666667,0.5833333333333334
