year,pos,neu,neg
1950,0.0,1.0,0.0
1951,0.14285714285714285,0.7142857142857143,0.14285714285714285
1952,0.09090909090909091,0.9090909090909091,0.0
1953,0.0,0.7777777777777778,0.2222222222222222
1954,0.0,1.0,0.0
1955,0.1111111111111111,0.7777777777777778,0.1111111111111111
1956,0.13333333333333333,0.8,0.06666666666666667
1957,0.0,0.8333333333333334,0.16666666666666666
1958,0.2,0.8,0.0
1959,0.38461538461538464,0.46153846153846156,0.15384615384615385
1960,0.0,1.0,0.0
1961,0.0,1.0,0.0
1962,0.0,0.8333333333333334,0.16666666666666666
1963,0.14285714285714285,0.8571428571428571,0.0
1964,0.16666666666666666,0.8333333333333334,0.0
1965,0.08333333333333333,0.75,0.16666666666666666
1966,0.1,0.85,0.05
1967,0.1111111111111111,0.8888888888888888,0.0
1968,0.0,0.9,0.1
1969,0.14285714285714285,0.7619047619047619,0.09523809523809523
1970,0.25,0.75,0.0
1971,0.0,1.0,0.0
1972,0.0,0.8888888888888888,0.1111111111111111
1973,0.2,0.7333333333333333,0.06666666666666667
1974,0.21739130434782608,0.6521739130434783,0.13043478260869565
1975,0.0,0.8,0.2
1976,0.08333333333333333,0.8333333333333334,0.08333333333333333
1977,0.0,0.8,0.2
1978,0.0,0.8666666666666667,0.13333333333333333
1979,0.21428571428571427,0.6428571428571429,0.14285714285714285
1980,0.6666666666666666,0.3333333333333333,0.0
1981,0.07142857142857142,0.5714285714285714,0.35714285714285715
1982,0.125,0.875,0.0
1983,0.16666666666666666,0.7222222222222222,0.1111111111111111
1984,0.07692307692307693,0.7307692307692307,0.19230769230769232
1985,0.08333333333333333,0.7916666666666666,0.125
1986,0.18181818181818182,0.6818181818181818,0.13636363636363635
1987,0.10526315789473684,0.7894736842105263,0.10526315789473684
1988,0.10344827586206896,0.6896551724137931,0.20689655172413793
1989,0.2608695652173913,0.6304347826086957,0.10869565217391304
1990,0.125,0.75,0.125
1991,0.20588235294117646,0.6470588235294118,0.14705882352941177
1992,0.15625,0.8125,0.03125
1993,0.21739130434782608,0.7391304347826086,0.043478260869565216
1994,0.2727272727272727,0.5454545454545454,0.18181818181818182
1995,0.15384615384615385,0.7307692307692307,0.11538461538461539
1996,0.13953488372093023,0.6744186046511628,0.18604651162790697
1997,0.12,0.72,0.16
1998,0.14864864864864866,0.7027027027027027,0.14864864864864866
1999,0.1509433962264151,0.7547169811320755,0.09433962264150944
2000,0.22641509433962265,0.7075471698113207,0.0660377358490566
2001,0.16666666666666666,0.6666666666666666,0.16666666666666666
2002,0.18085106382978725,0.7127659574468085,0.10638297872340426
2003,0.19047619047619047,0.6904761904761905,0.11904761904761904
2004,0.21311475409836064,0.7049180327868853,0.08196721311475409
2005,0.1678832116788321,0.6715328467153284,0.16058394160583941
2006,0.13836477987421383,0.6792452830188679,0.18238993710691823
2007,0.14492753623188406,0.7246376811594203,0.13043478260869565
2008,0.16666666666666666,0.7222222222222222,0.1111111111111111
2009,0.1598173515981735,0.726027397260274,0.1141552511415525
2010,0.25892857142857145,0.6607142857142857,0.08035714285714286
2011,0.25925925925925924,0.6455026455026455,0.09523809523809523
2012,0.16,0.705,0.135
2013,0.2159090909090909,0.6590909090909091,0.125
2014,0.23766816143497757,0.6457399103139013,0.11659192825112108
2015,0.17543859649122806,0.6666666666666666,0.15789473684210525
2016,0.21052631578947367,0.6381578947368421,0.1513157894736842
2017,0.16981132075471697,0.7358490566037735,0.09433962264150944
