year,pos,neu,neg
1950,0.0,0.0,0.0
1951,0.0,0.0,0.0
1952,0.0,0.0,0.0
1953,0.0,0.0,0.0
1954,0.0,1.0,0.0
1955,0.75,0.25,0.0
1956,1.0,0.0,0.0
1957,0.0,0.0,0.0
1958,0.0,0.0,0.0
1959,0.0,0.0,0.0
1960,0.0,0.0,0.0
1961,0.0,0.0,0.0
1962,0.0,0.0,0.0
1963,0.0,0.0,0.0
1964,0.3333333333333333,0.6666666666666666,0.0
1965,0.0,1.0,0.0
1966,0.0,1.0,0.0
1967,0.3333333333333333,0.6666666666666666,0.0
1968,0.0,0.0,0.0
1969,0.5,0.5,0.0
1970,0.0,0.0,0.0
1971,0.0,1.0,0.0
1972,0.0,0.0,0.0
1973,1.0,0.0,0.0
1974,0.0,0.0,0.0
1975,0.5,0.5,0.0
1976,0.5,0.5,0.0
1977,0.0,0.0,0.0
1978,1.0,0.0,0.0
1979,0.16666666666666666,0.6666666666666666,0.16666666666666666
1980,0.2,0.6,0.2
1981,0.0,0.0,0.0
1982,1.0,0.0,0.0
1983,0.5,0.5,0.0
1984,0.0,0.0,0.0
1985,0.0,1.0,0.0
1986,0.0,1.0,0.0
1987,0.0,1.0,0.0
1988,1.0,0.0,0.0
1989,0.0,1.0,0.0
1990,0.0,1.0,0.0
1991,0.0,1.0,0.0
1992,0.07142857142857142,0.9285714285714286,0.0
1993,0.5,0.5,0.0
1994,0.0,1.0,0.0
1995,0.0,0.6666666666666666,0.3333333333333333
1996,0.4,0.2,0.4
1997,0.14285714285714285,0.8571428571428571,0.0
1998,1.0,0.0,0.0
1999,0.0,1.0,0.0
2000,0.25,0.5,0.25
2001,0.2,0.8,0.0
2002,0.5,0.3333333333333333,0.16666666666666666
2003,0.0,1.0,0.0
2004,0.14285714285714285,0.7142857142857143,0.14285714285714285
2005,0.125,0.875,0.0
2006,0.3333333333333333,0.6666666666666666,0.0
2007,0.2222222222222222,0.5555555555555556,0.2222222222222222
2008,0.25,0.75,0.0
2009,0.4444444444444444,0.5555555555555556,0.0
2010,0.0,0.9,0.1
2011,0.13333333333333333,0.7333333333333333,0.13333333333333333
2012,0.1111111111111111,0.7777777777777778,0.1111111111111111
2013,0.10810810810810811,0.6756756756756757,0.21621621621621623
2014,0.25,0.75,0.0
2015,0.0,1.0,0.0
2016,0.07692307692307693,0.9230769230769231,0.0
2017,0.0,0.0,0.0
