year,pos,neu,neg
1950,0.3333333333333333,0.6666666666666666,0.0
1951,0.0,1.0,0.0
1952,0.0,0.8333333333333334,0.16666666666666666
1953,0.3333333333333333,0.6666666666666666,0.0
1954,0.0,1.0,0.0
1955,0.5,0.5,0.0
1956,0.0,1.0,0.0
1957,0.25,0.75,0.0
1958,0.0,1.0,0.0
1959,0.0,1.0,0.0
1960,0.3333333333333333,0.3333333333333333,0.3333333333333333
1961,0.0,1.0,0.0
1962,0.2,0.8,0.0
1963,0.3333333333333333,0.6666666666666666,0.0
1964,0.2,0.8,0.0
1965,0.3333333333333333,0.5555555555555556,0.1111111111111111
1966,1.0,0.0,0.0
1967,0.0,1.0,0.0
1968,0.0,1.0,0.0
1969,0.3333333333333333,0.6666666666666666,0.0
1970,0.3333333333333333,0.6666666666666666,0.0
1971,0.0,1.0,0.0
1972,0.06666666666666667,0.8666666666666667,0.06666666666666667
1973,0.0,1.0,0.0
1974,0.0,1.0,0.0
1975,0.1,0.8,0.1
1976,0.3333333333333333,0.6666666666666666,0.0
1977,0.25,0.75,0.0
1978,0.25,0.75,0.0
1979,0.0,1.0,0.0
1980,0.3333333333333333,0.3333333333333333,0.3333333333333333
1981,0.0,1.0,0.0
1982,0.25,0.5,0.25
1983,0.0,1.0,0.0
1984,0.2,0.7,0.1
1985,0.25,0.75,0.0
1986,0.2,0.8,0.0
1987,0.0,1.0,0.0
1988,0.2222222222222222,0.7777777777777778,0.0
1989,0.4166666666666667,0.5,0.08333333333333333
1990,0.2,0.8,0.0
1991,0.047619047619047616,0.8095238095238095,0.14285714285714285
1992,0.18181818181818182,0.7272727272727273,0.09090909090909091
1993,0.3333333333333333,0.6666666666666666,0.0
1994,0.125,0.625,0.25
1995,0.0,0.8666666666666667,0.13333333333333333
1996,0.07692307692307693,0.8846153846153846,0.038461538461538464
1997,0.375,0.4375,0.1875
1998,0.15,0.85,0.0
1999,0.1875,0.625,0.1875
2000,0.125,0.75,0.125
2001,0.3333333333333333,0.6666666666666666,0.0
2002,0.11538461538461539,0.8846153846153846,0.0
2003,0.12,0.8,0.08
2004,0.1702127659574468,0.7021276595744681,0.1276595744680851
2005,0.10526315789473684,0.868421052631579,0.02631578947368421
2006,0.17073170731707318,0.7804878048780488,0.04878048780487805
2007,0.21428571428571427,0.7380952380952381,0.047619047619047616
2008,0.21818181818181817,0.7818181818181819,0.0
2009,0.10256410256410256,0.8205128205128205,0.07692307692307693
2010,0.15789473684210525,0.7789473684210526,0.06315789473684211
2011,0.2,0.7375,0.0625
2012,0.1038961038961039,0.8441558441558441,0.05194805194805195
2013,0.10588235294117647,0.7764705882352941,0.11764705882352941
2014,0.109375,0.765625,0.125
2015,0.16417910447761194,0.7761194029850746,0.05970149253731343
2016,0.1702127659574468,0.7659574468085106,0.06382978723404255
2017,0.23076923076923078,0.6923076923076923,0.07692307692307693
