year,pos,neu,neg
1950,0.21428571428571427,0.7619047619047619,0.023809523809523808
1951,0.3333333333333333,0.5833333333333334,0.08333333333333333
1952,0.2222222222222222,0.7777777777777778,0.0
1953,0.16666666666666666,0.5,0.3333333333333333
1954,0.2857142857142857,0.7142857142857143,0.0
1955,0.16,0.84,0.0
1956,0.11764705882352941,0.7941176470588235,0.08823529411764706
1957,0.16279069767441862,0.7674418604651163,0.06976744186046512
1958,0.18604651162790697,0.7674418604651163,0.046511627906976744
1959,0.16,0.76,0.08
1960,0.14285714285714285,0.8095238095238095,0.047619047619047616
1961,0.4,0.6,0.0
1962,0.1875,0.75,0.0625
1963,0.06896551724137931,0.7931034482758621,0.13793103448275862
1964,0.16666666666666666,0.8333333333333334,0.0
1965,0.08333333333333333,0.8888888888888888,0.027777777777777776
1966,0.0,0.8333333333333334,0.16666666666666666
1967,0.13043478260869565,0.7391304347826086,0.13043478260869565
1968,0.2,0.7,0.1
1969,0.16666666666666666,0.7777777777777778,0.05555555555555555
1970,0.09090909090909091,0.7727272727272727,0.13636363636363635
1971,0.1111111111111111,0.7777777777777778,0.1111111111111111
1972,0.20930232558139536,0.5813953488372093,0.20930232558139536
1973,0.045454545454545456,0.8181818181818182,0.13636363636363635
1974,0.13333333333333333,0.6444444444444445,0.2222222222222222
1975,0.1111111111111111,0.5555555555555556,0.3333333333333333
1976,0.15,0.75,0.1
1977,0.1590909090909091,0.75,0.09090909090909091
1978,0.05263157894736842,0.7894736842105263,0.15789473684210525
1979,0.1590909090909091,0.7272727272727273,0.11363636363636363
1980,0.12121212121212122,0.8787878787878788,0.0
1981,0.1111111111111111,0.7777777777777778,0.1111111111111111
1982,0.2857142857142857,0.7142857142857143,0.0
1983,0.0,0.9,0.1
1984,0.2222222222222222,0.6666666666666666,0.1111111111111111
1985,0.14285714285714285,0.8214285714285714,0.03571428571428571
1986,0.16666666666666666,0.7222222222222222,0.1111111111111111
1987,0.11428571428571428,0.8857142857142857,0.0
1988,0.23529411764705882,0.7058823529411765,0.058823529411764705
1989,0.05555555555555555,0.7222222222222222,0.2222222222222222
1990,0.24,0.64,0.12
1991,0.043478260869565216,0.8260869565217391,0.13043478260869565
1992,0.36,0.56,0.08
1993,0.25,0.7142857142857143,0.03571428571428571
1994,0.17142857142857143,0.6571428571428571,0.17142857142857143
1995,0.23255813953488372,0.6976744186046512,0.06976744186046512
1996,0.21138211382113822,0.6504065040650406,0.13821138211382114
1997,0.15151515151515152,0.7272727272727273,0.12121212121212122
1998,0.2,0.7714285714285715,0.02857142857142857
1999,0.19230769230769232,0.7115384615384616,0.09615384615384616
2000,0.13636363636363635,0.8636363636363636,0.0
2001,0.057692307692307696,0.7884615384615384,0.15384615384615385
2002,0.13725490196078433,0.7058823529411765,0.1568627450980392
2003,0.07777777777777778,0.8555555555555555,0.06666666666666667
2004,0.10091743119266056,0.8165137614678899,0.08256880733944955
2005,0.115,0.75,0.135
2006,0.10837438423645321,0.7586206896551724,0.1330049261083744
2007,0.14285714285714285,0.7142857142857143,0.14285714285714285
2008,0.09352517985611511,0.762589928057554,0.14388489208633093
2009,0.1444043321299639,0.7509025270758123,0.10469314079422383
2010,0.06741573033707865,0.797752808988764,0.1348314606741573
2011,0.125,0.75,0.125
2012,0.08888888888888889,0.7611111111111111,0.15
2013,0.14285714285714285,0.7589285714285714,0.09821428571428571
2014,0.10909090909090909,0.7545454545454545,0.13636363636363635
2015,0.14705882352941177,0.7254901960784313,0.12745098039215685
2016,0.11643835616438356,0.773972602739726,0.1095890410958904
2017,0.15714285714285714,0.7285714285714285,0.11428571428571428
