year,pos,neu,neg
1950,0.5,0.5,0.0
1951,0.0,0.8,0.2
1952,0.15789473684210525,0.7894736842105263,0.05263157894736842
1953,0.18181818181818182,0.7272727272727273,0.09090909090909091
1954,0.16666666666666666,0.8333333333333334,0.0
1955,0.17647058823529413,0.8235294117647058,0.0
1956,0.23809523809523808,0.7142857142857143,0.047619047619047616
1957,0.2857142857142857,0.7142857142857143,0.0
1958,0.3,0.7,0.0
1959,0.15789473684210525,0.6842105263157895,0.15789473684210525
1960,0.25,0.75,0.0
1961,0.125,0.875,0.0
1962,0.18181818181818182,0.7878787878787878,0.030303030303030304
1963,0.23809523809523808,0.5714285714285714,0.19047619047619047
1964,0.1111111111111111,0.7037037037037037,0.18518518518518517
1965,0.09090909090909091,0.8636363636363636,0.045454545454545456
1966,0.058823529411764705,0.8823529411764706,0.058823529411764705
1967,0.13636363636363635,0.6590909090909091,0.20454545454545456
1968,0.15,0.75,0.1
1969,0.0625,0.875,0.0625
1970,0.125,0.8125,0.0625
1971,0.08,0.92,0.0
1972,0.10714285714285714,0.8214285714285714,0.07142857142857142
1973,0.16,0.8,0.04
1974,0.09090909090909091,0.9090909090909091,0.0
1975,0.13043478260869565,0.8695652173913043,0.0
1976,0.22857142857142856,0.6285714285714286,0.14285714285714285
1977,0.3333333333333333,0.5666666666666667,0.1
1978,0.05263157894736842,0.8157894736842105,0.13157894736842105
1979,0.22857142857142856,0.7428571428571429,0.02857142857142857
1980,0.14285714285714285,0.7857142857142857,0.07142857142857142
1981,0.08333333333333333,0.9166666666666666,0.0
1982,0.30612244897959184,0.6530612244897959,0.04081632653061224
1983,0.15151515151515152,0.7878787878787878,0.06060606060606061
1984,0.30303030303030304,0.6363636363636364,0.06060606060606061
1985,0.16129032258064516,0.7741935483870968,0.06451612903225806
1986,0.23529411764705882,0.6764705882352942,0.08823529411764706
1987,0.1111111111111111,0.8222222222222222,0.06666666666666667
1988,0.17391304347826086,0.6956521739130435,0.13043478260869565
1989,0.20588235294117646,0.7352941176470589,0.058823529411764705
1990,0.13636363636363635,0.7045454545454546,0.1590909090909091
1991,0.10256410256410256,0.7692307692307693,0.1282051282051282
1992,0.14,0.78,0.08
1993,0.18840579710144928,0.782608695652174,0.028985507246376812
1994,0.16666666666666666,0.8,0.03333333333333333
1995,0.13513513513513514,0.8108108108108109,0.05405405405405406
1996,0.14285714285714285,0.7714285714285715,0.08571428571428572
1997,0.18181818181818182,0.7454545454545455,0.07272727272727272
1998,0.05,0.775,0.175
1999,0.18518518518518517,0.7407407407407407,0.07407407407407407
2000,0.1743119266055046,0.7155963302752294,0.11009174311926606
2001,0.20689655172413793,0.7758620689655172,0.017241379310344827
2002,0.18,0.72,0.1
2003,0.1271186440677966,0.8135593220338984,0.059322033898305086
2004,0.15384615384615385,0.7142857142857143,0.13186813186813187
2005,0.1368421052631579,0.7473684210526316,0.11578947368421053
2006,0.15555555555555556,0.7777777777777778,0.06666666666666667
2007,0.14492753623188406,0.7753623188405797,0.07971014492753623
2008,0.09183673469387756,0.8163265306122449,0.09183673469387756
2009,0.21428571428571427,0.6785714285714286,0.10714285714285714
2010,0.13414634146341464,0.7865853658536586,0.07926829268292683
2011,0.18543046357615894,0.6688741721854304,0.1456953642384106
2012,0.14556962025316456,0.7341772151898734,0.12025316455696203
2013,0.14457831325301204,0.7108433734939759,0.14457831325301204
2014,0.1513157894736842,0.7763157894736842,0.07236842105263158
2015,0.14375,0.65625,0.2
2016,0.13333333333333333,0.7818181818181819,0.08484848484848485
2017,0.14925373134328357,0.7761194029850746,0.07462686567164178
