year,pos,neu,neg
1950,0.0,0.0,0.0
1951,0.0,1.0,0.0
1952,0.0,1.0,0.0
1953,0.0,1.0,0.0
1954,0.0,1.0,0.0
1955,0.0,0.0,0.0
1956,0.0,0.0,0.0
1957,0.0,0.0,0.0
1958,0.0,1.0,0.0
1959,0.0,0.0,0.0
1960,0.0,1.0,0.0
1961,0.0,1.0,0.0
1962,0.0,1.0,0.0
1963,0.05263157894736842,0.8421052631578947,0.10526315789473684
1964,0.5,0.5,0.0
1965,0.0,1.0,0.0
1966,0.0,1.0,0.0
1967,0.0,1.0,0.0
1968,0.25,0.75,0.0
1969,0.0,0.6666666666666666,0.3333333333333333
1970,0.0,1.0,0.0
1971,0.25,0.75,0.0
1972,0.3333333333333333,0.6666666666666666,0.0
1973,0.0,1.0,0.0
1974,0.0,1.0,0.0
1975,0.0,1.0,0.0
1976,0.0,0.0,0.0
1977,0.0,0.0,0.0
1978,0.3333333333333333,0.6666666666666666,0.0
1979,0.6,0.4,0.0
1980,0.5,0.0,0.5
1981,0.0,0.0,0.0
1982,0.0,1.0,0.0
1983,0.1,0.7,0.2
1984,0.3333333333333333,0.6666666666666666,0.0
1985,0.0,0.75,0.25
1986,0.0,1.0,0.0
1987,0.0,1.0,0.0
1988,0.25,0.5,0.25
1989,0.0,0.0,0.0
1990,0.0,0.6666666666666666,0.3333333333333333
1991,0.0,1.0,0.0
1992,0.14285714285714285,0.8571428571428571,0.0
1993,0.5,0.5,0.0
1994,0.0,1.0,0.0
1995,0.25,0.75,0.0
1996,0.3076923076923077,0.46153846153846156,0.23076923076923078
1997,0.0,0.0,0.0
1998,0.0,0.5,0.5
1999,1.0,0.0,0.0
2000,0.23076923076923078,0.7692307692307693,0.0
2001,0.16666666666666666,0.7222222222222222,0.1111111111111111
2002,0.0625,0.5625,0.375
2003,0.2222222222222222,0.3333333333333333,0.4444444444444444
2004,0.3333333333333333,0.5,0.16666666666666666
2005,0.5,0.0,0.5
2006,0.55,0.35,0.1
2007,0.4090909090909091,0.5,0.09090909090909091
2008,0.125,0.75,0.125
2009,0.21428571428571427,0.6428571428571429,0.14285714285714285
2010,0.15517241379310345,0.7586206896551724,0.08620689655172414
2011,0.23529411764705882,0.6470588235294118,0.11764705882352941
2012,0.15384615384615385,0.8461538461538461,0.0
2013,0.25,0.6875,0.0625
2014,0.15625,0.625,0.21875
2015,0.12903225806451613,0.6774193548387096,0.1935483870967742
2016,0.1111111111111111,0.5555555555555556,0.3333333333333333
2017,0.3076923076923077,0.6153846153846154,0.07692307692307693
