year,pos,neu,neg
1950,0.0,0.0,0.0
1951,1.0,0.0,0.0
1952,0.0,1.0,0.0
1953,0.4,0.4,0.2
1954,0.0,0.0,0.0
1955,1.0,0.0,0.0
1956,0.0,0.0,0.0
1957,0.5,0.5,0.0
1958,1.0,0.0,0.0
1959,0.0,0.0,0.0
1960,0.3333333333333333,0.6666666666666666,0.0
1961,0.0,1.0,0.0
1962,0.0,0.0,0.0
1963,0.0,0.0,0.0
1964,0.0,1.0,0.0
1965,0.0,1.0,0.0
1966,0.42857142857142855,0.5714285714285714,0.0
1967,0.7142857142857143,0.14285714285714285,0.14285714285714285
1968,0.0,1.0,0.0
1969,0.6,0.4,0.0
1970,0.6666666666666666,0.0,0.3333333333333333
1971,0.0,0.0,1.0
1972,0.2222222222222222,0.6666666666666666,0.1111111111111111
1973,0.0,1.0,0.0
1974,0.0,1.0,0.0
1975,0.5,0.5,0.0
1976,0.0,0.0,0.0
1977,0.2,0.6,0.2
1978,0.0,0.0,0.0
1979,0.5,0.5,0.0
1980,0.16666666666666666,0.6666666666666666,0.16666666666666666
1981,0.0,0.0,0.0
1982,0.0,0.0,0.0
1983,0.6666666666666666,0.0,0.3333333333333333
1984,0.0,0.5,0.5
1985,0.0,1.0,0.0
1986,0.6666666666666666,0.3333333333333333,0.0
1987,0.0,1.0,0.0
1988,0.0,1.0,0.0
1989,0.09090909090909091,0.9090909090909091,0.0
1990,0.3333333333333333,0.5,0.16666666666666666
1991,0.0,0.75,0.25
1992,0.3333333333333333,0.5,0.16666666666666666
1993,0.5,0.4,0.1
1994,0.23076923076923078,0.6153846153846154,0.15384615384615385
1995,0.2727272727272727,0.6363636363636364,0.09090909090909091
1996,0.375,0.5,0.125
1997,0.36363636363636365,0.5454545454545454,0.09090909090909091
1998,0.14285714285714285,0.5714285714285714,0.2857142857142857
1999,0.36363636363636365,0.5454545454545454,0.09090909090909091
2000,0.3684210526315789,0.47368421052631576,0.15789473684210525
2001,0.0,0.8181818181818182,0.18181818181818182
2002,0.25,0.6,0.15
2003,0.35,0.55,0.1
2004,0.35,0.6,0.05
2005,0.4,0.56,0.04
2006,0.23333333333333334,0.6333333333333333,0.13333333333333333
2007,0.25,0.59375,0.15625
2008,0.275,0.6,0.125
2009,0.15,0.625,0.225
2010,0.20689655172413793,0.6896551724137931,0.10344827586206896
2011,0.3333333333333333,0.5740740740740741,0.09259259259259259
2012,0.42857142857142855,0.47619047619047616,0.09523809523809523
2013,0.2413793103448276,0.6206896551724138,0.13793103448275862
2014,0.3684210526315789,0.5263157894736842,0.10526315789473684
2015,0.36363636363636365,0.5227272727272727,0.11363636363636363
2016,0.4,0.5454545454545454,0.05454545454545454
2017,0.3684210526315789,0.631578947368421,0.0
