year,pos,neu,neg
1950,0.6666666666666666,0.3333333333333333,0.0
1951,0.14285714285714285,0.7142857142857143,0.14285714285714285
1952,0.0,0.0,0.0
1953,0.16666666666666666,0.6666666666666666,0.16666666666666666
1954,0.0,0.0,0.0
1955,0.07142857142857142,0.7857142857142857,0.14285714285714285
1956,0.25,0.75,0.0
1957,0.0,1.0,0.0
1958,0.4444444444444444,0.5555555555555556,0.0
1959,1.0,0.0,0.0
1960,0.0,0.9090909090909091,0.09090909090909091
1961,0.0,0.5,0.5
1962,0.0,0.0,0.0
1963,0.0,1.0,0.0
1964,0.3333333333333333,0.6666666666666666,0.0
1965,0.0,1.0,0.0
1966,0.0,1.0,0.0
1967,0.0,0.75,0.25
1968,0.0,1.0,0.0
1969,0.0,1.0,0.0
1970,0.3333333333333333,0.6666666666666666,0.0
1971,0.08333333333333333,0.5,0.4166666666666667
1972,0.16666666666666666,0.6666666666666666,0.16666666666666666
1973,0.25,0.75,0.0
1974,1.0,0.0,0.0
1975,0.75,0.25,0.0
1976,0.6,0.4,0.0
1977,0.0,1.0,0.0
1978,0.0,1.0,0.0
1979,0.2857142857142857,0.7142857142857143,0.0
1980,0.25,0.75,0.0
1981,0.0,0.6666666666666666,0.3333333333333333
1982,0.0,1.0,0.0
1983,0.0,0.6666666666666666,0.3333333333333333
1984,0.3333333333333333,0.5,0.16666666666666666
1985,0.0,1.0,0.0
1986,0.0,1.0,0.0
1987,0.07142857142857142,0.9285714285714286,0.0
1988,0.3076923076923077,0.46153846153846156,0.23076923076923078
1989,0.0,1.0,0.0
1990,0.034482758620689655,0.7586206896551724,0.20689655172413793
1991,0.125,0.75,0.125
1992,0.0,1.0,0.0
1993,0.3333333333333333,0.0,0.6666666666666666
1994,0.25,0.5,0.25
1995,0.2,0.8,0.0
1996,0.09090909090909091,0.8181818181818182,0.09090909090909091
1997,0.2916666666666667,0.625,0.08333333333333333
1998,0.18181818181818182,0.7272727272727273,0.09090909090909091
1999,0.16666666666666666,0.75,0.08333333333333333
2000,0.18181818181818182,0.7272727272727273,0.09090909090909091
2001,0.2,0.7333333333333333,0.06666666666666667
2002,0.07407407407407407,0.8888888888888888,0.037037037037037035
2003,0.23529411764705882,0.7647058823529411,0.0
2004,0.2,0.8,0.0
2005,0.1,0.8333333333333334,0.06666666666666667
2006,0.1875,0.6875,0.125
2007,0.043478260869565216,0.8260869565217391,0.13043478260869565
2008,0.13043478260869565,0.6956521739130435,0.17391304347826086
2009,0.06382978723404255,0.8723404255319149,0.06382978723404255
2010,0.14457831325301204,0.7710843373493976,0.08433734939759036
2011,0.20967741935483872,0.6935483870967742,0.0967741935483871
2012,0.1875,0.75,0.0625
2013,0.13043478260869565,0.782608695652174,0.08695652173913043
2014,0.12244897959183673,0.7959183673469388,0.08163265306122448
2015,0.15625,0.7604166666666666,0.08333333333333333
2016,0.17857142857142858,0.7202380952380952,0.10119047619047619
2017,0.20512820512820512,0.6923076923076923,0.10256410256410256
