year,pos,neu,neg
1950,0.0,0.0,0.0
1951,0.0,0.0,1.0
1952,0.0,0.3333333333333333,0.6666666666666666
1953,0.0,0.0,0.0
1954,0.0,0.0,0.0
1955,0.0,0.0,0.0
1956,0.0,0.0,1.0
1957,0.0,0.0,0.0
1958,0.0,0.0,1.0
1959,0.0,0.0,1.0
1960,0.0,0.3333333333333333,0.6666666666666666
1961,0.0,1.0,0.0
1962,0.0,0.0,0.0
1963,0.3333333333333333,0.6666666666666666,0.0
1964,0.0,0.5,0.5
1965,0.2,0.8,0.0
1966,0.03333333333333333,0.2,0.7666666666666667
1967,0.0,0.20689655172413793,0.7931034482758621
1968,0.0,1.0,0.0
1969,0.0,0.0,0.0
1970,0.3333333333333333,0.0,0.6666666666666666
1971,0.0,0.5,0.5
1972,0.0,0.0,1.0
1973,0.0,0.6666666666666666,0.3333333333333333
1974,0.14285714285714285,0.5,0.35714285714285715
1975,0.0,0.8,0.2
1976,0.0,0.0,1.0
1977,0.0,0.4,0.6
1978,0.2857142857142857,0.5714285714285714,0.14285714285714285
1979,0.0,0.0,0.0
1980,0.0,0.0,0.0
1981,0.0,0.6666666666666666,0.3333333333333333
1982,0.0,0.8,0.2
1983,0.0,0.4,0.6
1984,0.14285714285714285,0.2857142857142857,0.5714285714285714
1985,0.0,0.6,0.4
1986,0.0,0.0,1.0
1987,0.0,0.3076923076923077,0.6923076923076923
1988,0.0,0.4,0.6
1989,0.0,0.5,0.5
1990,0.0,0.0,1.0
1991,0.5,0.0,0.5
1992,0.2857142857142857,0.14285714285714285,0.5714285714285714
1993,0.3333333333333333,0.3333333333333333,0.3333333333333333
1994,0.0,0.5555555555555556,0.4444444444444444
1995,0.0,0.0,1.0
1996,0.0,0.25,0.75
1997,0.0,1.0,0.0
1998,0.0,0.16666666666666666,0.8333333333333334
1999,0.14285714285714285,0.42857142857142855,0.42857142857142855
2000,0.0,0.36363636363636365,0.6363636363636364
2001,0.0,0.5,0.5
2002,0.0,0.25,0.75
2003,0.0,0.25,0.75
2004,0.0,0.6666666666666666,0.3333333333333333
2005,0.0,0.2,0.8
2006,0.0,0.25,0.75
2007,0.0,0.6666666666666666,0.3333333333333333
2008,0.0,0.25,0.75
2009,0.13157894736842105,0.6052631578947368,0.2631578947368421
2010,0.17391304347826086,0.43478260869565216,0.391304347826087
2011,0.1388888888888889,0.5,0.3611111111111111
2012,0.07142857142857142,0.32142857142857145,0.6071428571428571
2013,0.05,0.65,0.3
2014,0.05263157894736842,0.2631578947368421,0.6842105263157895
2015,0.13333333333333333,0.3333333333333333,0.5333333333333333
2016,0.16393442622950818,0.5081967213114754,0.32786885245901637
2017,0.0,0.7142857142857143,0.2857142857142857
