year,pos,neu,neg
1950,0.0,1.0,0.0
1951,0.5,0.5,0.0
1952,0.0,0.0,0.0
1953,0.0,1.0,0.0
1954,0.0,1.0,0.0
1955,0.0,1.0,0.0
1956,0.0,1.0,0.0
1957,0.0,1.0,0.0
1958,0.0,0.0,0.0
1959,0.0,1.0,0.0
1960,0.0,1.0,0.0
1961,0.0,0.0,0.0
1962,0.16666666666666666,0.8333333333333334,0.0
1963,0.0,0.0,0.0
1964,0.0,0.6,0.4
1965,0.0,1.0,0.0
1966,0.0,0.0,0.0
1967,0.0,0.5,0.5
1968,0.0,1.0,0.0
1969,0.0,0.0,0.0
1970,0.0,1.0,0.0
1971,0.0,0.6666666666666666,0.3333333333333333
1972,0.0,1.0,0.0
1973,0.0,1.0,0.0
1974,0.4,0.6,0.0
1975,0.0,1.0,0.0
1976,0.0,1.0,0.0
1977,0.0,0.5,0.5
1978,0.14285714285714285,0.8571428571428571,0.0
1979,0.0,0.8888888888888888,0.1111111111111111
1980,0.16666666666666666,0.8333333333333334,0.0
1981,0.25,0.75,0.0
1982,0.0,1.0,0.0
1983,0.2,0.8,0.0
1984,0.0,0.0,0.0
1985,0.3333333333333333,0.6666666666666666,0.0
1986,0.0,1.0,0.0
1987,0.0,0.0,0.0
1988,0.0,0.5,0.5
1989,0.14285714285714285,0.5714285714285714,0.2857142857142857
1990,0.0,1.0,0.0
1991,0.0,0.5,0.5
1992,0.0,0.0,0.0
1993,0.0,1.0,0.0
1994,0.3333333333333333,0.6666666666666666,0.0
1995,0.3333333333333333,0.6666666666666666,0.0
1996,0.16666666666666666,0.6666666666666666,0.16666666666666666
1997,0.0,1.0,0.0
1998,0.0,1.0,0.0
1999,0.0,0.8333333333333334,0.16666666666666666
2000,0.0,1.0,0.0
2001,0.0,0.0,0.0
2002,0.25,0.5,0.25
2003,0.0,0.875,0.125
2004,0.0,0.8,0.2
2005,0.2857142857142857,0.42857142857142855,0.2857142857142857
2006,0.0,1.0,0.0
2007,0.06666666666666667,0.9333333333333333,0.0
2008,0.1,0.7,0.2
2009,0.0,0.8333333333333334,0.16666666666666666
2010,0.0,0.9166666666666666,0.08333333333333333
2011,0.14285714285714285,0.8571428571428571,0.0
2012,0.10526315789473684,0.7368421052631579,0.15789473684210525
2013,0.26666666666666666,0.6666666666666666,0.06666666666666667
2014,0.375,0.5,0.125
2015,0.0,0.9,0.1
2016,0.10526315789473684,0.8947368421052632,0.0
2017,0.0,0.9,0.1
