year,pos,neu,neg
1950,0.0,0.6666666666666666,0.3333333333333333
1951,0.0,1.0,0.0
1952,1.0,0.0,0.0
1953,0.3333333333333333,0.6666666666666666,0.0
1954,0.0,1.0,0.0
1955,0.25,0.5,0.25
1956,0.0,0.75,0.25
1957,0.0,1.0,0.0
1958,0.0,0.0,1.0
1959,0.5,0.5,0.0
1960,0.16666666666666666,0.6666666666666666,0.16666666666666666
1961,0.0,0.8333333333333334,0.16666666666666666
1962,0.2857142857142857,0.2857142857142857,0.42857142857142855
1963,0.2,0.7,0.1
1964,0.0,0.875,0.125
1965,0.18518518518518517,0.6296296296296297,0.18518518518518517
1966,0.25,0.375,0.375
1967,0.5,0.5,0.0
1968,0.125,0.625,0.25
1969,0.17391304347826086,0.7391304347826086,0.08695652173913043
1970,0.1,0.8,0.1
1971,0.16666666666666666,0.8333333333333334,0.0
1972,0.35714285714285715,0.35714285714285715,0.2857142857142857
1973,0.0,1.0,0.0
1974,0.2,0.75,0.05
1975,0.0,1.0,0.0
1976,0.125,0.6875,0.1875
1977,0.125,0.625,0.25
1978,0.2222222222222222,0.6666666666666666,0.1111111111111111
1979,0.25,0.375,0.375
1980,0.0,1.0,0.0
1981,0.5714285714285714,0.42857142857142855,0.0
1982,0.0,0.0,0.0
1983,0.25,0.625,0.125
1984,0.18181818181818182,0.8181818181818182,0.0
1985,0.058823529411764705,0.7647058823529411,0.17647058823529413
1986,1.0,0.0,0.0
1987,0.19047619047619047,0.5238095238095238,0.2857142857142857
1988,0.375,0.625,0.0
1989,0.16666666666666666,0.6666666666666666,0.16666666666666666
1990,0.3333333333333333,0.5,0.16666666666666666
1991,0.4117647058823529,0.5882352941176471,0.0
1992,0.15,0.8,0.05
1993,0.23529411764705882,0.7647058823529411,0.0
1994,0.23529411764705882,0.7647058823529411,0.0
1995,0.2727272727272727,0.6363636363636364,0.09090909090909091
1996,0.13333333333333333,0.7,0.16666666666666666
1997,0.11764705882352941,0.7647058823529411,0.11764705882352941
1998,0.0,0.8,0.2
1999,0.21875,0.65625,0.125
2000,0.20588235294117646,0.6764705882352942,0.11764705882352941
2001,0.15,0.6833333333333333,0.16666666666666666
2002,0.1568627450980392,0.6470588235294118,0.19607843137254902
2003,0.05555555555555555,0.6851851851851852,0.25925925925925924
2004,0.23636363636363636,0.6363636363636364,0.12727272727272726
2005,0.21052631578947367,0.6842105263157895,0.10526315789473684
2006,0.19402985074626866,0.6567164179104478,0.14925373134328357
2007,0.2037037037037037,0.6851851851851852,0.1111111111111111
2008,0.21978021978021978,0.6593406593406593,0.12087912087912088
2009,0.21839080459770116,0.6896551724137931,0.09195402298850575
2010,0.20903954802259886,0.6384180790960452,0.15254237288135594
2011,0.19285714285714287,0.6857142857142857,0.12142857142857143
2012,0.16783216783216784,0.7272727272727273,0.1048951048951049
2013,0.24324324324324326,0.6054054054054054,0.15135135135135136
2014,0.1888111888111888,0.7202797202797203,0.09090909090909091
2015,0.15267175572519084,0.7251908396946565,0.12213740458015267
2016,0.22598870056497175,0.6497175141242938,0.12429378531073447
2017,0.13131313131313133,0.7474747474747475,0.12121212121212122
