year,pos,neu,neg
1950,0.0,1.0,0.0
1951,0.0,0.0,0.0
1952,0.0,0.0,0.0
1953,0.0,0.0,0.0
1954,0.0,0.0,0.0
1955,0.0,0.0,0.0
1956,0.0,0.0,0.0
1957,0.14285714285714285,0.7142857142857143,0.14285714285714285
1958,0.0,0.0,0.0
1959,0.0,0.0,0.0
1960,0.0,1.0,0.0
1961,0.0,0.0,0.0
1962,0.0,0.0,0.0
1963,0.0,1.0,0.0
1964,0.0,0.0,0.0
1965,0.0,0.0,0.0
1966,1.0,0.0,0.0
1967,0.0,0.0,0.0
1968,0.0,0.0,0.0
1969,0.0,0.0,1.0
1970,0.0,0.0,0.0
1971,1.0,0.0,0.0
1972,0.0,1.0,0.0
1973,1.0,0.0,0.0
1974,0.0,1.0,0.0
1975,0.0,1.0,0.0
1976,0.0,0.0,0.0
1977,0.16666666666666666,0.8333333333333334,0.0
1978,0.0,1.0,0.0
1979,0.0,0.0,0.0
1980,0.5,0.5,0.0
1981,0.0,1.0,0.0
1982,0.0,0.0,0.0
1983,0.6666666666666666,0.3333333333333333,0.0
1984,0.0,0.0,1.0
1985,0.0,0.0,0.0
1986,0.3333333333333333,0.5,0.16666666666666666
1987,0.3333333333333333,0.6666666666666666,0.0
1988,0.14285714285714285,0.7142857142857143,0.14285714285714285
1989,0.1111111111111111,0.6666666666666666,0.2222222222222222
1990,0.0,1.0,0.0
1991,0.0,1.0,0.0
1992,0.2222222222222222,0.7777777777777778,0.0
1993,0.2,0.8,0.0
1994,0.16666666666666666,0.8333333333333334,0.0
1995,0.6,0.4,0.0
1996,0.14285714285714285,0.7857142857142857,0.07142857142857142
1997,0.16666666666666666,0.8333333333333334,0.0
1998,0.6666666666666666,0.3333333333333333,0.0
1999,0.0,0.42857142857142855,0.5714285714285714
2000,0.2727272727272727,0.7272727272727273,0.0
2001,0.3333333333333333,0.3333333333333333,0.3333333333333333
2002,0.2,0.6,0.2
2003,0.2,0.8,0.0
2004,0.2727272727272727,0.6363636363636364,0.09090909090909091
2005,0.3888888888888889,0.5,0.1111111111111111
2006,0.08333333333333333,0.9166666666666666,0.0
2007,0.24242424242424243,0.6060606060606061,0.15151515151515152
2008,0.2,0.7714285714285715,0.02857142857142857
2009,0.2,0.68,0.12
2010,0.4666666666666667,0.5,0.03333333333333333
2011,0.3235294117647059,0.6470588235294118,0.029411764705882353
2012,0.22727272727272727,0.5,0.2727272727272727
2013,0.36,0.6,0.04
2014,0.28125,0.71875,0.0
2015,0.2692307692307692,0.6923076923076923,0.038461538461538464
2016,0.25,0.6388888888888888,0.1111111111111111
2017,0.15384615384615385,0.7692307692307693,0.07692307692307693
