year,pos,neu,neg
1950,0.0,0.0,0.0
1951,0.0,1.0,0.0
1952,0.5,0.5,0.0
1953,0.0,1.0,0.0
1954,0.0,1.0,0.0
1955,0.25,0.75,0.0
1956,0.0,0.0,1.0
1957,0.16666666666666666,0.6666666666666666,0.16666666666666666
1958,0.0,1.0,0.0
1959,0.5,0.5,0.0
1960,0.25,0.75,0.0
1961,0.0,1.0,0.0
1962,0.16666666666666666,0.8333333333333334,0.0
1963,0.5,0.5,0.0
1964,0.3333333333333333,0.6666666666666666,0.0
1965,0.375,0.5,0.125
1966,0.2,0.6,0.2
1967,0.0,1.0,0.0
1968,0.0,1.0,0.0
1969,0.0,0.0,0.0
1970,0.5,0.5,0.0
1971,0.07692307692307693,0.5384615384615384,0.38461538461538464
1972,0.0,1.0,0.0
1973,0.5,0.5,0.0
1974,0.4,0.4,0.2
1975,0.0,1.0,0.0
1976,0.0,0.75,0.25
1977,0.0,1.0,0.0
1978,0.25,0.75,0.0
1979,0.0,1.0,0.0
1980,0.25,0.75,0.0
1981,0.0,0.0,0.0
1982,0.0,1.0,0.0
1983,0.1111111111111111,0.8888888888888888,0.0
1984,0.5,0.0,0.5
1985,0.07692307692307693,0.9230769230769231,0.0
1986,0.18181818181818182,0.8181818181818182,0.0
1987,0.0,1.0,0.0
1988,0.0,1.0,0.0
1989,0.5,0.5,0.0
1990,0.3333333333333333,0.6666666666666666,0.0
1991,0.2,0.4,0.4
1992,0.125,0.875,0.0
1993,0.0,0.625,0.375
1994,0.3333333333333333,0.6666666666666666,0.0
1995,0.5,0.5,0.0
1996,0.0,1.0,0.0
1997,0.0,1.0,0.0
1998,0.0,1.0,0.0
1999,0.6666666666666666,0.3333333333333333,0.0
2000,0.75,0.25,0.0
2001,0.5,0.5,0.0
2002,0.10638297872340426,0.7872340425531915,0.10638297872340426
2003,0.0,0.8333333333333334,0.16666666666666666
2004,0.0,1.0,0.0
2005,0.14285714285714285,0.5714285714285714,0.2857142857142857
2006,0.45454545454545453,0.5454545454545454,0.0
2007,0.0,1.0,0.0
2008,0.25,0.6666666666666666,0.08333333333333333
2009,0.16666666666666666,0.7083333333333334,0.125
2010,0.09090909090909091,0.8545454545454545,0.05454545454545454
2011,0.11764705882352941,0.7647058823529411,0.11764705882352941
2012,0.15,0.85,0.0
2013,0.2,0.7,0.1
2014,0.1111111111111111,0.8888888888888888,0.0
2015,0.12121212121212122,0.7272727272727273,0.15151515151515152
2016,0.26666666666666666,0.6,0.13333333333333333
2017,0.25,0.75,0.0
