year,pos,neu,neg
1950,0.19736842105263158,0.7631578947368421,0.039473684210526314
1951,0.14545454545454545,0.7818181818181819,0.07272727272727272
1952,0.21428571428571427,0.7346938775510204,0.05102040816326531
1953,0.2647058823529412,0.6666666666666666,0.06862745098039216
1954,0.14285714285714285,0.7857142857142857,0.07142857142857142
1955,0.19230769230769232,0.7628205128205128,0.04487179487179487
1956,0.25,0.6442307692307693,0.10576923076923077
1957,0.1702127659574468,0.6808510638297872,0.14893617021276595
1958,0.2182741116751269,0.7208121827411168,0.06091370558375635
1959,0.1782608695652174,0.7217391304347827,0.1
1960,0.17543859649122806,0.7263157894736842,0.09824561403508772
1961,0.2,0.7116279069767442,0.08837209302325581
1962,0.18888888888888888,0.7407407407407407,0.07037037037037037
1963,0.2099644128113879,0.708185053380783,0.08185053380782918
1964,0.2074688796680498,0.6929460580912863,0.0995850622406639
1965,0.1388888888888889,0.75,0.1111111111111111
1966,0.23484848484848486,0.696969696969697,0.06818181818181818
1967,0.1694915254237288,0.7728813559322034,0.0576271186440678
1968,0.19383259911894274,0.7268722466960352,0.07929515418502203
1969,0.16666666666666666,0.7549019607843137,0.0784313725490196
1970,0.1987179487179487,0.6794871794871795,0.12179487179487179
1971,0.19948186528497408,0.6968911917098446,0.10362694300518134
1972,0.18388429752066116,0.7086776859504132,0.10743801652892562
1973,0.13142857142857142,0.76,0.10857142857142857
1974,0.2033195020746888,0.6929460580912863,0.1037344398340249
1975,0.20199501246882792,0.7057356608478803,0.09226932668329177
1976,0.2319277108433735,0.641566265060241,0.12650602409638553
1977,0.1878453038674033,0.7403314917127072,0.0718232044198895
1978,0.17973856209150327,0.7189542483660131,0.10130718954248366
1979,0.15808823529411764,0.7389705882352942,0.10294117647058823
1980,0.19823788546255505,0.6740088105726872,0.1277533039647577
1981,0.11038961038961038,0.7207792207792207,0.16883116883116883
1982,0.14136125654450263,0.7277486910994765,0.13089005235602094
1983,0.16748768472906403,0.7586206896551724,0.07389162561576355
1984,0.16938110749185667,0.6710097719869706,0.15960912052117263
1985,0.18199608610567514,0.6966731898238747,0.12133072407045009
1986,0.19245283018867926,0.6830188679245283,0.12452830188679245
1987,0.155902004454343,0.7260579064587973,0.11804008908685969
1988,0.16258351893095768,0.7216035634743875,0.11581291759465479
1989,0.1798780487804878,0.7408536585365854,0.07926829268292683
1990,0.15942028985507245,0.7275362318840579,0.11304347826086956
1991,0.1897018970189702,0.6910569105691057,0.11924119241192412
1992,0.14917127071823205,0.7329650092081031,0.11786372007366483
1993,0.19693654266958424,0.6914660831509847,0.11159737417943107
1994,0.18149466192170818,0.6690391459074733,0.1494661921708185
1995,0.13719512195121952,0.7164634146341463,0.14634146341463414
1996,0.17757009345794392,0.6915887850467289,0.1308411214953271
1997,0.17370892018779344,0.7347417840375586,0.09154929577464789
1998,0.16524216524216523,0.7264957264957265,0.10826210826210826
1999,0.18414322250639387,0.7007672634271099,0.11508951406649616
2000,0.13742071881606766,0.7547568710359408,0.10782241014799154
2001,0.16474464579901152,0.7495881383855024,0.085667215815486
2002,0.18604651162790697,0.729235880398671,0.08471760797342193
2003,0.17937853107344634,0.7203389830508474,0.10028248587570622
2004,0.1276595744680851,0.7142857142857143,0.1580547112462006
2005,0.14984709480122324,0.7400611620795107,0.11009174311926606
2006,0.16477272727272727,0.7272727272727273,0.10795454545454546
2007,0.17290322580645162,0.7083870967741935,0.11870967741935484
2008,0.14416775884665792,0.7562254259501966,0.09960681520314547
2009,0.1620253164556962,0.7227848101265822,0.11518987341772152
2010,0.1697645600991326,0.724907063197026,0.10532837670384139
2011,0.17523609653725078,0.7292759706190975,0.09548793284365163
2012,0.15508559919436052,0.7663645518630413,0.07854984894259819
2013,0.16596931659693165,0.7329149232914923,0.10111576011157601
2014,0.1708407871198569,0.7289803220035778,0.1001788908765653
2015,0.15508885298869143,0.7189014539579968,0.1260096930533118
2016,0.1680129240710824,0.7180936995153473,0.11389337641357028
2017,0.18936170212765957,0.6914893617021277,0.11914893617021277
