year,pos,neu,neg
1950,0.0,0.0,0.0
1951,0.0,0.0,0.0
1952,0.0,0.0,0.0
1953,0.0,0.0,0.0
1954,1.0,0.0,0.0
1955,0.0,0.0,0.0
1956,1.0,0.0,0.0
1957,1.0,0.0,0.0
1958,1.0,0.0,0.0
1959,0.5,0.5,0.0
1960,1.0,0.0,0.0
1961,0.0,0.0,0.0
1962,1.0,0.0,0.0
1963,1.0,0.0,0.0
1964,0.0,1.0,0.0
1965,0.6,0.0,0.4
1966,0.5,0.25,0.25
1967,0.5,0.0,0.5
1968,0.6666666666666666,0.0,0.3333333333333333
1969,0.6666666666666666,0.3333333333333333,0.0
1970,0.75,0.0,0.25
1971,0.0,0.0,0.0
1972,0.0,1.0,0.0
1973,1.0,0.0,0.0
1974,0.0,0.0,0.0
1975,0.0,0.0,0.0
1976,1.0,0.0,0.0
1977,1.0,0.0,0.0
1978,0.0,0.0,0.0
1979,0.0,0.0,0.0
1980,1.0,0.0,0.0
1981,0.0,1.0,0.0
1982,1.0,0.0,0.0
1983,0.0,0.0,0.0
1984,0.3333333333333333,0.6666666666666666,0.0
1985,1.0,0.0,0.0
1986,1.0,0.0,0.0
1987,0.8888888888888888,0.1111111111111111,0.0
1988,1.0,0.0,0.0
1989,0.8,0.0,0.2
1990,1.0,0.0,0.0
1991,0.0,0.0,0.0
1992,1.0,0.0,0.0
1993,0.75,0.25,0.0
1994,1.0,0.0,0.0
1995,1.0,0.0,0.0
1996,1.0,0.0,0.0
1997,0.3333333333333333,0.5,0.16666666666666666
1998,0.6,0.2,0.2
1999,0.6666666666666666,0.3333333333333333,0.0
2000,0.6666666666666666,0.16666666666666666,0.16666666666666666
2001,0.9473684210526315,0.0,0.05263157894736842
2002,0.7857142857142857,0.21428571428571427,0.0
2003,1.0,0.0,0.0
2004,1.0,0.0,0.0
2005,1.0,0.0,0.0
2006,0.9230769230769231,0.07692307692307693,0.0
2007,0.6875,0.1875,0.125
2008,0.7692307692307693,0.15384615384615385,0.07692307692307693
2009,0.5,0.4,0.1
2010,0.7692307692307693,0.19230769230769232,0.038461538461538464
2011,0.8,0.17142857142857143,0.02857142857142857
2012,0.75,0.1388888888888889,0.1111111111111111
2013,0.8,0.12,0.08
2014,0.75,0.15625,0.09375
2015,0.75,0.21428571428571427,0.03571428571428571
2016,0.6551724137931034,0.3448275862068966,0.0
2017,0.7222222222222222,0.2222222222222222,0.05555555555555555
