year,pos,neu,neg
1950,1.0,0.0,0.0
1951,0.0,0.0,0.0
1952,0.0,1.0,0.0
1953,0.0,1.0,0.0
1954,0.0,0.0,0.0
1955,0.0,1.0,0.0
1956,0.3333333333333333,0.6666666666666666,0.0
1957,0.0,1.0,0.0
1958,0.0,1.0,0.0
1959,0.0,1.0,0.0
1960,1.0,0.0,0.0
1961,0.0,1.0,0.0
1962,0.0,1.0,0.0
1963,0.3333333333333333,0.6666666666666666,0.0
1964,1.0,0.0,0.0
1965,0.25,0.5,0.25
1966,0.0,1.0,0.0
1967,0.16666666666666666,0.5,0.3333333333333333
1968,0.0,0.8333333333333334,0.16666666666666666
1969,0.5,0.5,0.0
1970,0.0,1.0,0.0
1971,0.3333333333333333,0.0,0.6666666666666666
1972,0.0,1.0,0.0
1973,0.3333333333333333,0.6666666666666666,0.0
1974,0.14285714285714285,0.7142857142857143,0.14285714285714285
1975,0.5,0.5,0.0
1976,0.0,0.0,0.0
1977,0.3333333333333333,0.6666666666666666,0.0
1978,0.25,0.75,0.0
1979,0.0,1.0,0.0
1980,0.0,1.0,0.0
1981,1.0,0.0,0.0
1982,0.0,0.8333333333333334,0.16666666666666666
1983,0.5,0.5,0.0
1984,0.8,0.2,0.0
1985,0.2,0.6,0.2
1986,0.0,0.0,0.0
1987,0.0,1.0,0.0
1988,0.16666666666666666,0.8333333333333334,0.0
1989,0.0,1.0,0.0
1990,0.75,0.25,0.0
1991,0.0,1.0,0.0
1992,1.0,0.0,0.0
1993,0.0,1.0,0.0
1994,0.16666666666666666,0.8333333333333334,0.0
1995,0.2,0.8,0.0
1996,0.0,1.0,0.0
1997,0.2,0.4,0.4
1998,0.0,1.0,0.0
1999,0.14285714285714285,0.8571428571428571,0.0
2000,0.3333333333333333,0.6666666666666666,0.0
2001,0.14285714285714285,0.8571428571428571,0.0
2002,0.3076923076923077,0.5384615384615384,0.15384615384615385
2003,0.23076923076923078,0.7692307692307693,0.0
2004,0.4,0.6,0.0
2005,0.14285714285714285,0.8571428571428571,0.0
2006,0.05263157894736842,0.8421052631578947,0.10526315789473684
2007,0.2857142857142857,0.6428571428571429,0.07142857142857142
2008,0.15,0.8,0.05
2009,0.05555555555555555,0.9444444444444444,0.0
2010,0.1,0.85,0.05
2011,0.3225806451612903,0.6129032258064516,0.06451612903225806
2012,0.3333333333333333,0.6,0.06666666666666667
2013,0.25,0.65,0.1
2014,0.16666666666666666,0.7666666666666667,0.06666666666666667
2015,0.21052631578947367,0.6842105263157895,0.10526315789473684
2016,0.18181818181818182,0.8181818181818182,0.0
2017,0.15,0.8,0.05
