year,pos,neu,neg
1950,0.0,0.5,0.5
1951,0.0,1.0,0.0
1952,0.3333333333333333,0.0,0.6666666666666666
1953,0.0,1.0,0.0
1954,0.0,1.0,0.0
1955,0.0,1.0,0.0
1956,0.5,0.5,0.0
1957,0.3333333333333333,0.6666666666666666,0.0
1958,0.0,1.0,0.0
1959,0.0,1.0,0.0
1960,0.5,0.0,0.5
1961,0.5,0.5,0.0
1962,0.0,1.0,0.0
1963,0.0,1.0,0.0
1964,0.0625,0.6875,0.25
1965,0.4,0.6,0.0
1966,0.0,1.0,0.0
1967,0.0,0.75,0.25
1968,0.0,0.75,0.25
1969,0.09090909090909091,0.6363636363636364,0.2727272727272727
1970,0.0,0.75,0.25
1971,0.0,1.0,0.0
1972,0.16666666666666666,0.5,0.3333333333333333
1973,0.14285714285714285,0.8571428571428571,0.0
1974,0.3333333333333333,0.6666666666666666,0.0
1975,0.1111111111111111,0.4444444444444444,0.4444444444444444
1976,0.0,0.5,0.5
1977,0.2,0.4,0.4
1978,0.0,0.0,0.0
1979,0.1111111111111111,0.8888888888888888,0.0
1980,0.0,0.5555555555555556,0.4444444444444444
1981,0.08333333333333333,0.6666666666666666,0.25
1982,0.0,1.0,0.0
1983,0.1111111111111111,0.7777777777777778,0.1111111111111111
1984,0.25,0.75,0.0
1985,0.0,1.0,0.0
1986,0.0,1.0,0.0
1987,0.16666666666666666,0.8333333333333334,0.0
1988,0.0,1.0,0.0
1989,0.16666666666666666,0.8333333333333334,0.0
1990,0.2857142857142857,0.7142857142857143,0.0
1991,0.0,1.0,0.0
1992,0.21428571428571427,0.42857142857142855,0.35714285714285715
1993,0.14285714285714285,0.5238095238095238,0.3333333333333333
1994,0.07692307692307693,0.38461538461538464,0.5384615384615384
1995,0.3333333333333333,0.6666666666666666,0.0
1996,0.3,0.6,0.1
1997,0.125,0.75,0.125
1998,0.0,0.875,0.125
1999,0.125,0.75,0.125
2000,0.06666666666666667,0.7333333333333333,0.2
2001,0.0,1.0,0.0
2002,0.25,0.5,0.25
2003,0.1,0.7,0.2
2004,0.11538461538461539,0.7307692307692307,0.15384615384615385
2005,0.1,0.8,0.1
2006,0.18181818181818182,0.6363636363636364,0.18181818181818182
2007,0.2631578947368421,0.3157894736842105,0.42105263157894735
2008,0.047619047619047616,0.6190476190476191,0.3333333333333333
2009,0.1111111111111111,0.5,0.3888888888888889
2010,0.058823529411764705,0.7058823529411765,0.23529411764705882
2011,0.23076923076923078,0.7307692307692307,0.038461538461538464
2012,0.15789473684210525,0.6842105263157895,0.15789473684210525
2013,0.06666666666666667,0.8,0.13333333333333333
2014,0.12,0.52,0.36
2015,0.0,0.9090909090909091,0.09090909090909091
2016,0.08695652173913043,0.6956521739130435,0.21739130434782608
2017,0.1,0.8,0.1
