year,pos,neu,neg
1950,0.14285714285714285,0.8571428571428571,0.0
1951,0.0,0.0,1.0
1952,0.4,0.6,0.0
1953,0.3333333333333333,0.6666666666666666,0.0
1954,0.0,0.0,0.0
1955,0.25,0.75,0.0
1956,0.0,0.75,0.25
1957,0.5,0.5,0.0
1958,0.26666666666666666,0.6,0.13333333333333333
1959,0.0,1.0,0.0
1960,0.2,0.8,0.0
1961,0.25,0.75,0.0
1962,0.2,0.8,0.0
1963,0.25,0.75,0.0
1964,0.0,1.0,0.0
1965,0.2857142857142857,0.5714285714285714,0.14285714285714285
1966,0.0,0.8571428571428571,0.14285714285714285
1967,0.0,1.0,0.0
1968,0.25,0.75,0.0
1969,0.2222222222222222,0.6666666666666666,0.1111111111111111
1970,0.0,1.0,0.0
1971,0.125,0.875,0.0
1972,0.2,0.8,0.0
1973,0.07692307692307693,0.8461538461538461,0.07692307692307693
1974,0.0,0.0,0.0
1975,0.0,0.7,0.3
1976,0.08333333333333333,0.8333333333333334,0.08333333333333333
1977,0.1111111111111111,0.6666666666666666,0.2222222222222222
1978,0.3333333333333333,0.3333333333333333,0.3333333333333333
1979,0.0,1.0,0.0
1980,0.09090909090909091,0.9090909090909091,0.0
1981,0.08333333333333333,0.9166666666666666,0.0
1982,0.0,0.0,0.0
1983,0.0,0.5,0.5
1984,0.375,0.625,0.0
1985,0.3333333333333333,0.3333333333333333,0.3333333333333333
1986,0.07142857142857142,0.7142857142857143,0.21428571428571427
1987,0.3333333333333333,0.6666666666666666,0.0
1988,0.0,1.0,0.0
1989,0.0,1.0,0.0
1990,0.0,1.0,0.0
1991,0.4666666666666667,0.4666666666666667,0.06666666666666667
1992,0.0,1.0,0.0
1993,0.2222222222222222,0.7777777777777778,0.0
1994,0.42857142857142855,0.5,0.07142857142857142
1995,0.3,0.6,0.1
1996,0.0,0.8888888888888888,0.1111111111111111
1997,0.5384615384615384,0.38461538461538464,0.07692307692307693
1998,0.1111111111111111,0.7222222222222222,0.16666666666666666
1999,0.14285714285714285,0.8571428571428571,0.0
2000,0.0,0.8181818181818182,0.18181818181818182
2001,0.2777777777777778,0.6666666666666666,0.05555555555555555
2002,0.25,0.75,0.0
2003,0.14285714285714285,0.7857142857142857,0.07142857142857142
2004,0.15789473684210525,0.7368421052631579,0.10526315789473684
2005,0.25,0.7083333333333334,0.041666666666666664
2006,0.1794871794871795,0.7948717948717948,0.02564102564102564
2007,0.16,0.72,0.12
2008,0.11764705882352941,0.7058823529411765,0.17647058823529413
2009,0.16216216216216217,0.7837837837837838,0.05405405405405406
2010,0.07692307692307693,0.7692307692307693,0.15384615384615385
2011,0.18181818181818182,0.7045454545454546,0.11363636363636363
2012,0.15517241379310345,0.6896551724137931,0.15517241379310345
2013,0.16279069767441862,0.7906976744186046,0.046511627906976744
2014,0.11904761904761904,0.7619047619047619,0.11904761904761904
2015,0.19047619047619047,0.7142857142857143,0.09523809523809523
2016,0.13953488372093023,0.7906976744186046,0.06976744186046512
2017,0.13636363636363635,0.8181818181818182,0.045454545454545456
