year,pos,neu,neg
1950,0.0,0.0,0.0
1951,0.0,0.0,0.0
1952,0.0,0.0,0.0
1953,0.0,0.0,0.0
1954,0.0,0.0,0.0
1955,1.0,0.0,0.0
1956,0.0,1.0,0.0
1957,0.5,0.5,0.0
1958,0.0,0.0,0.0
1959,0.0,0.0,0.0
1960,0.0,0.0,0.0
1961,0.0,0.0,0.0
1962,0.0,0.0,0.0
1963,0.0,0.0,0.0
1964,0.0,0.0,0.0
1965,0.0,0.0,0.0
1966,0.0,0.0,0.0
1967,0.0,0.0,0.0
1968,0.0,0.0,0.0
1969,0.0,0.0,0.0
1970,0.0,0.0,0.0
1971,0.0,1.0,0.0
1972,0.0,0.0,0.0
1973,0.0,0.0,0.0
1974,0.0,0.0,0.0
1975,0.0,0.0,0.0
1976,0.0,0.0,0.0
1977,0.0,0.0,0.0
1978,0.0,1.0,0.0
1979,0.0,1.0,0.0
1980,0.0,0.0,0.0
1981,0.0,0.0,0.0
1982,0.0,0.0,0.0
1983,1.0,0.0,0.0
1984,0.0,0.0,0.0
1985,0.5,0.5,0.0
1986,0.0,0.0,0.0
1987,0.0,1.0,0.0
1988,0.0,0.5,0.5
1989,0.0,1.0,0.0
1990,0.1,0.9,0.0
1991,0.3333333333333333,0.6666666666666666,0.0
1992,0.0,1.0,0.0
1993,0.0,0.0,0.0
1994,0.0,1.0,0.0
1995,0.0,1.0,0.0
1996,0.14285714285714285,0.7142857142857143,0.14285714285714285
1997,0.0,0.8,0.2
1998,0.0,0.5714285714285714,0.42857142857142855
1999,0.0,1.0,0.0
2000,0.2857142857142857,0.42857142857142855,0.2857142857142857
2001,0.25,0.75,0.0
2002,0.0,1.0,0.0
2003,0.0,1.0,0.0
2004,0.3333333333333333,0.6666666666666666,0.0
2005,0.16666666666666666,0.8333333333333334,0.0
2006,0.16666666666666666,0.75,0.08333333333333333
2007,0.3,0.6,0.1
2008,0.1,0.9,0.0
2009,0.2,0.6,0.2
2010,0.17647058823529413,0.8235294117647058,0.0
2011,0.35714285714285715,0.6428571428571429,0.0
2012,0.2,0.8,0.0
2013,0.125,0.75,0.125
2014,0.18518518518518517,0.7407407407407407,0.07407407407407407
2015,0.1,0.8,0.1
2016,0.10526315789473684,0.7894736842105263,0.10526315789473684
2017,0.42857142857142855,0.42857142857142855,0.14285714285714285
