year,pos,neu,neg
1950,0.0,0.0,0.0
1951,0.0,0.0,0.0
1952,0.0,0.0,0.0
1953,0.0,0.0,0.0
1954,0.0,0.0,0.0
1955,0.0,0.0,0.0
1956,0.0,0.0,0.0
1957,0.0,1.0,0.0
1958,0.0,0.0,0.0
1959,0.0,0.0,0.0
1960,0.0,0.0,0.0
1961,0.0,0.0,0.0
1962,0.0,0.0,0.0
1963,0.0,1.0,0.0
1964,0.0,1.0,0.0
1965,0.0,1.0,0.0
1966,0.0,1.0,0.0
1967,0.0,0.0,0.0
1968,0.0,1.0,0.0
1969,0.0,1.0,0.0
1970,0.0,0.0,0.0
1971,0.0,0.0,0.0
1972,0.0,0.0,0.0
1973,0.2857142857142857,0.7142857142857143,0.0
1974,0.0,0.0,0.0
1975,0.0,0.0,0.0
1976,0.0,0.0,0.0
1977,0.0,0.0,0.0
1978,0.0,1.0,0.0
1979,0.0,1.0,0.0
1980,0.0,0.0,0.0
1981,0.0,0.0,1.0
1982,0.0,1.0,0.0
1983,0.0,0.0,0.0
1984,0.0,1.0,0.0
1985,0.0,1.0,0.0
1986,0.0,0.0,0.0
1987,0.3333333333333333,0.3333333333333333,0.3333333333333333
1988,0.0,1.0,0.0
1989,0.0,0.5,0.5
1990,0.0,0.0,0.0
1991,0.0,1.0,0.0
1992,0.3333333333333333,0.3333333333333333,0.3333333333333333
1993,0.0,0.8,0.2
1994,0.3333333333333333,0.16666666666666666,0.5
1995,0.6,0.4,0.0
1996,0.0,0.75,0.25
1997,0.0,0.8,0.2
1998,0.0,1.0,0.0
1999,0.0,0.8,0.2
2000,0.25,0.75,0.0
2001,0.0,0.75,0.25
2002,0.3333333333333333,0.6666666666666666,0.0
2003,0.2857142857142857,0.6428571428571429,0.07142857142857142
2004,0.08333333333333333,0.8333333333333334,0.08333333333333333
2005,0.0,1.0,0.0
2006,0.125,0.8125,0.0625
2007,0.3333333333333333,0.6666666666666666,0.0
2008,0.18181818181818182,0.5454545454545454,0.2727272727272727
2009,0.2857142857142857,0.7142857142857143,0.0
2010,0.13333333333333333,0.8666666666666667,0.0
2011,0.30434782608695654,0.6956521739130435,0.0
2012,0.0,0.875,0.125
2013,0.4,0.6,0.0
2014,0.26666666666666666,0.6666666666666666,0.06666666666666667
2015,0.15,0.85,0.0
2016,0.13333333333333333,0.7333333333333333,0.13333333333333333
2017,0.07692307692307693,0.8461538461538461,0.07692307692307693
