year,pos,neu,neg
1950,0.27956989247311825,0.6236559139784946,0.0967741935483871
1951,0.22580645161290322,0.7419354838709677,0.03225806451612903
1952,0.21495327102803738,0.6635514018691588,0.12149532710280374
1953,0.22916666666666666,0.7083333333333334,0.0625
1954,0.21145374449339208,0.6784140969162996,0.11013215859030837
1955,0.16417910447761194,0.7238805970149254,0.11194029850746269
1956,0.16037735849056603,0.8113207547169812,0.02830188679245283
1957,0.1951219512195122,0.7073170731707317,0.0975609756097561
1958,0.15384615384615385,0.8076923076923077,0.038461538461538464
1959,0.21022727272727273,0.6818181818181818,0.10795454545454546
1960,0.2786885245901639,0.6338797814207651,0.08743169398907104
1961,0.17721518987341772,0.7341772151898734,0.08860759493670886
1962,0.15441176470588236,0.7867647058823529,0.058823529411764705
1963,0.2608695652173913,0.6086956521739131,0.13043478260869565
1964,0.13953488372093023,0.7209302325581395,0.13953488372093023
1965,0.19161676646706588,0.7305389221556886,0.07784431137724551
1966,0.2066115702479339,0.6776859504132231,0.11570247933884298
1967,0.09821428571428571,0.75,0.15178571428571427
1968,0.13559322033898305,0.6779661016949152,0.1864406779661017
1969,0.2878787878787879,0.6666666666666666,0.045454545454545456
1970,0.1956521739130435,0.7065217391304348,0.09782608695652174
1971,0.20192307692307693,0.7163461538461539,0.08173076923076923
1972,0.15789473684210525,0.7368421052631579,0.10526315789473684
1973,0.15625,0.6875,0.15625
1974,0.2857142857142857,0.6428571428571429,0.07142857142857142
1975,0.24528301886792453,0.6792452830188679,0.07547169811320754
1976,0.29411764705882354,0.6176470588235294,0.08823529411764706
1977,0.06382978723404255,0.851063829787234,0.0851063829787234
1978,0.20833333333333334,0.625,0.16666666666666666
1979,0.17857142857142858,0.6696428571428571,0.15178571428571427
1980,0.1111111111111111,0.6666666666666666,0.2222222222222222
1981,0.2558139534883721,0.7209302325581395,0.023255813953488372
1982,0.26666666666666666,0.6,0.13333333333333333
1983,0.2727272727272727,0.6363636363636364,0.09090909090909091
1984,0.08333333333333333,0.75,0.16666666666666666
1985,0.2,0.58,0.22
1986,0.19148936170212766,0.5319148936170213,0.2765957446808511
1987,0.08571428571428572,0.7428571428571429,0.17142857142857143
1988,0.21428571428571427,0.6666666666666666,0.11904761904761904
1989,0.10714285714285714,0.7321428571428571,0.16071428571428573
1990,0.05,0.725,0.225
1991,0.21875,0.46875,0.3125
1992,0.13953488372093023,0.7441860465116279,0.11627906976744186
1993,0.2878787878787879,0.6060606060606061,0.10606060606060606
1994,0.16216216216216217,0.6891891891891891,0.14864864864864866
1995,0.14285714285714285,0.6666666666666666,0.19047619047619047
1996,0.14606741573033707,0.6404494382022472,0.21348314606741572
1997,0.22784810126582278,0.5189873417721519,0.25316455696202533
1998,0.19642857142857142,0.625,0.17857142857142858
1999,0.20388349514563106,0.7087378640776699,0.08737864077669903
2000,0.1794871794871795,0.6324786324786325,0.18803418803418803
2001,0.15625,0.625,0.21875
2002,0.1590909090909091,0.5,0.3409090909090909
2003,0.1320754716981132,0.6981132075471698,0.16981132075471697
2004,0.102803738317757,0.6728971962616822,0.22429906542056074
2005,0.14166666666666666,0.6833333333333333,0.175
2006,0.1258741258741259,0.7272727272727273,0.14685314685314685
2007,0.19672131147540983,0.5819672131147541,0.22131147540983606
2008,0.13170731707317074,0.6585365853658537,0.2097560975609756
2009,0.1826086956521739,0.6579710144927536,0.15942028985507245
2010,0.16911764705882354,0.6862745098039216,0.14460784313725492
2011,0.17530864197530865,0.7135802469135802,0.1111111111111111
2012,0.18301610541727673,0.6998535871156661,0.1171303074670571
2013,0.15402298850574714,0.6988505747126437,0.1471264367816092
2014,0.15987460815047022,0.6551724137931034,0.18495297805642633
2015,0.14958448753462603,0.6703601108033241,0.18005540166204986
2016,0.19032258064516128,0.6387096774193548,0.17096774193548386
2017,0.16455696202531644,0.6708860759493671,0.16455696202531644
