year,pos,neu,neg
1950,0.0,0.0,0.0
1951,0.0,1.0,0.0
1952,0.0,0.0,0.0
1953,0.0,1.0,0.0
1954,0.0,0.0,0.0
1955,0.0,1.0,0.0
1956,0.0,1.0,0.0
1957,0.0,0.0,0.0
1958,0.0,1.0,0.0
1959,0.0,1.0,0.0
1960,0.0,0.0,0.0
1961,0.0,1.0,0.0
1962,0.5,0.5,0.0
1963,0.0,0.0,0.0
1964,0.0,0.0,0.0
1965,0.0,1.0,0.0
1966,0.0,1.0,0.0
1967,0.0,1.0,0.0
1968,0.0,1.0,0.0
1969,0.0,0.0,0.0
1970,0.0,0.0,0.0
1971,1.0,0.0,0.0
1972,0.0,0.0,0.0
1973,0.0,0.0,0.0
1974,0.0,0.0,0.0
1975,0.0,0.0,0.0
1976,0.0,1.0,0.0
1977,0.0,1.0,0.0
1978,0.0,0.0,0.0
1979,1.0,0.0,0.0
1980,0.0,0.0,0.0
1981,0.0,1.0,0.0
1982,0.0,0.0,1.0
1983,0.0,0.6666666666666666,0.3333333333333333
1984,1.0,0.0,0.0
1985,0.0,0.0,0.0
1986,0.0,0.0,0.0
1987,0.0,0.0,0.0
1988,0.0,1.0,0.0
1989,0.125,0.875,0.0
1990,0.0,1.0,0.0
1991,0.0,0.0,0.0
1992,0.0,0.0,0.0
1993,0.0,0.0,0.0
1994,0.0,1.0,0.0
1995,0.0,1.0,0.0
1996,0.5,0.5,0.0
1997,0.25,0.75,0.0
1998,0.0,1.0,0.0
1999,1.0,0.0,0.0
2000,0.15789473684210525,0.7368421052631579,0.10526315789473684
2001,0.4,0.6,0.0
2002,0.0,1.0,0.0
2003,0.0,1.0,0.0
2004,0.0,0.8333333333333334,0.16666666666666666
2005,0.25,0.625,0.125
2006,0.11764705882352941,0.7647058823529411,0.11764705882352941
2007,0.22727272727272727,0.7272727272727273,0.045454545454545456
2008,0.25,0.75,0.0
2009,0.0,0.875,0.125
2010,0.07692307692307693,0.6923076923076923,0.23076923076923078
2011,0.1875,0.75,0.0625
2012,0.1111111111111111,0.8333333333333334,0.05555555555555555
2013,0.2857142857142857,0.5714285714285714,0.14285714285714285
2014,0.07407407407407407,0.8148148148148148,0.1111111111111111
2015,0.26666666666666666,0.6666666666666666,0.06666666666666667
2016,0.3333333333333333,0.6666666666666666,0.0
2017,0.0,0.8,0.2
