year,pos,neu,neg
1950,0.0,0.0,0.0
1951,0.0,0.0,0.0
1952,0.0,0.0,0.0
1953,0.0,0.0,0.0
1954,0.0,0.0,0.0
1955,0.0,0.0,0.0
1956,0.0,1.0,0.0
1957,0.0,0.0,0.0
1958,0.0,0.0,0.0
1959,0.0,0.0,0.0
1960,0.0,1.0,0.0
1961,0.0,1.0,0.0
1962,0.0,0.0,0.0
1963,0.0,1.0,0.0
1964,0.5,0.5,0.0
1965,0.0,1.0,0.0
1966,0.0,0.0,0.0
1967,0.0,1.0,0.0
1968,0.0,0.0,1.0
1969,0.0,1.0,0.0
1970,0.0,1.0,0.0
1971,0.0,0.6666666666666666,0.3333333333333333
1972,0.0,0.0,0.0
1973,0.0,1.0,0.0
1974,0.0,0.0,0.0
1975,0.0,1.0,0.0
1976,0.0,1.0,0.0
1977,0.0,0.0,0.0
1978,0.0,0.0,0.0
1979,0.0,0.0,0.0
1980,0.0,0.0,0.0
1981,0.0,1.0,0.0
1982,0.0,1.0,0.0
1983,0.0,0.0,0.0
1984,0.3333333333333333,0.6666666666666666,0.0
1985,0.0,0.5,0.5
1986,0.5,0.5,0.0
1987,0.0,1.0,0.0
1988,0.0,1.0,0.0
1989,0.2,0.8,0.0
1990,0.5,0.5,0.0
1991,0.3333333333333333,0.5,0.16666666666666666
1992,0.0,1.0,0.0
1993,0.375,0.5,0.125
1994,0.0,1.0,0.0
1995,0.0,1.0,0.0
1996,0.3,0.7,0.0
1997,0.6,0.4,0.0
1998,0.2,0.8,0.0
1999,0.3333333333333333,0.5833333333333334,0.08333333333333333
2000,0.3333333333333333,0.0,0.6666666666666666
2001,0.6666666666666666,0.3333333333333333,0.0
2002,0.0,0.6666666666666666,0.3333333333333333
2003,0.0,0.875,0.125
2004,0.1111111111111111,0.7777777777777778,0.1111111111111111
2005,0.0,0.625,0.375
2006,0.2,0.8,0.0
2007,0.0,0.6666666666666666,0.3333333333333333
2008,0.1,0.7,0.2
2009,0.3333333333333333,0.4,0.26666666666666666
2010,0.29411764705882354,0.7058823529411765,0.0
2011,0.0625,0.875,0.0625
2012,0.25,0.5,0.25
2013,0.5,0.4,0.1
2014,0.26666666666666666,0.4,0.3333333333333333
2015,0.18181818181818182,0.5454545454545454,0.2727272727272727
2016,0.1,0.6,0.3
2017,0.6666666666666666,0.3333333333333333,0.0
