year,pos,neu,neg
1950,0.0,0.0,0.0
1951,0.0,0.0,1.0
1952,0.0,1.0,0.0
1953,0.0,0.0,0.0
1954,0.0,0.0,0.0
1955,0.0,1.0,0.0
1956,0.0,0.0,0.0
1957,0.0,0.6666666666666666,0.3333333333333333
1958,0.0,0.0,0.0
1959,0.0,1.0,0.0
1960,0.0,1.0,0.0
1961,0.0,0.5,0.5
1962,0.0,0.0,0.0
1963,0.0,0.0,0.0
1964,0.0,1.0,0.0
1965,0.6666666666666666,0.3333333333333333,0.0
1966,0.0,0.5,0.5
1967,0.0,1.0,0.0
1968,0.0,0.0,0.0
1969,0.0,0.5,0.5
1970,0.0,0.3333333333333333,0.6666666666666666
1971,0.0,0.0,0.0
1972,0.0,1.0,0.0
1973,1.0,0.0,0.0
1974,0.0,1.0,0.0
1975,0.0,0.5,0.5
1976,0.0,0.6666666666666666,0.3333333333333333
1977,0.0,0.0,0.0
1978,0.0,1.0,0.0
1979,0.0,1.0,0.0
1980,0.0,0.0,0.0
1981,0.0,1.0,0.0
1982,0.5,0.0,0.5
1983,0.0,0.0,0.0
1984,0.5,0.5,0.0
1985,0.0,1.0,0.0
1986,0.0,0.0,0.0
1987,0.0,0.625,0.375
1988,0.0,0.75,0.25
1989,0.0,0.5,0.5
1990,0.5,0.3333333333333333,0.16666666666666666
1991,0.0,0.5714285714285714,0.42857142857142855
1992,0.0,0.6666666666666666,0.3333333333333333
1993,0.6666666666666666,0.0,0.3333333333333333
1994,0.3333333333333333,0.6666666666666666,0.0
1995,0.0,0.25,0.75
1996,0.25,0.25,0.5
1997,0.0,0.6666666666666666,0.3333333333333333
1998,0.0,0.6666666666666666,0.3333333333333333
1999,0.0,0.6666666666666666,0.3333333333333333
2000,0.125,0.75,0.125
2001,0.6,0.4,0.0
2002,0.0,1.0,0.0
2003,0.0,1.0,0.0
2004,0.0,0.6666666666666666,0.3333333333333333
2005,0.14285714285714285,0.42857142857142855,0.42857142857142855
2006,0.1,0.8,0.1
2007,0.16666666666666666,0.5,0.3333333333333333
2008,0.0,0.75,0.25
2009,0.045454545454545456,0.6363636363636364,0.3181818181818182
2010,0.0625,0.5625,0.375
2011,0.09090909090909091,0.6363636363636364,0.2727272727272727
2012,0.125,0.4166666666666667,0.4583333333333333
2013,0.16666666666666666,0.6190476190476191,0.21428571428571427
2014,0.0,0.5,0.5
2015,0.2857142857142857,0.6428571428571429,0.07142857142857142
2016,0.1,0.6,0.3
2017,0.1111111111111111,0.4444444444444444,0.4444444444444444
