year,pos,neu,neg
1950,1.0,0.0,0.0
1951,0.25,0.5,0.25
1952,0.0,1.0,0.0
1953,0.0,1.0,0.0
1954,0.0,0.9285714285714286,0.07142857142857142
1955,0.0,0.8571428571428571,0.14285714285714285
1956,0.2,0.8,0.0
1957,0.0,0.6,0.4
1958,0.0,0.875,0.125
1959,0.2857142857142857,0.5714285714285714,0.14285714285714285
1960,0.25,0.5,0.25
1961,0.0,1.0,0.0
1962,0.0,1.0,0.0
1963,0.0,0.0,1.0
1964,0.0,0.8571428571428571,0.14285714285714285
1965,0.125,0.625,0.25
1966,0.17647058823529413,0.7058823529411765,0.11764705882352941
1967,0.0,0.9166666666666666,0.08333333333333333
1968,0.13333333333333333,0.7333333333333333,0.13333333333333333
1969,0.2857142857142857,0.5714285714285714,0.14285714285714285
1970,0.0,1.0,0.0
1971,0.14285714285714285,0.5714285714285714,0.2857142857142857
1972,0.15384615384615385,0.7692307692307693,0.07692307692307693
1973,0.2857142857142857,0.5714285714285714,0.14285714285714285
1974,0.13043478260869565,0.782608695652174,0.08695652173913043
1975,0.16666666666666666,0.7916666666666666,0.041666666666666664
1976,0.3333333333333333,0.6666666666666666,0.0
1977,0.125,0.875,0.0
1978,0.5,0.3,0.2
1979,0.047619047619047616,0.7619047619047619,0.19047619047619047
1980,0.21428571428571427,0.7857142857142857,0.0
1981,0.09090909090909091,0.7272727272727273,0.18181818181818182
1982,0.0,0.9375,0.0625
1983,0.11538461538461539,0.6538461538461539,0.23076923076923078
1984,0.0,0.9444444444444444,0.05555555555555555
1985,0.1,0.9,0.0
1986,0.2,0.7714285714285715,0.02857142857142857
1987,0.15384615384615385,0.8461538461538461,0.0
1988,0.16666666666666666,0.6666666666666666,0.16666666666666666
1989,0.4444444444444444,0.3333333333333333,0.2222222222222222
1990,0.17647058823529413,0.7058823529411765,0.11764705882352941
1991,0.75,0.25,0.0
1992,0.25,0.75,0.0
1993,0.0,0.875,0.125
1994,0.14285714285714285,0.8571428571428571,0.0
1995,0.16666666666666666,0.75,0.08333333333333333
1996,0.25,0.75,0.0
1997,0.10526315789473684,0.8421052631578947,0.05263157894736842
1998,0.05,0.9,0.05
1999,0.25806451612903225,0.7419354838709677,0.0
2000,0.125,0.775,0.1
2001,0.26666666666666666,0.7333333333333333,0.0
2002,0.09090909090909091,0.6666666666666666,0.24242424242424243
2003,0.17391304347826086,0.782608695652174,0.043478260869565216
2004,0.13043478260869565,0.8260869565217391,0.043478260869565216
2005,0.2545454545454545,0.6727272727272727,0.07272727272727272
2006,0.30434782608695654,0.6521739130434783,0.043478260869565216
2007,0.14583333333333334,0.7708333333333334,0.08333333333333333
2008,0.1702127659574468,0.6595744680851063,0.1702127659574468
2009,0.27941176470588236,0.6323529411764706,0.08823529411764706
2010,0.14285714285714285,0.8333333333333334,0.023809523809523808
2011,0.2826086956521739,0.6956521739130435,0.021739130434782608
2012,0.19230769230769232,0.6923076923076923,0.11538461538461539
2013,0.09090909090909091,0.7878787878787878,0.12121212121212122
2014,0.20930232558139536,0.6976744186046512,0.09302325581395349
2015,0.27450980392156865,0.6470588235294118,0.0784313725490196
2016,0.20689655172413793,0.7586206896551724,0.034482758620689655
2017,0.23333333333333334,0.6333333333333333,0.13333333333333333
