year,pos,neu,neg
1950,0.3333333333333333,0.6666666666666666,0.0
1951,0.0,1.0,0.0
1952,0.0,1.0,0.0
1953,0.0,1.0,0.0
1954,0.25,0.75,0.0
1955,1.0,0.0,0.0
1956,0.0,0.0,0.0
1957,0.0,0.0,0.0
1958,0.16666666666666666,0.6666666666666666,0.16666666666666666
1959,0.36363636363636365,0.36363636363636365,0.2727272727272727
1960,0.0,1.0,0.0
1961,0.4,0.6,0.0
1962,0.0,1.0,0.0
1963,0.0,0.8888888888888888,0.1111111111111111
1964,0.2,0.8,0.0
1965,0.5714285714285714,0.2857142857142857,0.14285714285714285
1966,0.0,0.8,0.2
1967,0.0,1.0,0.0
1968,0.0,0.6,0.4
1969,0.5555555555555556,0.4444444444444444,0.0
1970,0.2,0.7,0.1
1971,0.14285714285714285,0.8571428571428571,0.0
1972,0.4,0.5,0.1
1973,0.125,0.875,0.0
1974,0.3333333333333333,0.5,0.16666666666666666
1975,0.25,0.75,0.0
1976,0.0,0.7142857142857143,0.2857142857142857
1977,0.0,1.0,0.0
1978,0.2857142857142857,0.5714285714285714,0.14285714285714285
1979,0.375,0.625,0.0
1980,0.0,1.0,0.0
1981,0.0,1.0,0.0
1982,0.0,0.3333333333333333,0.6666666666666666
1983,0.3333333333333333,0.6666666666666666,0.0
1984,0.14285714285714285,0.8571428571428571,0.0
1985,0.2,0.6,0.2
1986,0.2727272727272727,0.7272727272727273,0.0
1987,0.17647058823529413,0.5882352941176471,0.23529411764705882
1988,0.2857142857142857,0.6428571428571429,0.07142857142857142
1989,0.3333333333333333,0.6190476190476191,0.047619047619047616
1990,0.0,0.7857142857142857,0.21428571428571427
1991,0.23076923076923078,0.6923076923076923,0.07692307692307693
1992,0.2857142857142857,0.5714285714285714,0.14285714285714285
1993,0.2222222222222222,0.7777777777777778,0.0
1994,0.3076923076923077,0.5384615384615384,0.15384615384615385
1995,0.2222222222222222,0.6666666666666666,0.1111111111111111
1996,0.2,0.5333333333333333,0.26666666666666666
1997,0.16666666666666666,0.7222222222222222,0.1111111111111111
1998,0.3333333333333333,0.5555555555555556,0.1111111111111111
1999,0.22727272727272727,0.7272727272727273,0.045454545454545456
2000,0.3333333333333333,0.3333333333333333,0.3333333333333333
2001,0.19047619047619047,0.8095238095238095,0.0
2002,0.3333333333333333,0.5833333333333334,0.08333333333333333
2003,0.28,0.56,0.16
2004,0.27586206896551724,0.7241379310344828,0.0
2005,0.15789473684210525,0.6842105263157895,0.15789473684210525
2006,0.21739130434782608,0.7391304347826086,0.043478260869565216
2007,0.2916666666666667,0.6458333333333334,0.0625
2008,0.28846153846153844,0.6346153846153846,0.07692307692307693
2009,0.3333333333333333,0.6041666666666666,0.0625
2010,0.21739130434782608,0.7101449275362319,0.07246376811594203
2011,0.21818181818181817,0.7090909090909091,0.07272727272727272
2012,0.3125,0.640625,0.046875
2013,0.3382352941176471,0.5588235294117647,0.10294117647058823
2014,0.3157894736842105,0.5964912280701754,0.08771929824561403
2015,0.26582278481012656,0.620253164556962,0.11392405063291139
2016,0.21794871794871795,0.717948717948718,0.0641025641025641
2017,0.3125,0.5833333333333334,0.10416666666666667
