year,pos,neu,neg
1950,0.0,0.0,0.0
1951,0.0,0.0,0.0
1952,0.0,0.0,0.0
1953,0.0,0.0,0.0
1954,0.0,0.0,0.0
1955,0.0,0.0,0.0
1956,0.0,0.0,0.0
1957,0.0,0.0,0.0
1958,0.0,0.0,0.0
1959,0.0,0.0,0.0
1960,0.0,0.0,0.0
1961,0.0,0.0,0.0
1962,0.0,0.0,0.0
1963,0.0,1.0,0.0
1964,0.0,0.0,0.0
1965,0.0,0.0,0.0
1966,0.0,0.0,0.0
1967,0.0,0.0,0.0
1968,0.0,0.0,0.0
1969,0.0,0.0,0.0
1970,0.0,0.0,0.0
1971,0.0,0.0,0.0
1972,0.0,0.0,0.0
1973,0.0,0.0,0.0
1974,0.0,0.0,0.0
1975,0.0,0.0,0.0
1976,0.0,0.0,0.0
1977,0.0,0.0,0.0
1978,0.0,0.0,0.0
1979,0.0,0.0,0.0
1980,0.0,0.0,0.0
1981,0.0,0.0,0.0
1982,0.0,0.0,0.0
1983,0.0,0.0,0.0
1984,0.0,0.0,0.0
1985,0.0,0.0,0.0
1986,0.0,0.0,0.0
1987,0.0,0.0,1.0
1988,0.0,0.0,0.0
1989,0.0,0.0,0.0
1990,0.0,0.0,0.0
1991,0.0,1.0,0.0
1992,0.0,0.0,0.0
1993,0.0,1.0,0.0
1994,0.5,0.5,0.0
1995,0.0,1.0,0.0
1996,0.2727272727272727,0.6363636363636364,0.09090909090909091
1997,0.08333333333333333,0.8333333333333334,0.08333333333333333
1998,0.125,0.875,0.0
1999,0.0,0.8,0.2
2000,0.0,0.8,0.2
2001,0.0,0.6666666666666666,0.3333333333333333
2002,0.18181818181818182,0.7272727272727273,0.09090909090909091
2003,0.18181818181818182,0.8181818181818182,0.0
2004,0.0,0.8181818181818182,0.18181818181818182
2005,0.2,0.7333333333333333,0.06666666666666667
2006,0.15151515151515152,0.696969696969697,0.15151515151515152
2007,0.1875,0.78125,0.03125
2008,0.2727272727272727,0.5909090909090909,0.13636363636363635
2009,0.2558139534883721,0.6511627906976745,0.09302325581395349
2010,0.15,0.775,0.075
2011,0.1,0.75,0.15
2012,0.2926829268292683,0.6097560975609756,0.0975609756097561
2013,0.1,0.9,0.0
2014,0.21875,0.75,0.03125
2015,0.22580645161290322,0.6612903225806451,0.11290322580645161
2016,0.20689655172413793,0.7586206896551724,0.034482758620689655
2017,0.23076923076923078,0.6923076923076923,0.07692307692307693
