year,pos,neu,neg
1950,0.0,1.0,0.0
1951,0.0,0.0,0.0
1952,0.0,0.0,0.0
1953,0.0,0.0,0.0
1954,0.0,0.0,0.0
1955,0.0,0.0,0.0
1956,0.0,0.0,0.0
1957,0.0,0.0,0.0
1958,0.0,0.0,0.0
1959,0.0,0.0,0.0
1960,0.0,1.0,0.0
1961,0.0,1.0,0.0
1962,0.0,0.0,0.0
1963,0.0,0.0,0.0
1964,0.0,0.0,0.0
1965,0.0,0.0,0.0
1966,0.0,1.0,0.0
1967,0.0,0.0,0.0
1968,0.0,1.0,0.0
1969,0.0,0.0,0.0
1970,0.0,0.0,0.0
1971,0.0,0.0,1.0
1972,1.0,0.0,0.0
1973,0.0,0.0,0.0
1974,0.0,0.0,0.0
1975,0.0,1.0,0.0
1976,1.0,0.0,0.0
1977,0.0,1.0,0.0
1978,0.0,0.0,0.0
1979,0.0,0.0,0.0
1980,0.0,1.0,0.0
1981,0.0,0.0,0.0
1982,0.0,1.0,0.0
1983,0.0,0.0,0.0
1984,0.0,0.5,0.5
1985,0.0,1.0,0.0
1986,0.0,1.0,0.0
1987,0.05263157894736842,0.7368421052631579,0.21052631578947367
1988,0.0,1.0,0.0
1989,0.0,1.0,0.0
1990,0.0,1.0,0.0
1991,0.0,1.0,0.0
1992,0.2222222222222222,0.7777777777777778,0.0
1993,0.14285714285714285,0.8571428571428571,0.0
1994,0.13333333333333333,0.5333333333333333,0.3333333333333333
1995,0.2222222222222222,0.6666666666666666,0.1111111111111111
1996,0.0,0.9090909090909091,0.09090909090909091
1997,0.14285714285714285,0.7619047619047619,0.09523809523809523
1998,0.1724137931034483,0.7241379310344828,0.10344827586206896
1999,0.13636363636363635,0.7727272727272727,0.09090909090909091
2000,0.08695652173913043,0.8695652173913043,0.043478260869565216
2001,0.06666666666666667,0.8,0.13333333333333333
2002,0.1111111111111111,0.7222222222222222,0.16666666666666666
2003,0.05,0.925,0.025
2004,0.15,0.825,0.025
2005,0.05263157894736842,0.8070175438596491,0.14035087719298245
2006,0.11494252873563218,0.8160919540229885,0.06896551724137931
2007,0.12359550561797752,0.7415730337078652,0.1348314606741573
2008,0.09900990099009901,0.7227722772277227,0.1782178217821782
2009,0.1,0.7909090909090909,0.10909090909090909
2010,0.18493150684931506,0.7465753424657534,0.0684931506849315
2011,0.14835164835164835,0.7197802197802198,0.13186813186813187
2012,0.11428571428571428,0.7642857142857142,0.12142857142857143
2013,0.09444444444444444,0.7777777777777778,0.12777777777777777
2014,0.11914893617021277,0.7191489361702128,0.16170212765957448
2015,0.16300940438871472,0.7648902821316614,0.07210031347962383
2016,0.1409090909090909,0.7545454545454545,0.10454545454545454
2017,0.09482758620689655,0.7844827586206896,0.1206896551724138
