year,pos,neu,neg
1950,0.0,0.0,0.0
1951,0.0,0.0,0.0
1952,0.0,0.0,0.0
1953,0.0,0.0,0.0
1954,0.0,0.0,0.0
1955,0.0,0.0,0.0
1956,0.0,0.0,0.0
1957,0.0,0.0,0.0
1958,0.0,0.0,0.0
1959,0.0,0.0,0.0
1960,0.0,0.0,0.0
1961,0.0,0.0,0.0
1962,0.0,0.0,0.0
1963,0.0,0.0,0.0
1964,0.0,1.0,0.0
1965,0.0,0.0,0.0
1966,0.0,0.0,0.0
1967,0.0,0.0,0.0
1968,0.0,0.0,0.0
1969,0.0,0.0,0.0
1970,0.0,0.0,0.0
1971,0.0,0.0,0.0
1972,0.0,0.0,0.0
1973,0.0,0.0,0.0
1974,0.0,0.0,0.0
1975,0.0,0.0,0.0
1976,0.0,0.0,0.0
1977,0.0,0.0,0.0
1978,0.0,0.0,0.0
1979,0.0,0.0,0.0
1980,0.0,0.0,0.0
1981,0.0,0.0,0.0
1982,0.0,0.0,0.0
1983,0.0,0.0,0.0
1984,0.0,0.0,0.0
1985,0.0,0.0,0.0
1986,0.0,0.0,0.0
1987,0.0,0.0,0.0
1988,0.0,0.0,0.0
1989,0.0,0.0,0.0
1990,0.0,0.0,0.0
1991,0.0,0.0,0.0
1992,0.0,0.0,0.0
1993,0.7142857142857143,0.2857142857142857,0.0
1994,1.0,0.0,0.0
1995,0.75,0.0,0.25
1996,0.5,0.0,0.5
1997,1.0,0.0,0.0
1998,0.6666666666666666,0.0,0.3333333333333333
1999,0.6533333333333333,0.28,0.06666666666666667
2000,0.676923076923077,0.25384615384615383,0.06923076923076923
2001,0.6633663366336634,0.26732673267326734,0.06930693069306931
2002,0.6551724137931034,0.3103448275862069,0.034482758620689655
2003,0.6619718309859155,0.18309859154929578,0.15492957746478872
2004,0.6486486486486487,0.24324324324324326,0.10810810810810811
2005,0.6363636363636364,0.36363636363636365,0.0
2006,0.7142857142857143,0.2857142857142857,0.0
2007,1.0,0.0,0.0
2008,0.8571428571428571,0.14285714285714285,0.0
2009,0.7777777777777778,0.2222222222222222,0.0
2010,0.6428571428571429,0.21428571428571427,0.14285714285714285
2011,0.7222222222222222,0.16666666666666666,0.1111111111111111
2012,0.6666666666666666,0.16666666666666666,0.16666666666666666
2013,0.875,0.125,0.0
2014,0.7272727272727273,0.2727272727272727,0.0
2015,0.6538461538461539,0.2692307692307692,0.07692307692307693
2016,0.6666666666666666,0.2727272727272727,0.06060606060606061
2017,0.8571428571428571,0.14285714285714285,0.0
