year,pos,neu,neg
1950,0.5,0.5,0.0
1951,0.25,0.75,0.0
1952,0.7142857142857143,0.14285714285714285,0.14285714285714285
1953,0.2857142857142857,0.7142857142857143,0.0
1954,0.16666666666666666,0.6666666666666666,0.16666666666666666
1955,0.0,1.0,0.0
1956,0.25,0.6875,0.0625
1957,0.3,0.7,0.0
1958,0.25,0.75,0.0
1959,0.2857142857142857,0.42857142857142855,0.2857142857142857
1960,0.3333333333333333,0.5833333333333334,0.08333333333333333
1961,0.4166666666666667,0.5833333333333334,0.0
1962,0.2222222222222222,0.7777777777777778,0.0
1963,0.45454545454545453,0.5454545454545454,0.0
1964,0.23076923076923078,0.7692307692307693,0.0
1965,0.16666666666666666,0.6666666666666666,0.16666666666666666
1966,0.08333333333333333,0.8333333333333334,0.08333333333333333
1967,0.4375,0.5625,0.0
1968,0.2,0.6,0.2
1969,0.5,0.35714285714285715,0.14285714285714285
1970,0.16666666666666666,0.7777777777777778,0.05555555555555555
1971,0.0,1.0,0.0
1972,0.375,0.625,0.0
1973,0.2857142857142857,0.7142857142857143,0.0
1974,0.42857142857142855,0.5714285714285714,0.0
1975,0.2222222222222222,0.6666666666666666,0.1111111111111111
1976,0.6,0.4,0.0
1977,0.4782608695652174,0.4782608695652174,0.043478260869565216
1978,0.3,0.7,0.0
1979,0.06666666666666667,0.8,0.13333333333333333
1980,0.6,0.3,0.1
1981,0.15384615384615385,0.8461538461538461,0.0
1982,0.5,0.5,0.0
1983,0.5,0.5,0.0
1984,0.17857142857142858,0.75,0.07142857142857142
1985,0.5,0.5,0.0
1986,0.25,0.5625,0.1875
1987,0.15384615384615385,0.6153846153846154,0.23076923076923078
1988,0.19047619047619047,0.7142857142857143,0.09523809523809523
1989,0.35714285714285715,0.6428571428571429,0.0
1990,0.391304347826087,0.5652173913043478,0.043478260869565216
1991,0.25,0.625,0.125
1992,0.38095238095238093,0.47619047619047616,0.14285714285714285
1993,0.29411764705882354,0.6764705882352942,0.029411764705882353
1994,0.391304347826087,0.5652173913043478,0.043478260869565216
1995,0.2638888888888889,0.6666666666666666,0.06944444444444445
1996,0.3684210526315789,0.6052631578947368,0.02631578947368421
1997,0.2916666666666667,0.5833333333333334,0.125
1998,0.2972972972972973,0.6756756756756757,0.02702702702702703
1999,0.19444444444444445,0.6944444444444444,0.1111111111111111
2000,0.2833333333333333,0.6166666666666667,0.1
2001,0.3584905660377358,0.6037735849056604,0.03773584905660377
2002,0.46153846153846156,0.5192307692307693,0.019230769230769232
2003,0.2916666666666667,0.6041666666666666,0.10416666666666667
2004,0.3188405797101449,0.6376811594202898,0.043478260869565216
2005,0.3493975903614458,0.5903614457831325,0.060240963855421686
2006,0.36470588235294116,0.5647058823529412,0.07058823529411765
2007,0.16666666666666666,0.7888888888888889,0.044444444444444446
2008,0.336283185840708,0.5929203539823009,0.07079646017699115
2009,0.2767857142857143,0.6607142857142857,0.0625
2010,0.3488372093023256,0.6124031007751938,0.03875968992248062
2011,0.2702702702702703,0.6126126126126126,0.11711711711711711
2012,0.3588850174216028,0.5749128919860628,0.06620209059233449
2013,0.311284046692607,0.6264591439688716,0.0622568093385214
2014,0.2602739726027397,0.639269406392694,0.1004566210045662
2015,0.4030612244897959,0.5357142857142857,0.061224489795918366
2016,0.2931937172774869,0.612565445026178,0.09424083769633508
2017,0.34951456310679613,0.6116504854368932,0.038834951456310676
