year,pos,neu,neg
1950,0.0,0.0,0.0
1951,0.0625,0.8125,0.125
1952,0.0,1.0,0.0
1953,0.0,1.0,0.0
1954,0.25,0.5,0.25
1955,0.0,1.0,0.0
1956,1.0,0.0,0.0
1957,0.0,1.0,0.0
1958,0.0625,0.9375,0.0
1959,0.0,1.0,0.0
1960,0.25,0.75,0.0
1961,0.125,0.875,0.0
1962,0.0,0.7142857142857143,0.2857142857142857
1963,0.25,0.75,0.0
1964,0.2,0.8,0.0
1965,0.125,0.875,0.0
1966,0.0,1.0,0.0
1967,0.1111111111111111,0.5555555555555556,0.3333333333333333
1968,0.4,0.6,0.0
1969,0.2727272727272727,0.2727272727272727,0.45454545454545453
1970,0.0,0.75,0.25
1971,0.16666666666666666,0.8333333333333334,0.0
1972,0.0,1.0,0.0
1973,0.25,0.75,0.0
1974,0.2,0.8,0.0
1975,0.0,0.8571428571428571,0.14285714285714285
1976,0.25,0.625,0.125
1977,0.0,0.0,0.0
1978,0.1111111111111111,0.6666666666666666,0.2222222222222222
1979,0.09090909090909091,0.8181818181818182,0.09090909090909091
1980,0.0,0.6666666666666666,0.3333333333333333
1981,0.2,0.8,0.0
1982,0.0,1.0,0.0
1983,0.2,0.8,0.0
1984,0.0,0.0,0.0
1985,0.1111111111111111,0.8888888888888888,0.0
1986,0.42857142857142855,0.42857142857142855,0.14285714285714285
1987,0.3333333333333333,0.3333333333333333,0.3333333333333333
1988,0.1111111111111111,0.7777777777777778,0.1111111111111111
1989,0.125,0.5,0.375
1990,0.4,0.6,0.0
1991,0.2727272727272727,0.7272727272727273,0.0
1992,0.0,0.875,0.125
1993,0.08333333333333333,0.75,0.16666666666666666
1994,0.2222222222222222,0.7777777777777778,0.0
1995,0.25,0.75,0.0
1996,0.1111111111111111,0.5555555555555556,0.3333333333333333
1997,0.2222222222222222,0.7777777777777778,0.0
1998,0.14285714285714285,0.7142857142857143,0.14285714285714285
1999,0.15384615384615385,0.7692307692307693,0.07692307692307693
2000,0.03571428571428571,0.6071428571428571,0.35714285714285715
2001,0.15789473684210525,0.7894736842105263,0.05263157894736842
2002,0.2,0.76,0.04
2003,0.12,0.88,0.0
2004,0.07142857142857142,0.75,0.17857142857142858
2005,0.0625,0.8958333333333334,0.041666666666666664
2006,0.14285714285714285,0.7142857142857143,0.14285714285714285
2007,0.11864406779661017,0.7796610169491526,0.1016949152542373
2008,0.06060606060606061,0.8787878787878788,0.06060606060606061
2009,0.16666666666666666,0.7708333333333334,0.0625
2010,0.26666666666666666,0.6222222222222222,0.1111111111111111
2011,0.13333333333333333,0.7222222222222222,0.14444444444444443
2012,0.13333333333333333,0.8166666666666667,0.05
2013,0.14285714285714285,0.8095238095238095,0.047619047619047616
2014,0.16129032258064516,0.6774193548387096,0.16129032258064516
2015,0.2125,0.75,0.0375
2016,0.11940298507462686,0.7910447761194029,0.08955223880597014
2017,0.09523809523809523,0.8095238095238095,0.09523809523809523
