year,pos,neu,neg
1950,0.0,0.0,0.0
1951,0.0,0.0,0.0
1952,0.0,0.0,0.0
1953,0.0,0.0,0.0
1954,0.0,0.0,0.0
1955,0.0,0.0,0.0
1956,0.0,0.0,0.0
1957,0.0,0.0,0.0
1958,0.0,0.0,0.0
1959,0.0,0.0,0.0
1960,0.0,0.0,0.0
1961,0.0,0.0,0.0
1962,0.0,0.0,0.0
1963,0.0,0.0,0.0
1964,0.0,0.0,0.0
1965,0.0,0.0,0.0
1966,0.0,0.0,0.0
1967,0.0,1.0,0.0
1968,0.0,0.0,0.0
1969,0.0,0.0,0.0
1970,0.0,0.0,0.0
1971,0.0,0.0,0.0
1972,0.0,0.0,0.0
1973,1.0,0.0,0.0
1974,0.0,0.0,0.0
1975,0.0,0.0,0.0
1976,0.0,1.0,0.0
1977,0.0,0.0,0.0
1978,0.0,1.0,0.0
1979,0.0,1.0,0.0
1980,0.0,0.0,0.0
1981,0.0,1.0,0.0
1982,0.0,0.0,0.0
1983,0.0,0.0,0.0
1984,0.0,1.0,0.0
1985,0.0,0.0,0.0
1986,0.0,1.0,0.0
1987,0.0,0.0,0.0
1988,0.0,1.0,0.0
1989,0.0,0.0,0.0
1990,0.0,1.0,0.0
1991,0.0,1.0,0.0
1992,0.0,1.0,0.0
1993,0.0,0.6,0.4
1994,0.25,0.75,0.0
1995,0.13333333333333333,0.8666666666666667,0.0
1996,0.25,0.75,0.0
1997,0.0,1.0,0.0
1998,0.5,0.5,0.0
1999,0.0,1.0,0.0
2000,0.5,0.5,0.0
2001,0.0,1.0,0.0
2002,0.13333333333333333,0.8,0.06666666666666667
2003,0.3333333333333333,0.5,0.16666666666666666
2004,0.2,0.6,0.2
2005,0.0,1.0,0.0
2006,0.0,1.0,0.0
2007,0.07142857142857142,0.8571428571428571,0.07142857142857142
2008,0.0,0.75,0.25
2009,0.08333333333333333,0.9166666666666666,0.0
2010,0.2,0.8,0.0
2011,0.09090909090909091,0.8181818181818182,0.09090909090909091
2012,0.23076923076923078,0.7692307692307693,0.0
2013,0.13636363636363635,0.7727272727272727,0.09090909090909091
2014,0.17391304347826086,0.8260869565217391,0.0
2015,0.125,0.8125,0.0625
2016,0.08695652173913043,0.782608695652174,0.13043478260869565
2017,0.42857142857142855,0.5714285714285714,0.0
