year,pos,neu,neg
1950,0.25,0.5,0.25
1951,0.2,0.8,0.0
1952,0.0,1.0,0.0
1953,0.0,1.0,0.0
1954,0.0,1.0,0.0
1955,0.6666666666666666,0.3333333333333333,0.0
1956,0.5,0.5,0.0
1957,0.3333333333333333,0.6666666666666666,0.0
1958,0.0,1.0,0.0
1959,0.0,0.0,0.0
1960,0.0,1.0,0.0
1961,0.0,1.0,0.0
1962,0.4,0.4,0.2
1963,0.1,0.9,0.0
1964,0.0,1.0,0.0
1965,0.2,0.8,0.0
1966,0.36363636363636365,0.6363636363636364,0.0
1967,0.42857142857142855,0.5714285714285714,0.0
1968,0.3333333333333333,0.6666666666666666,0.0
1969,0.0,1.0,0.0
1970,0.16666666666666666,0.8333333333333334,0.0
1971,0.0,0.3333333333333333,0.6666666666666666
1972,0.42857142857142855,0.5714285714285714,0.0
1973,0.17391304347826086,0.6086956521739131,0.21739130434782608
1974,0.0,0.5,0.5
1975,0.0,0.0,0.0
1976,0.0,1.0,0.0
1977,0.2222222222222222,0.7777777777777778,0.0
1978,0.2,0.8,0.0
1979,0.0,0.7142857142857143,0.2857142857142857
1980,0.4166666666666667,0.5833333333333334,0.0
1981,0.4,0.6,0.0
1982,0.0,1.0,0.0
1983,1.0,0.0,0.0
1984,0.0,0.875,0.125
1985,0.043478260869565216,0.6521739130434783,0.30434782608695654
1986,0.16666666666666666,0.8333333333333334,0.0
1987,0.25,0.6666666666666666,0.08333333333333333
1988,0.0,1.0,0.0
1989,0.5,0.5,0.0
1990,0.2857142857142857,0.5714285714285714,0.14285714285714285
1991,0.15384615384615385,0.7692307692307693,0.07692307692307693
1992,0.375,0.625,0.0
1993,0.16666666666666666,0.8333333333333334,0.0
1994,0.16666666666666666,0.6666666666666666,0.16666666666666666
1995,0.16666666666666666,0.7777777777777778,0.05555555555555555
1996,0.1111111111111111,0.7777777777777778,0.1111111111111111
1997,0.2608695652173913,0.7391304347826086,0.0
1998,0.24285714285714285,0.6571428571428571,0.1
1999,0.14285714285714285,0.7619047619047619,0.09523809523809523
2000,0.21739130434782608,0.782608695652174,0.0
2001,0.1,0.8,0.1
2002,0.19047619047619047,0.6428571428571429,0.16666666666666666
2003,0.3157894736842105,0.5657894736842105,0.11842105263157894
2004,0.26153846153846155,0.6307692307692307,0.1076923076923077
2005,0.32926829268292684,0.5975609756097561,0.07317073170731707
2006,0.17391304347826086,0.7391304347826086,0.08695652173913043
2007,0.27472527472527475,0.7142857142857143,0.01098901098901099
2008,0.2318840579710145,0.6570048309178744,0.1111111111111111
2009,0.15789473684210525,0.7157894736842105,0.12631578947368421
2010,0.24413145539906103,0.676056338028169,0.07981220657276995
2011,0.22748815165876776,0.6729857819905213,0.0995260663507109
2012,0.27586206896551724,0.646551724137931,0.07758620689655173
2013,0.22058823529411764,0.7254901960784313,0.05392156862745098
2014,0.2074468085106383,0.7180851063829787,0.07446808510638298
2015,0.13513513513513514,0.8108108108108109,0.05405405405405406
2016,0.1978021978021978,0.7252747252747253,0.07692307692307693
2017,0.2972972972972973,0.6216216216216216,0.08108108108108109
