year,pos,neu,neg
1950,0.2,0.8,0.0
1951,0.5,0.5,0.0
1952,0.0,1.0,0.0
1953,0.0,1.0,0.0
1954,0.5,0.5,0.0
1955,0.18181818181818182,0.7272727272727273,0.09090909090909091
1956,0.3333333333333333,0.6666666666666666,0.0
1957,0.36363636363636365,0.6363636363636364,0.0
1958,0.3333333333333333,0.6666666666666666,0.0
1959,0.0,0.8,0.2
1960,0.0,0.0,0.0
1961,0.3333333333333333,0.3333333333333333,0.3333333333333333
1962,0.14285714285714285,0.7142857142857143,0.14285714285714285
1963,0.0,0.0,0.0
1964,0.2857142857142857,0.7142857142857143,0.0
1965,0.2,0.6,0.2
1966,0.0,1.0,0.0
1967,0.5555555555555556,0.3333333333333333,0.1111111111111111
1968,0.0,0.5,0.5
1969,0.0,0.6666666666666666,0.3333333333333333
1970,0.0,1.0,0.0
1971,0.0,1.0,0.0
1972,0.14285714285714285,0.8571428571428571,0.0
1973,0.2,0.4,0.4
1974,0.2,0.8,0.0
1975,0.14285714285714285,0.8571428571428571,0.0
1976,0.07692307692307693,0.8461538461538461,0.07692307692307693
1977,0.0,1.0,0.0
1978,0.0,1.0,0.0
1979,0.5,0.25,0.25
1980,0.0,1.0,0.0
1981,0.125,0.75,0.125
1982,0.0,0.3333333333333333,0.6666666666666666
1983,0.0,1.0,0.0
1984,0.16666666666666666,0.6666666666666666,0.16666666666666666
1985,0.5,0.5,0.0
1986,0.3333333333333333,0.6666666666666666,0.0
1987,0.75,0.25,0.0
1988,0.0,0.8,0.2
1989,0.25,0.5,0.25
1990,0.14285714285714285,0.8571428571428571,0.0
1991,0.25,0.75,0.0
1992,0.3333333333333333,0.5,0.16666666666666666
1993,0.0,0.6923076923076923,0.3076923076923077
1994,0.0,1.0,0.0
1995,0.0,1.0,0.0
1996,0.5555555555555556,0.3333333333333333,0.1111111111111111
1997,0.3333333333333333,0.6666666666666666,0.0
1998,0.36363636363636365,0.5454545454545454,0.09090909090909091
1999,0.4,0.4,0.2
2000,0.3333333333333333,0.6666666666666666,0.0
2001,0.7,0.2,0.1
2002,0.2857142857142857,0.42857142857142855,0.2857142857142857
2003,0.3,0.65,0.05
2004,0.0,1.0,0.0
2005,0.375,0.5,0.125
2006,0.15789473684210525,0.7894736842105263,0.05263157894736842
2007,0.5,0.25,0.25
2008,0.2,0.8,0.0
2009,0.29411764705882354,0.6470588235294118,0.058823529411764705
2010,0.125,0.7083333333333334,0.16666666666666666
2011,0.16666666666666666,0.8333333333333334,0.0
2012,0.3142857142857143,0.6285714285714286,0.05714285714285714
2013,0.43333333333333335,0.5666666666666667,0.0
2014,0.3793103448275862,0.5862068965517241,0.034482758620689655
2015,0.1875,0.6875,0.125
2016,0.3333333333333333,0.6666666666666666,0.0
2017,0.16666666666666666,0.75,0.08333333333333333
