year,pos,neu,neg
1950,0.0,0.0,0.0
1951,0.0,0.0,0.0
1952,0.0,0.0,0.0
1953,0.0,0.0,0.0
1954,0.0,0.0,0.0
1955,0.0,0.0,0.0
1956,0.0,1.0,0.0
1957,0.0,0.0,0.0
1958,0.0,1.0,0.0
1959,0.5,0.5,0.0
1960,0.0,0.0,0.0
1961,0.0,0.3333333333333333,0.6666666666666666
1962,0.0,0.0,0.0
1963,0.0,0.0,0.0
1964,0.0,0.0,0.0
1965,0.2,0.6,0.2
1966,0.0,1.0,0.0
1967,1.0,0.0,0.0
1968,0.0,1.0,0.0
1969,0.0,0.75,0.25
1970,0.0,0.0,0.0
1971,0.2,0.6,0.2
1972,0.0,0.0,0.0
1973,0.3333333333333333,0.3333333333333333,0.3333333333333333
1974,0.25,0.75,0.0
1975,0.0,0.0,0.0
1976,0.5,0.5,0.0
1977,0.5,0.5,0.0
1978,0.2727272727272727,0.6363636363636364,0.09090909090909091
1979,1.0,0.0,0.0
1980,0.3333333333333333,0.6666666666666666,0.0
1981,0.6666666666666666,0.3333333333333333,0.0
1982,0.3333333333333333,0.3333333333333333,0.3333333333333333
1983,0.0,0.6,0.4
1984,0.25,0.75,0.0
1985,0.0,1.0,0.0
1986,0.2,0.6,0.2
1987,0.25,0.75,0.0
1988,0.25,0.75,0.0
1989,0.0,0.6666666666666666,0.3333333333333333
1990,0.3333333333333333,0.6666666666666666,0.0
1991,0.14285714285714285,0.8571428571428571,0.0
1992,0.25,0.625,0.125
1993,0.5,0.5,0.0
1994,0.5,0.5,0.0
1995,0.2857142857142857,0.7142857142857143,0.0
1996,0.3333333333333333,0.6666666666666666,0.0
1997,0.2222222222222222,0.6666666666666666,0.1111111111111111
1998,0.21428571428571427,0.5,0.2857142857142857
1999,0.1111111111111111,0.6944444444444444,0.19444444444444445
2000,0.21428571428571427,0.7142857142857143,0.07142857142857142
2001,0.225,0.75,0.025
2002,0.0967741935483871,0.8064516129032258,0.0967741935483871
2003,0.35135135135135137,0.5945945945945946,0.05405405405405406
2004,0.17307692307692307,0.7307692307692307,0.09615384615384616
2005,0.15384615384615385,0.8076923076923077,0.038461538461538464
2006,0.3333333333333333,0.6071428571428571,0.05952380952380952
2007,0.22340425531914893,0.6808510638297872,0.09574468085106383
2008,0.16393442622950818,0.7049180327868853,0.13114754098360656
2009,0.21568627450980393,0.6862745098039216,0.09803921568627451
2010,0.2457627118644068,0.711864406779661,0.0423728813559322
2011,0.2847682119205298,0.6754966887417219,0.039735099337748346
2012,0.3412698412698413,0.5714285714285714,0.0873015873015873
2013,0.24489795918367346,0.7142857142857143,0.04081632653061224
2014,0.35443037974683544,0.5822784810126582,0.06329113924050633
2015,0.281437125748503,0.6047904191616766,0.11377245508982035
2016,0.14285714285714285,0.7946428571428571,0.0625
2017,0.31343283582089554,0.6119402985074627,0.07462686567164178
