year,pos,neu,neg
1950,0.0,0.0,0.0
1951,1.0,0.0,0.0
1952,0.0,0.0,0.0
1953,0.0,0.0,0.0
1954,1.0,0.0,0.0
1955,0.0,1.0,0.0
1956,1.0,0.0,0.0
1957,0.0,0.0,0.0
1958,0.5,0.5,0.0
1959,0.0,0.0,0.0
1960,0.6363636363636364,0.2727272727272727,0.09090909090909091
1961,0.0,1.0,0.0
1962,0.0,1.0,0.0
1963,0.0,0.6,0.4
1964,0.5,0.5,0.0
1965,0.0,0.0,0.0
1966,0.0,0.8461538461538461,0.15384615384615385
1967,0.4444444444444444,0.5555555555555556,0.0
1968,0.25,0.5,0.25
1969,0.0,0.0,0.0
1970,0.0,0.0,0.0
1971,0.0,0.0,0.0
1972,0.5,0.5,0.0
1973,0.0,1.0,0.0
1974,0.0,1.0,0.0
1975,0.0,0.5,0.5
1976,0.0,1.0,0.0
1977,0.0,0.5,0.5
1978,0.0,0.8571428571428571,0.14285714285714285
1979,0.0,1.0,0.0
1980,0.16666666666666666,0.8333333333333334,0.0
1981,0.0,1.0,0.0
1982,0.0,1.0,0.0
1983,0.25,0.25,0.5
1984,0.25,0.5,0.25
1985,0.25,0.625,0.125
1986,0.10526315789473684,0.8421052631578947,0.05263157894736842
1987,0.2,0.6,0.2
1988,0.23076923076923078,0.46153846153846156,0.3076923076923077
1989,0.0,0.8571428571428571,0.14285714285714285
1990,0.09090909090909091,0.7272727272727273,0.18181818181818182
1991,0.0,0.8333333333333334,0.16666666666666666
1992,0.14285714285714285,0.7142857142857143,0.14285714285714285
1993,0.3,0.6,0.1
1994,0.14285714285714285,0.7142857142857143,0.14285714285714285
1995,0.0,1.0,0.0
1996,0.24324324324324326,0.40540540540540543,0.35135135135135137
1997,0.2222222222222222,0.6666666666666666,0.1111111111111111
1998,0.16666666666666666,0.6666666666666666,0.16666666666666666
1999,0.2727272727272727,0.5454545454545454,0.18181818181818182
2000,0.0,1.0,0.0
2001,0.18181818181818182,0.7272727272727273,0.09090909090909091
2002,0.0625,0.875,0.0625
2003,0.13636363636363635,0.6818181818181818,0.18181818181818182
2004,0.13636363636363635,0.45454545454545453,0.4090909090909091
2005,0.21428571428571427,0.6428571428571429,0.14285714285714285
2006,0.05263157894736842,0.8421052631578947,0.10526315789473684
2007,0.23529411764705882,0.7058823529411765,0.058823529411764705
2008,0.1111111111111111,0.7777777777777778,0.1111111111111111
2009,0.09523809523809523,0.9047619047619048,0.0
2010,0.15555555555555556,0.6222222222222222,0.2222222222222222
2011,0.03571428571428571,0.7857142857142857,0.17857142857142858
2012,0.125,0.8125,0.0625
2013,0.07142857142857142,0.7857142857142857,0.14285714285714285
2014,0.25,0.6666666666666666,0.08333333333333333
2015,0.15789473684210525,0.8421052631578947,0.0
2016,0.20588235294117646,0.5,0.29411764705882354
2017,0.0,1.0,0.0
