year,pos,neu,neg
1950,0.3132530120481928,0.6144578313253012,0.07228915662650602
1951,0.17266187050359713,0.7985611510791367,0.02877697841726619
1952,0.2468354430379747,0.689873417721519,0.06329113924050633
1953,0.23333333333333334,0.7,0.06666666666666667
1954,0.21153846153846154,0.6858974358974359,0.10256410256410256
1955,0.3333333333333333,0.6216216216216216,0.04504504504504504
1956,0.30597014925373134,0.6044776119402985,0.08955223880597014
1957,0.27927927927927926,0.6756756756756757,0.04504504504504504
1958,0.18823529411764706,0.7647058823529411,0.047058823529411764
1959,0.19130434782608696,0.7043478260869566,0.10434782608695652
1960,0.17679558011049723,0.7845303867403315,0.03867403314917127
1961,0.3107344632768362,0.5819209039548022,0.10734463276836158
1962,0.27710843373493976,0.6465863453815262,0.07630522088353414
1963,0.21890547263681592,0.7014925373134329,0.07960199004975124
1964,0.27873563218390807,0.6522988505747126,0.06896551724137931
1965,0.2808988764044944,0.6460674157303371,0.07303370786516854
1966,0.18579234972677597,0.7103825136612022,0.10382513661202186
1967,0.28368794326241137,0.648936170212766,0.0673758865248227
1968,0.18670886075949367,0.7310126582278481,0.08227848101265822
1969,0.1761904761904762,0.7285714285714285,0.09523809523809523
1970,0.2857142857142857,0.6359447004608295,0.07834101382488479
1971,0.2757009345794392,0.677570093457944,0.04672897196261682
1972,0.2542372881355932,0.6779661016949152,0.06779661016949153
1973,0.22340425531914893,0.6418439716312057,0.1347517730496454
1974,0.25745257452574527,0.5934959349593496,0.14905149051490515
1975,0.25727069351230425,0.6644295302013423,0.07829977628635347
1976,0.2616580310880829,0.6398963730569949,0.09844559585492228
1977,0.2816593886462882,0.6375545851528385,0.08078602620087336
1978,0.1830238726790451,0.7241379310344828,0.09283819628647215
1979,0.22121212121212122,0.6545454545454545,0.12424242424242424
1980,0.25573770491803277,0.6721311475409836,0.07213114754098361
1981,0.28169014084507044,0.5859154929577465,0.1323943661971831
1982,0.16526610644257703,0.6750700280112045,0.15966386554621848
1983,0.2485089463220676,0.6640159045725647,0.0874751491053678
1984,0.2356828193832599,0.6343612334801763,0.1299559471365639
1985,0.19083969465648856,0.6768447837150128,0.13231552162849872
1986,0.2035225048923679,0.700587084148728,0.0958904109589041
1987,0.25272331154684097,0.6623093681917211,0.08496732026143791
1988,0.25127334465195245,0.6434634974533107,0.10526315789473684
1989,0.21315192743764172,0.7074829931972789,0.07936507936507936
1990,0.21545319465081725,0.6805349182763745,0.10401188707280833
1991,0.21534653465346534,0.6336633663366337,0.15099009900990099
1992,0.1956043956043956,0.7032967032967034,0.1010989010989011
1993,0.25718194254445964,0.6388508891928865,0.1039671682626539
1994,0.21739130434782608,0.6535326086956522,0.12907608695652173
1995,0.22568093385214008,0.664396887159533,0.10992217898832685
1996,0.2437070938215103,0.6395881006864989,0.11670480549199085
1997,0.27507163323782235,0.5998089780324737,0.1251193887297039
1998,0.22526934378060726,0.6229187071498531,0.15181194906953965
1999,0.2401883830455259,0.6452119309262166,0.11459968602825746
2000,0.25329153605015675,0.6589341692789968,0.0877742946708464
2001,0.2555847568988173,0.6353482260183968,0.10906701708278581
2002,0.2663316582914573,0.6417085427135678,0.09195979899497488
2003,0.2471184877823882,0.6431535269709544,0.10972798524665744
2004,0.2624548736462094,0.6436823104693141,0.09386281588447654
2005,0.23573857196826598,0.668303740083113,0.09595768794862108
2006,0.23465703971119134,0.6320971447325238,0.13324581555628487
2007,0.21149511645379415,0.6634109691960932,0.1250939143501127
2008,0.24232209737827715,0.6449438202247191,0.11273408239700375
2009,0.23405909797822705,0.6705546915500259,0.09538621047174702
2010,0.21202830188679245,0.6794811320754717,0.10849056603773585
2011,0.22978975421972164,0.6570920935741783,0.1131181522061001
2012,0.26119023397761953,0.6447100712105799,0.09409969481180061
2013,0.23072100313479624,0.6495297805642634,0.11974921630094044
2014,0.23771676300578035,0.6392100192678227,0.12307321772639691
2015,0.23088854420562818,0.6676268557500554,0.10148460004431642
2016,0.25962670253909537,0.6199764587186817,0.12039683874222297
2017,0.27354913969087197,0.6121318168562263,0.11431904345290173
