year,pos,neu,neg
1950,0.0,0.0,0.0
1951,0.0,0.0,0.0
1952,0.0,0.0,0.0
1953,0.0,0.0,0.0
1954,0.0,0.0,0.0
1955,0.0,0.0,0.0
1956,0.0,0.0,0.0
1957,0.0,0.0,0.0
1958,0.0,0.0,0.0
1959,0.0,0.0,0.0
1960,0.0,0.0,0.0
1961,0.0,0.0,0.0
1962,0.0,1.0,0.0
1963,0.0,0.0,0.0
1964,0.0,1.0,0.0
1965,0.5,0.5,0.0
1966,0.0,0.0,0.0
1967,1.0,0.0,0.0
1968,0.3333333333333333,0.6666666666666666,0.0
1969,0.0,1.0,0.0
1970,0.0,0.8,0.2
1971,0.0,0.0,0.0
1972,0.5,0.5,0.0
1973,0.25,0.75,0.0
1974,0.0,1.0,0.0
1975,0.0,1.0,0.0
1976,1.0,0.0,0.0
1977,0.0,0.0,0.0
1978,0.75,0.25,0.0
1979,0.0,1.0,0.0
1980,0.5,0.5,0.0
1981,0.0,0.8,0.2
1982,0.4,0.6,0.0
1983,0.3333333333333333,0.3333333333333333,0.3333333333333333
1984,0.14285714285714285,0.8571428571428571,0.0
1985,0.0,1.0,0.0
1986,0.0,1.0,0.0
1987,0.0,1.0,0.0
1988,0.16666666666666666,0.5,0.3333333333333333
1989,0.0,1.0,0.0
1990,0.0,1.0,0.0
1991,0.0,1.0,0.0
1992,0.0,1.0,0.0
1993,0.2857142857142857,0.5714285714285714,0.14285714285714285
1994,0.08333333333333333,0.6666666666666666,0.25
1995,0.08,0.84,0.08
1996,0.3333333333333333,0.5,0.16666666666666666
1997,0.25,0.75,0.0
1998,0.058823529411764705,0.7647058823529411,0.17647058823529413
1999,0.2,0.4,0.4
2000,0.25,0.625,0.125
2001,0.2857142857142857,0.6666666666666666,0.047619047619047616
2002,0.2,0.8,0.0
2003,0.16666666666666666,0.7777777777777778,0.05555555555555555
2004,0.20588235294117646,0.7647058823529411,0.029411764705882353
2005,0.10256410256410256,0.7692307692307693,0.1282051282051282
2006,0.24,0.76,0.0
2007,0.18181818181818182,0.8181818181818182,0.0
2008,0.4375,0.46875,0.09375
2009,0.05555555555555555,0.8611111111111112,0.08333333333333333
2010,0.45161290322580644,0.5161290322580645,0.03225806451612903
2011,0.2571428571428571,0.7142857142857143,0.02857142857142857
2012,0.21951219512195122,0.7317073170731707,0.04878048780487805
2013,0.2318840579710145,0.6956521739130435,0.07246376811594203
2014,0.28865979381443296,0.6391752577319587,0.07216494845360824
2015,0.20408163265306123,0.7755102040816326,0.02040816326530612
2016,0.2222222222222222,0.691358024691358,0.08641975308641975
2017,0.23076923076923078,0.6923076923076923,0.07692307692307693
