year,pos,neu,neg
1950,0.0,0.0,0.0
1951,0.0,1.0,0.0
1952,0.0,0.0,0.0
1953,1.0,0.0,0.0
1954,0.0,0.0,0.0
1955,0.0,0.0,0.0
1956,0.0,0.0,0.0
1957,0.0,0.0,0.0
1958,0.0,0.0,0.0
1959,0.0,0.0,0.0
1960,0.0,0.0,1.0
1961,0.0,0.0,0.0
1962,0.0,0.0,0.0
1963,0.0,0.0,0.0
1964,0.0,1.0,0.0
1965,0.0,0.0,0.0
1966,0.0,0.0,0.0
1967,0.0,0.0,0.0
1968,0.0,0.5,0.5
1969,0.3333333333333333,0.3333333333333333,0.3333333333333333
1970,0.0,0.0,0.0
1971,0.0,0.5,0.5
1972,0.0,0.6,0.4
1973,0.0,0.0,1.0
1974,0.0,0.5,0.5
1975,0.0,1.0,0.0
1976,0.0,0.0,0.0
1977,0.25,0.25,0.5
1978,1.0,0.0,0.0
1979,0.0,0.0,0.0
1980,0.0,0.0,0.0
1981,0.2,0.8,0.0
1982,1.0,0.0,0.0
1983,0.0,0.0,1.0
1984,0.0,0.25,0.75
1985,0.0,0.5,0.5
1986,0.4,0.4,0.2
1987,0.09090909090909091,0.6363636363636364,0.2727272727272727
1988,0.0,0.3333333333333333,0.6666666666666666
1989,0.45454545454545453,0.36363636363636365,0.18181818181818182
1990,0.0,0.8181818181818182,0.18181818181818182
1991,0.0,0.0,1.0
1992,0.0,0.8,0.2
1993,0.0,1.0,0.0
1994,0.1,0.8,0.1
1995,0.0,0.6666666666666666,0.3333333333333333
1996,0.2222222222222222,0.4444444444444444,0.3333333333333333
1997,0.0,0.7,0.3
1998,0.07692307692307693,0.7692307692307693,0.15384615384615385
1999,0.09090909090909091,0.5454545454545454,0.36363636363636365
2000,0.0,0.6,0.4
2001,0.0,0.625,0.375
2002,0.08333333333333333,0.75,0.16666666666666666
2003,0.14285714285714285,0.6190476190476191,0.23809523809523808
2004,0.06666666666666667,0.5111111111111111,0.4222222222222222
2005,0.0975609756097561,0.6097560975609756,0.2926829268292683
2006,0.08163265306122448,0.5714285714285714,0.3469387755102041
2007,0.07142857142857142,0.625,0.30357142857142855
2008,0.0975609756097561,0.6829268292682927,0.21951219512195122
2009,0.08695652173913043,0.6630434782608695,0.25
2010,0.02631578947368421,0.5263157894736842,0.4473684210526316
2011,0.078125,0.546875,0.375
2012,0.0449438202247191,0.6629213483146067,0.29213483146067415
2013,0.05555555555555555,0.6527777777777778,0.2916666666666667
2014,0.047619047619047616,0.5714285714285714,0.38095238095238093
2015,0.07142857142857142,0.6190476190476191,0.30952380952380953
2016,0.06086956521739131,0.6695652173913044,0.26956521739130435
2017,0.04477611940298507,0.4925373134328358,0.4626865671641791
