year,pos,neu,neg
1950,0.14285714285714285,0.8571428571428571,0.0
1951,0.3333333333333333,0.5555555555555556,0.1111111111111111
1952,0.0,1.0,0.0
1953,0.0,0.5,0.5
1954,0.0,1.0,0.0
1955,0.0,1.0,0.0
1956,0.5,0.5,0.0
1957,0.125,0.75,0.125
1958,0.0,1.0,0.0
1959,0.0,1.0,0.0
1960,0.16666666666666666,0.8333333333333334,0.0
1961,0.0,1.0,0.0
1962,0.3333333333333333,0.5416666666666666,0.125
1963,0.0,0.8,0.2
1964,0.1875,0.6875,0.125
1965,0.07692307692307693,0.9230769230769231,0.0
1966,0.14285714285714285,0.8571428571428571,0.0
1967,0.2777777777777778,0.5555555555555556,0.16666666666666666
1968,0.375,0.4375,0.1875
1969,0.16666666666666666,0.5,0.3333333333333333
1970,0.2857142857142857,0.5714285714285714,0.14285714285714285
1971,0.0,0.875,0.125
1972,0.19047619047619047,0.6904761904761905,0.11904761904761904
1973,0.28125,0.6875,0.03125
1974,0.2,0.8,0.0
1975,0.26666666666666666,0.6444444444444445,0.08888888888888889
1976,0.3888888888888889,0.5,0.1111111111111111
1977,0.36363636363636365,0.5454545454545454,0.09090909090909091
1978,0.0,0.9166666666666666,0.08333333333333333
1979,0.2,0.8,0.0
1980,0.0,1.0,0.0
1981,0.2,0.7,0.1
1982,0.24,0.68,0.08
1983,0.3333333333333333,0.5,0.16666666666666666
1984,0.3333333333333333,0.5,0.16666666666666666
1985,0.3684210526315789,0.631578947368421,0.0
1986,0.045454545454545456,0.7272727272727273,0.22727272727272727
1987,0.09090909090909091,0.8181818181818182,0.09090909090909091
1988,0.14285714285714285,0.8214285714285714,0.03571428571428571
1989,0.07692307692307693,0.8461538461538461,0.07692307692307693
1990,0.14285714285714285,0.7142857142857143,0.14285714285714285
1991,0.2631578947368421,0.6842105263157895,0.05263157894736842
1992,0.125,0.8125,0.0625
1993,0.09302325581395349,0.7674418604651163,0.13953488372093023
1994,0.09523809523809523,0.8333333333333334,0.07142857142857142
1995,0.21621621621621623,0.5675675675675675,0.21621621621621623
1996,0.2,0.7714285714285715,0.02857142857142857
1997,0.10416666666666667,0.8333333333333334,0.0625
1998,0.08955223880597014,0.7014925373134329,0.208955223880597
1999,0.21739130434782608,0.6956521739130435,0.08695652173913043
2000,0.08860759493670886,0.7468354430379747,0.16455696202531644
2001,0.17045454545454544,0.7045454545454546,0.125
2002,0.24210526315789474,0.6736842105263158,0.08421052631578947
2003,0.26595744680851063,0.6702127659574468,0.06382978723404255
2004,0.18095238095238095,0.8,0.01904761904761905
2005,0.16993464052287582,0.7058823529411765,0.12418300653594772
2006,0.11842105263157894,0.7894736842105263,0.09210526315789473
2007,0.11046511627906977,0.7558139534883721,0.13372093023255813
2008,0.19135802469135801,0.6975308641975309,0.1111111111111111
2009,0.1476510067114094,0.7718120805369127,0.08053691275167785
2010,0.1746031746031746,0.6984126984126984,0.12698412698412698
2011,0.19704433497536947,0.7241379310344828,0.07881773399014778
2012,0.19642857142857142,0.7023809523809523,0.10119047619047619
2013,0.1990521327014218,0.7156398104265402,0.08530805687203792
2014,0.16228070175438597,0.7543859649122807,0.08333333333333333
2015,0.16666666666666666,0.7350427350427351,0.09829059829059829
2016,0.16143497757847533,0.7443946188340808,0.09417040358744394
2017,0.12345679012345678,0.7407407407407407,0.13580246913580246
