year,pos,neu,neg
1950,0.07692307692307693,0.8461538461538461,0.07692307692307693
1951,0.14285714285714285,0.8095238095238095,0.047619047619047616
1952,0.19047619047619047,0.7142857142857143,0.09523809523809523
1953,0.045454545454545456,0.8181818181818182,0.13636363636363635
1954,0.0,0.9473684210526315,0.05263157894736842
1955,0.06666666666666667,0.8,0.13333333333333333
1956,0.13043478260869565,0.6521739130434783,0.21739130434782608
1957,0.11428571428571428,0.6857142857142857,0.2
1958,0.029411764705882353,0.8235294117647058,0.14705882352941177
1959,0.11538461538461539,0.8076923076923077,0.07692307692307693
1960,0.07142857142857142,0.9285714285714286,0.0
1961,0.2777777777777778,0.7222222222222222,0.0
1962,0.0,0.7777777777777778,0.2222222222222222
1963,0.030303030303030304,0.7878787878787878,0.18181818181818182
1964,0.08888888888888889,0.6888888888888889,0.2222222222222222
1965,0.16666666666666666,0.7424242424242424,0.09090909090909091
1966,0.05555555555555555,0.75,0.19444444444444445
1967,0.11363636363636363,0.7045454545454546,0.18181818181818182
1968,0.13953488372093023,0.7441860465116279,0.11627906976744186
1969,0.15789473684210525,0.7105263157894737,0.13157894736842105
1970,0.13636363636363635,0.8636363636363636,0.0
1971,0.12121212121212122,0.7878787878787878,0.09090909090909091
1972,0.08333333333333333,0.875,0.041666666666666664
1973,0.06060606060606061,0.8181818181818182,0.12121212121212122
1974,0.15254237288135594,0.7457627118644068,0.1016949152542373
1975,0.23076923076923078,0.7435897435897436,0.02564102564102564
1976,0.15384615384615385,0.6666666666666666,0.1794871794871795
1977,0.1836734693877551,0.6938775510204082,0.12244897959183673
1978,0.25925925925925924,0.7037037037037037,0.037037037037037035
1979,0.1956521739130435,0.717391304347826,0.08695652173913043
1980,0.07142857142857142,0.8095238095238095,0.11904761904761904
1981,0.08,0.72,0.2
1982,0.057692307692307696,0.8269230769230769,0.11538461538461539
1983,0.10204081632653061,0.7755102040816326,0.12244897959183673
1984,0.23684210526315788,0.5789473684210527,0.18421052631578946
1985,0.034482758620689655,0.8448275862068966,0.1206896551724138
1986,0.2,0.6857142857142857,0.11428571428571428
1987,0.13043478260869565,0.8115942028985508,0.057971014492753624
1988,0.17142857142857143,0.7142857142857143,0.11428571428571428
1989,0.1206896551724138,0.7758620689655172,0.10344827586206896
1990,0.0,0.8148148148148148,0.18518518518518517
1991,0.09302325581395349,0.7209302325581395,0.18604651162790697
1992,0.17142857142857143,0.6,0.22857142857142856
1993,0.075,0.75,0.175
1994,0.2222222222222222,0.6666666666666666,0.1111111111111111
1995,0.1875,0.765625,0.046875
1996,0.15625,0.6875,0.15625
1997,0.10256410256410256,0.782051282051282,0.11538461538461539
1998,0.07692307692307693,0.8615384615384616,0.06153846153846154
1999,0.19047619047619047,0.6984126984126984,0.1111111111111111
2000,0.12643678160919541,0.8160919540229885,0.05747126436781609
2001,0.1962025316455696,0.6962025316455697,0.10759493670886076
2002,0.0784313725490196,0.8235294117647058,0.09803921568627451
2003,0.07547169811320754,0.8050314465408805,0.11949685534591195
2004,0.0896551724137931,0.7793103448275862,0.1310344827586207
2005,0.15328467153284672,0.7591240875912408,0.08759124087591241
2006,0.13953488372093023,0.7596899224806202,0.10077519379844961
2007,0.13930348258706468,0.736318407960199,0.12437810945273632
2008,0.18253968253968253,0.6587301587301587,0.15873015873015872
2009,0.19318181818181818,0.7102272727272727,0.09659090909090909
2010,0.21544715447154472,0.6829268292682927,0.1016260162601626
2011,0.16097560975609757,0.7609756097560976,0.07804878048780488
2012,0.20089285714285715,0.6651785714285714,0.13392857142857142
2013,0.19505494505494506,0.6813186813186813,0.12362637362637363
2014,0.1588785046728972,0.616822429906542,0.22429906542056074
2015,0.21764705882352942,0.6823529411764706,0.1
2016,0.19230769230769232,0.7067307692307693,0.10096153846153846
2017,0.15966386554621848,0.7983193277310925,0.04201680672268908
