year,pos,neu,neg
1950,0.0,1.0,0.0
1951,0.0,0.0,0.0
1952,0.0,0.0,0.0
1953,0.0,1.0,0.0
1954,0.0,0.0,0.0
1955,0.0,0.0,0.0
1956,0.0,1.0,0.0
1957,0.16666666666666666,0.7777777777777778,0.05555555555555555
1958,0.0,1.0,0.0
1959,0.4,0.6,0.0
1960,0.14285714285714285,0.8571428571428571,0.0
1961,0.4,0.6,0.0
1962,0.5,0.5,0.0
1963,0.3333333333333333,0.3333333333333333,0.3333333333333333
1964,0.0,0.0,1.0
1965,0.25,0.75,0.0
1966,0.16666666666666666,0.8333333333333334,0.0
1967,0.0,1.0,0.0
1968,0.0,0.8888888888888888,0.1111111111111111
1969,0.0,1.0,0.0
1970,0.0,1.0,0.0
1971,0.0,1.0,0.0
1972,0.0,1.0,0.0
1973,0.21428571428571427,0.7857142857142857,0.0
1974,0.36363636363636365,0.6363636363636364,0.0
1975,0.1111111111111111,0.6666666666666666,0.2222222222222222
1976,0.14285714285714285,0.7142857142857143,0.14285714285714285
1977,0.3333333333333333,0.6666666666666666,0.0
1978,0.16666666666666666,0.8333333333333334,0.0
1979,0.5,0.5,0.0
1980,0.125,0.75,0.125
1981,0.09090909090909091,0.8181818181818182,0.09090909090909091
1982,0.2,0.6,0.2
1983,0.2,0.8,0.0
1984,0.0,1.0,0.0
1985,0.0,1.0,0.0
1986,0.25,0.75,0.0
1987,0.42857142857142855,0.42857142857142855,0.14285714285714285
1988,0.1,0.9,0.0
1989,0.10526315789473684,0.7368421052631579,0.15789473684210525
1990,0.42857142857142855,0.42857142857142855,0.14285714285714285
1991,0.05,0.9,0.05
1992,0.25,0.75,0.0
1993,0.2857142857142857,0.7142857142857143,0.0
1994,0.047619047619047616,0.9047619047619048,0.047619047619047616
1995,0.1875,0.8125,0.0
1996,0.0,0.8666666666666667,0.13333333333333333
1997,0.06666666666666667,0.8666666666666667,0.06666666666666667
1998,0.15789473684210525,0.8421052631578947,0.0
1999,0.2,0.8,0.0
2000,0.10526315789473684,0.8421052631578947,0.05263157894736842
2001,0.06521739130434782,0.8260869565217391,0.10869565217391304
2002,0.047619047619047616,0.8571428571428571,0.09523809523809523
2003,0.1891891891891892,0.7567567567567568,0.05405405405405406
2004,0.13043478260869565,0.8478260869565217,0.021739130434782608
2005,0.14035087719298245,0.8245614035087719,0.03508771929824561
2006,0.25396825396825395,0.6825396825396826,0.06349206349206349
2007,0.08536585365853659,0.8170731707317073,0.0975609756097561
2008,0.1,0.8111111111111111,0.08888888888888889
2009,0.11206896551724138,0.8017241379310345,0.08620689655172414
2010,0.08421052631578947,0.8315789473684211,0.08421052631578947
2011,0.12173913043478261,0.8521739130434782,0.02608695652173913
2012,0.16379310344827586,0.7672413793103449,0.06896551724137931
2013,0.1640625,0.796875,0.0390625
2014,0.1774193548387097,0.75,0.07258064516129033
2015,0.04,0.89,0.07
2016,0.16379310344827586,0.7586206896551724,0.07758620689655173
2017,0.2073170731707317,0.6829268292682927,0.10975609756097561
