year,pos,neu,neg
1950,0.0,1.0,0.0
1951,0.0,1.0,0.0
1952,0.0,1.0,0.0
1953,0.0,1.0,0.0
1954,0.0,1.0,0.0
1955,0.3333333333333333,0.3333333333333333,0.3333333333333333
1956,0.0,1.0,0.0
1957,0.6666666666666666,0.3333333333333333,0.0
1958,0.6,0.4,0.0
1959,0.3333333333333333,0.5,0.16666666666666666
1960,0.09090909090909091,0.8181818181818182,0.09090909090909091
1961,0.25,0.5,0.25
1962,0.0,0.8,0.2
1963,0.0,1.0,0.0
1964,0.0,0.0,1.0
1965,0.125,0.875,0.0
1966,0.0,1.0,0.0
1967,0.0,1.0,0.0
1968,0.16666666666666666,0.8333333333333334,0.0
1969,0.0,0.6666666666666666,0.3333333333333333
1970,0.15,0.8,0.05
1971,0.0,1.0,0.0
1972,0.4,0.6,0.0
1973,0.14285714285714285,0.8571428571428571,0.0
1974,0.0,0.8,0.2
1975,0.0,0.75,0.25
1976,0.0,1.0,0.0
1977,0.07142857142857142,0.8571428571428571,0.07142857142857142
1978,0.2,0.8,0.0
1979,0.0,1.0,0.0
1980,0.14285714285714285,0.8571428571428571,0.0
1981,0.0,1.0,0.0
1982,0.25,0.75,0.0
1983,0.4,0.5,0.1
1984,0.0,0.7142857142857143,0.2857142857142857
1985,0.3076923076923077,0.6153846153846154,0.07692307692307693
1986,0.6666666666666666,0.3333333333333333,0.0
1987,0.13333333333333333,0.8666666666666667,0.0
1988,0.0,1.0,0.0
1989,0.0,1.0,0.0
1990,0.0,1.0,0.0
1991,0.2,0.8,0.0
1992,0.0,1.0,0.0
1993,0.3333333333333333,0.6666666666666666,0.0
1994,0.3333333333333333,0.6666666666666666,0.0
1995,0.125,0.875,0.0
1996,0.5,0.5,0.0
1997,0.0,0.8571428571428571,0.14285714285714285
1998,0.0,1.0,0.0
1999,0.16666666666666666,0.6666666666666666,0.16666666666666666
2000,0.25,0.25,0.5
2001,0.125,0.75,0.125
2002,0.16666666666666666,0.8333333333333334,0.0
2003,0.0625,0.75,0.1875
2004,0.13333333333333333,0.8666666666666667,0.0
2005,0.11764705882352941,0.8823529411764706,0.0
2006,0.22727272727272727,0.6818181818181818,0.09090909090909091
2007,0.18181818181818182,0.8181818181818182,0.0
2008,0.07142857142857142,0.7857142857142857,0.14285714285714285
2009,0.0,0.8888888888888888,0.1111111111111111
2010,0.125,0.71875,0.15625
2011,0.19230769230769232,0.7692307692307693,0.038461538461538464
2012,0.16666666666666666,0.8333333333333334,0.0
2013,0.125,0.84375,0.03125
2014,0.07017543859649122,0.8771929824561403,0.05263157894736842
2015,0.1724137931034483,0.7586206896551724,0.06896551724137931
2016,0.125,0.8333333333333334,0.041666666666666664
2017,0.125,0.875,0.0
