year,pos,neu,neg
1950,0.0,1.0,0.0
1951,0.0,0.0,0.0
1952,0.0,0.0,0.0
1953,0.0,1.0,0.0
1954,0.0,0.6666666666666666,0.3333333333333333
1955,0.0,1.0,0.0
1956,0.16666666666666666,0.8333333333333334,0.0
1957,0.0,0.0,0.0
1958,1.0,0.0,0.0
1959,0.0,1.0,0.0
1960,0.0,1.0,0.0
1961,0.0,1.0,0.0
1962,0.0,0.0,0.0
1963,0.0,1.0,0.0
1964,0.14285714285714285,0.7142857142857143,0.14285714285714285
1965,0.35135135135135137,0.5405405405405406,0.10810810810810811
1966,0.75,0.25,0.0
1967,0.25,0.75,0.0
1968,0.0,0.5,0.5
1969,0.3,0.65,0.05
1970,0.0,1.0,0.0
1971,0.0,1.0,0.0
1972,0.0,0.0,1.0
1973,0.0,0.875,0.125
1974,1.0,0.0,0.0
1975,0.3333333333333333,0.4444444444444444,0.2222222222222222
1976,0.3333333333333333,0.6666666666666666,0.0
1977,0.2,0.6,0.2
1978,0.0,0.8,0.2
1979,0.2857142857142857,0.7142857142857143,0.0
1980,0.5,0.5,0.0
1981,0.42857142857142855,0.5,0.07142857142857142
1982,0.3333333333333333,0.3333333333333333,0.3333333333333333
1983,0.0,0.5,0.5
1984,0.0,1.0,0.0
1985,0.36363636363636365,0.6363636363636364,0.0
1986,0.2,0.8,0.0
1987,0.7142857142857143,0.2857142857142857,0.0
1988,0.1111111111111111,0.8333333333333334,0.05555555555555555
1989,0.23529411764705882,0.7058823529411765,0.058823529411764705
1990,0.1111111111111111,0.3333333333333333,0.5555555555555556
1991,0.5555555555555556,0.3333333333333333,0.1111111111111111
1992,0.15789473684210525,0.5789473684210527,0.2631578947368421
1993,0.1111111111111111,0.7777777777777778,0.1111111111111111
1994,0.2916666666666667,0.5833333333333334,0.125
1995,0.26666666666666666,0.7,0.03333333333333333
1996,0.2903225806451613,0.6129032258064516,0.0967741935483871
1997,0.37037037037037035,0.5185185185185185,0.1111111111111111
1998,0.22727272727272727,0.5681818181818182,0.20454545454545456
1999,0.21428571428571427,0.7142857142857143,0.07142857142857142
2000,0.16129032258064516,0.7419354838709677,0.0967741935483871
2001,0.2391304347826087,0.6521739130434783,0.10869565217391304
2002,0.2222222222222222,0.691358024691358,0.08641975308641975
2003,0.23684210526315788,0.6710526315789473,0.09210526315789473
2004,0.1590909090909091,0.7386363636363636,0.10227272727272728
2005,0.2345679012345679,0.6296296296296297,0.13580246913580246
2006,0.22727272727272727,0.6590909090909091,0.11363636363636363
2007,0.2,0.6521739130434783,0.14782608695652175
2008,0.24031007751937986,0.6976744186046512,0.06201550387596899
2009,0.16129032258064516,0.6666666666666666,0.17204301075268819
2010,0.18652849740932642,0.689119170984456,0.12435233160621761
2011,0.19545454545454546,0.6909090909090909,0.11363636363636363
2012,0.2100456621004566,0.6575342465753424,0.1324200913242009
2013,0.18333333333333332,0.7166666666666667,0.1
2014,0.17993079584775087,0.7439446366782007,0.07612456747404844
2015,0.215962441314554,0.6291079812206573,0.15492957746478872
2016,0.17647058823529413,0.7104072398190046,0.11312217194570136
2017,0.21,0.66,0.13
