year,pos,neu,neg
1950,0.21428571428571427,0.5714285714285714,0.21428571428571427
1951,0.0,1.0,0.0
1952,0.16666666666666666,0.75,0.08333333333333333
1953,0.17647058823529413,0.6470588235294118,0.17647058823529413
1954,0.36363636363636365,0.6363636363636364,0.0
1955,0.05263157894736842,0.7368421052631579,0.21052631578947367
1956,0.125,0.8125,0.0625
1957,0.2727272727272727,0.6363636363636364,0.09090909090909091
1958,0.07142857142857142,0.9285714285714286,0.0
1959,0.17647058823529413,0.6274509803921569,0.19607843137254902
1960,0.2777777777777778,0.5555555555555556,0.16666666666666666
1961,0.1388888888888889,0.6944444444444444,0.16666666666666666
1962,0.22727272727272727,0.7727272727272727,0.0
1963,0.3333333333333333,0.5714285714285714,0.09523809523809523
1964,0.2692307692307692,0.6923076923076923,0.038461538461538464
1965,0.2711864406779661,0.6610169491525424,0.06779661016949153
1966,0.2222222222222222,0.6666666666666666,0.1111111111111111
1967,0.26666666666666666,0.6,0.13333333333333333
1968,0.14285714285714285,0.7857142857142857,0.07142857142857142
1969,0.30434782608695654,0.4782608695652174,0.21739130434782608
1970,0.16666666666666666,0.6111111111111112,0.2222222222222222
1971,0.21212121212121213,0.3939393939393939,0.3939393939393939
1972,0.17647058823529413,0.7058823529411765,0.11764705882352941
1973,0.11428571428571428,0.8571428571428571,0.02857142857142857
1974,0.4166666666666667,0.4166666666666667,0.16666666666666666
1975,0.27906976744186046,0.6046511627906976,0.11627906976744186
1976,0.1724137931034483,0.7931034482758621,0.034482758620689655
1977,0.24324324324324326,0.6756756756756757,0.08108108108108109
1978,0.07894736842105263,0.8947368421052632,0.02631578947368421
1979,0.2564102564102564,0.6923076923076923,0.05128205128205128
1980,0.2916666666666667,0.625,0.08333333333333333
1981,0.3333333333333333,0.5,0.16666666666666666
1982,0.2545454545454545,0.32727272727272727,0.41818181818181815
1983,0.18181818181818182,0.48484848484848486,0.3333333333333333
1984,0.07142857142857142,0.38095238095238093,0.5476190476190477
1985,0.17525773195876287,0.5670103092783505,0.25773195876288657
1986,0.29411764705882354,0.5686274509803921,0.13725490196078433
1987,0.5416666666666666,0.375,0.08333333333333333
1988,0.2727272727272727,0.6818181818181818,0.045454545454545456
1989,0.2033898305084746,0.711864406779661,0.0847457627118644
1990,0.1774193548387097,0.6935483870967742,0.12903225806451613
1991,0.34782608695652173,0.6521739130434783,0.0
1992,0.35714285714285715,0.5357142857142857,0.10714285714285714
1993,0.29310344827586204,0.46551724137931033,0.2413793103448276
1994,0.2972972972972973,0.6351351351351351,0.06756756756756757
1995,0.352112676056338,0.5492957746478874,0.09859154929577464
1996,0.08695652173913043,0.8260869565217391,0.08695652173913043
1997,0.1891891891891892,0.6486486486486487,0.16216216216216217
1998,0.16666666666666666,0.7916666666666666,0.041666666666666664
1999,0.30985915492957744,0.6056338028169014,0.08450704225352113
2000,0.23529411764705882,0.7058823529411765,0.058823529411764705
2001,0.25316455696202533,0.6075949367088608,0.13924050632911392
2002,0.17647058823529413,0.8,0.023529411764705882
2003,0.19008264462809918,0.7520661157024794,0.05785123966942149
2004,0.38190954773869346,0.542713567839196,0.07537688442211055
2005,0.32116788321167883,0.5985401459854015,0.08029197080291971
2006,0.24630541871921183,0.6403940886699507,0.11330049261083744
2007,0.13725490196078433,0.7124183006535948,0.1503267973856209
2008,0.18867924528301888,0.7232704402515723,0.0880503144654088
2009,0.22,0.645,0.135
2010,0.22413793103448276,0.6931034482758621,0.08275862068965517
2011,0.2950391644908616,0.5796344647519582,0.12532637075718014
2012,0.1935483870967742,0.6903225806451613,0.11612903225806452
2013,0.31756756756756754,0.5540540540540541,0.12837837837837837
2014,0.24881516587677724,0.6255924170616114,0.12559241706161137
2015,0.21980676328502416,0.6545893719806763,0.12560386473429952
2016,0.16666666666666666,0.7407407407407407,0.09259259259259259
2017,0.17123287671232876,0.7328767123287672,0.0958904109589041
